Well,Content,Raw Data (No filter),
A01,Sample X1,342795,
A02,Sample X2,292755,
A03,Sample X3,218077,
A04,Sample X4,266948,
A05,Sample X5,271914,
A06,Sample X6,274545,
A07,Sample X7,211096,
A08,Sample X8,211644,
A09,Sample X9,201870,
A10,Sample X10,206423,
A11,Sample X11,205776,
A12,Sample X12,189522,
A13,Sample X13,196197,
A14,Sample X14,187477,
A15,Sample X15,148469,
A16,Sample X16,172846,
A17,Sample X17,173686,
A18,Sample X18,160854,
A19,Sample X19,137607,
A20,Sample X20,125541,
A21,Sample X21,122269,
A22,Sample X22,114313,
A23,Sample X23,119186,
A24,Sample X24,124130,
B01,Sample X25,305995,
B02,Sample X26,270287,
B03,Sample X27,188812,
B04,Sample X28,233589,
B05,Sample X29,225836,
B06,Sample X30,230841,
B07,Sample X31,187845,
B08,Sample X32,184438,
B09,Sample X33,183015,
B10,Sample X34,187713,
B11,Sample X35,179360,
B12,Sample X36,184011,
B13,Sample X37,166971,
B14,Sample X38,160274,
B15,Sample X39,144915,
B16,Sample X40,151873,
B17,Sample X41,144026,
B18,Sample X42,136551,
B19,Sample X43,114529,
B20,Sample X44,104306,
B21,Sample X45,103634,
B22,Sample X46,99677,
B23,Sample X47,108127,
B24,Sample X48,107346,
C01,Sample X49,274640,
C02,Sample X50,254521,
C03,Sample X51,191932,
C04,Sample X52,230051,
C05,Sample X53,221147,
C06,Sample X54,214722,
C07,Sample X55,185910,
C08,Sample X56,170856,
C09,Sample X57,185925,
C10,Sample X58,178173,
C11,Sample X59,183049,
C12,Sample X60,186046,
C13,Sample X61,168370,
C14,Sample X62,161958,
C15,Sample X63,149954,
C16,Sample X64,153378,
C17,Sample X65,158377,
C18,Sample X66,135879,
C19,Sample X67,122396,
C20,Sample X68,107863,
C21,Sample X69,112879,
C22,Sample X70,111807,
C23,Sample X71,106622,
C24,Sample X72,118927,
D01,Sample X73,271426,
D02,Sample X74,241055,
D03,Sample X75,179642,
D04,Sample X76,213153,
D05,Sample X77,217239,
D06,Sample X78,217183,
D07,Sample X79,178193,
D08,Sample X80,163480,
D09,Sample X81,179193,
D10,Sample X82,175885,
D11,Sample X83,170297,
D12,Sample X84,176537,
D13,Sample X85,168524,
D14,Sample X86,168356,
D15,Sample X87,143697,
D16,Sample X88,143353,
D17,Sample X89,147544,
D18,Sample X90,142609,
D19,Sample X91,115758,
D20,Sample X92,109864,
D21,Sample X93,111760,
D22,Sample X94,104257,
D23,Sample X95,105752,
D24,Sample X96,115694,
E01,Sample X97,247069,
E02,Sample X98,237879,
E03,Sample X99,184689,
E04,Sample X100,201731,
E05,Sample X101,213164,
E06,Sample X102,223565,
E07,Sample X103,181299,
E08,Sample X104,145469,
E09,Sample X105,167620,
E10,Sample X106,170563,
E11,Sample X107,152116,
E12,Sample X108,172464,
E13,Sample X109,159514,
E14,Sample X110,171899,
E15,Sample X111,152128,
E16,Sample X112,157640,
E17,Sample X113,158134,
E18,Sample X114,152886,
E19,Sample X115,122226,
E20,Sample X116,107280,
E21,Sample X117,119886,
E22,Sample X118,114911,
E23,Sample X119,102875,
E24,Sample X120,116638,
F01,Sample X121,213910,
F02,Sample X122,234458,
F03,Sample X123,185543,
F04,Sample X124,192177,
F05,Sample X125,213791,
F06,Sample X126,202468,
F07,Sample X127,180239,
F08,Sample X128,115745,
F09,Sample X129,164634,
F10,Sample X130,160559,
F11,Sample X131,112905,
F12,Sample X132,151028,
F13,Sample X133,150670,
F14,Sample X134,171895,
F15,Sample X135,136108,
F16,Sample X136,147339,
F17,Sample X137,160624,
F18,Sample X138,148862,
F19,Sample X139,122601,
F20,Sample X140,85091,
F21,Sample X141,119722,
F22,Sample X142,109146,
F23,Sample X143,92930,
F24,Sample X144,118330,
G01,Sample X145,175534,
G02,Sample X146,230215,
G03,Sample X147,177149,
G04,Sample X148,157615,
G05,Sample X149,210747,
G06,Sample X150,199617,
G07,Sample X151,181236,
G08,Sample X152,82230,
G09,Sample X153,153066,
G10,Sample X154,148441,
G11,Sample X155,81266,
G12,Sample X156,129262,
G13,Sample X157,134474,
G14,Sample X158,173635,
G15,Sample X159,147264,
G16,Sample X160,138108,
G17,Sample X161,160309,
G18,Sample X162,165204,
G19,Sample X163,128452,
G20,Sample X164,74727,
G21,Sample X165,117875,
G22,Sample X166,107171,
G23,Sample X167,79039,
G24,Sample X168,107827,
H01,Sample X169,129905,
H02,Sample X170,216024,
H03,Sample X171,163350,
H04,Sample X172,127860,
H05,Sample X173,190981,
H06,Sample X174,190358,
H07,Sample X175,167503,
H08,Sample X176,49640,
H09,Sample X177,130081,
H10,Sample X178,115011,
H11,Sample X179,50719,
H12,Sample X180,93473,
H13,Sample X181,111698,
H14,Sample X182,167897,
H15,Sample X183,135671,
H16,Sample X184,117470,
H17,Sample X185,160875,
H18,Sample X186,162263,
H19,Sample X187,135031,
H20,Sample X188,53659,
H21,Sample X189,106164,
H22,Sample X190,95415,
H23,Sample X191,58043,
H24,Sample X192,84973,
I01,Sample X193,88044,
I02,Sample X194,192892,
I03,Sample X195,142315,
I04,Sample X196,97487,
I05,Sample X197,174704,
I06,Sample X198,175180,
I07,Sample X199,170327,
I08,Sample X200,33500,
I09,Sample X201,112970,
I10,Sample X202,85696,
I11,Sample X203,28156,
I12,Sample X204,69759,
I13,Sample X205,90472,
I14,Sample X206,156985,
I15,Sample X207,119664,
I16,Sample X208,97961,
I17,Sample X209,145846,
I18,Sample X210,146241,
I19,Sample X211,129226,
I20,Sample X212,42217,
I21,Sample X213,102786,
I22,Sample X214,83519,
I23,Sample X215,42224,
I24,Sample X216,67696,
J01,Sample X217,58806,
J02,Sample X218,152910,
J03,Sample X219,117922,
J04,Sample X220,64266,
J05,Sample X221,149043,
J06,Sample X222,130904,
J07,Sample X223,176601,
J08,Sample X224,28328,
J09,Sample X225,82805,
J10,Sample X226,63683,
J11,Sample X227,19426,
J12,Sample X228,47389,
J13,Sample X229,67150,
J14,Sample X230,141748,
J15,Sample X231,120893,
J16,Sample X232,76090,
J17,Sample X233,146735,
J18,Sample X234,133276,
J19,Sample X235,136409,
J20,Sample X236,37097,
J21,Sample X237,82598,
J22,Sample X238,69521,
J23,Sample X239,32457,
J24,Sample X240,52832,
K01,Sample X241,43960,
K02,Sample X242,112751,
K03,Sample X243,92846,
K04,Sample X244,44982,
K05,Sample X245,114414,
K06,Sample X246,114647,
K07,Sample X247,170006,
K08,Sample X248,24888,
K09,Sample X249,58272,
K10,Sample X250,48485,
K11,Sample X251,17684,
K12,Sample X252,35037,
K13,Sample X253,55968,
K14,Sample X254,124593,
K15,Sample X255,92148,
K16,Sample X256,64544,
K17,Sample X257,117469,
K18,Sample X258,115413,
K19,Sample X259,134072,
K20,Sample X260,38057,
K21,Sample X261,68697,
K22,Sample X262,71526,
K23,Sample X263,26941,
K24,Sample X264,44989,
L01,Sample X265,39776,
L02,Sample X266,79763,
L03,Sample X267,56942,
L04,Sample X268,36015,
L05,Sample X269,72684,
L06,Sample X270,74701,
L07,Sample X271,171954,
