"chmn","med.hitc","med.modl_ga","AR2.antagonist.hitc","AR2.antagonist.ga","use.class"
"Procymidone",1,0.542486636185001,1,0.836450529803557,"pesticide"
"2,4-Dihydroxybenzophenone",1,1.59257658444366,1,1.56356986262872,"cosmetic"
"Atrazine",0,2.5,0,2.5,"pesticide"
"Butylparaben",1,1.74303533989,1,1.74889876409277,"cosmetic"
"Methomyl",0,2.5,0,2.5,"pesticide"
"Corticosterone",1,0.253174419993733,1,0.87725630927776,"drug (cortisol)"
"17-Methyltestosterone",0,2.5,1,-0.776743334131549,"drug (androgen)"
"Genistein",0,2.5,1,1.02613719667619,"drug (estrogen)"
"Fenarimol",1,1.91614234332884,1,1.32212938932508,"pesticide"
"Testosterone propionate",0,2.5,1,-0.739706386275267,"drug (androgen)"
"Methoxychlor",1,1.52263490062861,1,0.824857004087847,"pesticide"
