"chmn","OT16.hitc","OT16.ga","AR2.hitc","AR2.ga","use.class"
"17alpha-Estradiol",1,-0.199630849495475,1,0.352614787661165,"drug (estrogen)"
"Methoxychlor",1,1.54216156352339,1,0.824857004087847,"pesticide"
"Bisphenol B",1,1.83928806860369,1,1.00250717153479,"industrial"
"Dicyclohexyl phthalate",1,1.54589364221956,1,1.21996479579408,"industrial"
"Hydroxyflutamide",1,1.07564357144202,1,-0.93182665360105,"drug (anti-androgen)"
"Finasteride",0,2.5,1,1.48606247378821,"drug (anti-androgen)"
"Phenothrin",1,1.85920573105629,0,2.5,"pesticide"
"Zearalenone",0,2.5,1,0.927170484423358,"mycotoxin"
"2,4-Dihydroxybenzophenone",1,1.77923050339529,1,1.56356986262872,"cosmetic"
"Mestranol",0,2.5,1,0.428977155161942,"drug (estrogen)"
"Deltamethrin",0,2.5,0,2.5,"pesticide"
"2,2',4,4'-Tetrahydroxybenzophenone",1,1.04273674944979,1,1.07203006676817,"cosmetic"
"Equilin",1,0.152427981858869,1,-0.0338553288571962,"drug (estrogen)"
"4-Dodecylphenol",1,1.42722498358482,0,2.5,"industrial"
