"spid","hill_tp","hill_ga","hill_gw"
"2-Hydroxyflutamide + NoRNA",99.396784680113,-0.0906443158902314,0.791420302998315
"Flutamide + NoRNA",119.999999988705,0.964496263289285,0.739919928241088
"Flutamide + Bgal",117.505436780973,0.972829916248832,0.805689273390378
"Flutamide + CYP1A2",102.364873289649,0.0880374265486482,0.724041653758511
"Flutamide + CYP3A4",119.862281820135,1.00677443617604,0.767109680656618
