Well,Content,Raw Data (No filter),
A01,Sample X1,459673,
A02,Sample X2,353659,
A03,Sample X3,245623,
A04,Sample X4,256245,
A05,Sample X5,255295,
A06,Sample X6,266992,
A07,Sample X7,227475,
A08,Sample X8,228457,
A09,Sample X9,237551,
A10,Sample X10,221652,
A11,Sample X11,226092,
A12,Sample X12,227565,
A13,Sample X13,206431,
A14,Sample X14,211838,
A15,Sample X15,124356,
A16,Sample X16,154092,
A17,Sample X17,115419,
A18,Sample X18,141076,
A19,Sample X19,135500,
A20,Sample X20,138226,
A21,Sample X21,135516,
A22,Sample X22,129916,
A23,Sample X23,133599,
A24,Sample X24,153384,
B01,Sample X25,384013,
B02,Sample X26,317063,
B03,Sample X27,194055,
B04,Sample X28,238415,
B05,Sample X29,215479,
B06,Sample X30,267536,
B07,Sample X31,223725,
B08,Sample X32,212938,
B09,Sample X33,214798,
B10,Sample X34,211406,
B11,Sample X35,214629,
B12,Sample X36,208669,
B13,Sample X37,186363,
B14,Sample X38,173410,
B15,Sample X39,107656,
B16,Sample X40,130130,
B17,Sample X41,140351,
B18,Sample X42,138240,
B19,Sample X43,111439,
B20,Sample X44,118934,
B21,Sample X45,119390,
B22,Sample X46,108917,
B23,Sample X47,114439,
B24,Sample X48,121047,
C01,Sample X49,343788,
C02,Sample X50,304568,
C03,Sample X51,188404,
C04,Sample X52,249841,
C05,Sample X53,222084,
C06,Sample X54,244666,
C07,Sample X55,220640,
C08,Sample X56,207748,
C09,Sample X57,216475,
C10,Sample X58,208810,
C11,Sample X59,214313,
C12,Sample X60,214023,
C13,Sample X61,169099,
C14,Sample X62,171602,
C15,Sample X63,102915,
C16,Sample X64,135026,
C17,Sample X65,129325,
C18,Sample X66,143178,
C19,Sample X67,122324,
C20,Sample X68,124165,
C21,Sample X69,129853,
C22,Sample X70,124663,
C23,Sample X71,123897,
C24,Sample X72,139620,
D01,Sample X73,342667,
D02,Sample X74,290912,
D03,Sample X75,195952,
D04,Sample X76,234514,
D05,Sample X77,245352,
D06,Sample X78,242158,
D07,Sample X79,216103,
D08,Sample X80,202041,
D09,Sample X81,202357,
D10,Sample X82,219366,
D11,Sample X83,200999,
D12,Sample X84,201697,
D13,Sample X85,164351,
D14,Sample X86,179062,
D15,Sample X87,105663,
D16,Sample X88,133442,
D17,Sample X89,141536,
D18,Sample X90,146993,
D19,Sample X91,122784,
D20,Sample X92,121343,
D21,Sample X93,70152,
D22,Sample X94,120929,
D23,Sample X95,118208,
D24,Sample X96,136142,
E01,Sample X97,305294,
E02,Sample X98,307591,
E03,Sample X99,193809,
E04,Sample X100,246548,
E05,Sample X101,207000,
E06,Sample X102,226101,
E07,Sample X103,212896,
E08,Sample X104,189153,
E09,Sample X105,215261,
E10,Sample X106,207627,
E11,Sample X107,185543,
E12,Sample X108,188327,
E13,Sample X109,166872,
E14,Sample X110,181037,
E15,Sample X111,114536,
E16,Sample X112,162748,
E17,Sample X113,148978,
E18,Sample X114,141224,
E19,Sample X115,135333,
E20,Sample X116,122044,
E21,Sample X117,136086,
E22,Sample X118,131550,
E23,Sample X119,127188,
E24,Sample X120,145217,
F01,Sample X121,272048,
F02,Sample X122,282044,
F03,Sample X123,196851,
F04,Sample X124,224421,
F05,Sample X125,219951,
F06,Sample X126,209321,
F07,Sample X127,216466,
F08,Sample X128,146674,
F09,Sample X129,215752,
F10,Sample X130,196657,
F11,Sample X131,155234,
F12,Sample X132,173691,
F13,Sample X133,167241,
F14,Sample X134,179685,
F15,Sample X135,109796,
F16,Sample X136,130721,
F17,Sample X137,157159,
F18,Sample X138,152223,
F19,Sample X139,137856,
F20,Sample X140,107864,
F21,Sample X141,131047,
F22,Sample X142,121855,
F23,Sample X143,112587,
F24,Sample X144,135631,
G01,Sample X145,234115,
G02,Sample X146,284707,
G03,Sample X147,182777,
G04,Sample X148,192552,
G05,Sample X149,237104,
G06,Sample X150,223513,
G07,Sample X151,209138,
G08,Sample X152,111413,
G09,Sample X153,200475,
G10,Sample X154,183852,
G11,Sample X155,107258,
G12,Sample X156,178738,
G13,Sample X157,157224,
G14,Sample X158,183274,
G15,Sample X159,120349,
G16,Sample X160,150786,
G17,Sample X161,137283,
G18,Sample X162,164292,
G19,Sample X163,141201,
G20,Sample X164,96113,
G21,Sample X165,135554,
G22,Sample X166,124534,
G23,Sample X167,91623,
G24,Sample X168,136673,
H01,Sample X169,189435,
H02,Sample X170,272346,
H03,Sample X171,178264,
H04,Sample X172,146238,
H05,Sample X173,196520,
H06,Sample X174,238513,
H07,Sample X175,215269,
H08,Sample X176,75343,
H09,Sample X177,183718,
H10,Sample X178,152741,
H11,Sample X179,62878,
H12,Sample X180,134228,
H13,Sample X181,138786,
H14,Sample X182,181454,
H15,Sample X183,116109,
H16,Sample X184,136729,
H17,Sample X185,146726,
H18,Sample X186,143708,
H19,Sample X187,138797,
H20,Sample X188,69898,
H21,Sample X189,126665,
H22,Sample X190,118801,
H23,Sample X191,72885,
H24,Sample X192,122236,
I01,Sample X193,146412,
I02,Sample X194,255200,
I03,Sample X195,168407,
I04,Sample X196,124153,
I05,Sample X197,207400,
I06,Sample X198,183608,
I07,Sample X199,215528,
I08,Sample X200,50655,
I09,Sample X201,157712,
I10,Sample X202,117151,
I11,Sample X203,34595,
I12,Sample X204,97759,
I13,Sample X205,117965,
I14,Sample X206,181469,
I15,Sample X207,125527,
I16,Sample X208,121763,
I17,Sample X209,162991,
I18,Sample X210,145078,
I19,Sample X211,149818,
I20,Sample X212,52528,
I21,Sample X213,120286,
I22,Sample X214,106772,
I23,Sample X215,55165,
I24,Sample X216,94451,
J01,Sample X217,98887,
J02,Sample X218,216449,
J03,Sample X219,137205,
J04,Sample X220,90854,
J05,Sample X221,173954,
J06,Sample X222,167821,
J07,Sample X223,210490,
J08,Sample X224,36144,
J09,Sample X225,118473,
J10,Sample X226,87343,
J11,Sample X227,23140,
J12,Sample X228,68880,
J13,Sample X229,95314,
J14,Sample X230,162169,
J15,Sample X231,105895,
J16,Sample X232,81494,
J17,Sample X233,134898,
J18,Sample X234,142030,
J19,Sample X235,145137,
J20,Sample X236,43570,
J21,Sample X237,107378,
J22,Sample X238,95633,
J23,Sample X239,40946,
J24,Sample X240,72744,
K01,Sample X241,63892,
K02,Sample X242,156997,
K03,Sample X243,102936,
K04,Sample X244,65576,
K05,Sample X245,148896,
K06,Sample X246,132304,
K07,Sample X247,207891,
K08,Sample X248,34189,
K09,Sample X249,89163,
K10,Sample X250,63417,
K11,Sample X251,20284,
K12,Sample X252,51323,
K13,Sample X253,67556,
K14,Sample X254,139292,
K15,Sample X255,95169,
K16,Sample X256,76448,
K17,Sample X257,110669,
K18,Sample X258,119859,
K19,Sample X259,155390,
K20,Sample X260,43521,
K21,Sample X261,92483,
K22,Sample X262,92960,
K23,Sample X263,35372,
K24,Sample X264,60658,
L01,Sample X265,48149,
L02,Sample X266,116594,
L03,Sample X267,76648,
L04,Sample X268,49164,
L05,Sample X269,95961,
L06,Sample X270,99064,
L07,Sample X271,212932,
L08,Sample X272,32471,
L09,Sample X273,58117,
L10,Sample X274,61162,
L11,Sample X275,21818,
L12,Sample X276,37215,
