Well,Content,Raw Data (No filter),
A01,Sample X1,2774,
A02,Sample X2,2506,
A03,Sample X3,2604,
A04,Sample X4,2579,
A05,Sample X5,2473,
A06,Sample X6,2744,
A07,Sample X7,175025,
A08,Sample X8,180483,
A09,Sample X9,178060,
A10,Sample X10,198627,
A11,Sample X11,176816,
A12,Sample X12,191339,
A13,Sample X13,1505,
A14,Sample X14,1415,
A15,Sample X15,1505,
A16,Sample X16,1320,
A17,Sample X17,1584,
A18,Sample X18,1503,
A19,Sample X19,86052,
A20,Sample X20,82249,
A21,Sample X21,88145,
A22,Sample X22,95152,
A23,Sample X23,95228,
A24,Sample X24,102460,
B01,Sample X25,2368,
B02,Sample X26,2407,
B03,Sample X27,2368,
B04,Sample X28,2401,
B05,Sample X29,2616,
B06,Sample X30,2613,
B07,Sample X31,165209,
B08,Sample X32,175163,
B09,Sample X33,166361,
B10,Sample X34,173774,
B11,Sample X35,167819,
B12,Sample X36,171708,
B13,Sample X37,1852,
B14,Sample X38,1786,
B15,Sample X39,1777,
B16,Sample X40,1860,
B17,Sample X41,1882,
B18,Sample X42,1974,
B19,Sample X43,87532,
B20,Sample X44,72990,
B21,Sample X45,85411,
B22,Sample X46,85636,
B23,Sample X47,99401,
B24,Sample X48,90908,
C01,Sample X49,2594,
C02,Sample X50,2407,
C03,Sample X51,2233,
C04,Sample X52,2563,
C05,Sample X53,2267,
C06,Sample X54,2519,
C07,Sample X55,168009,
C08,Sample X56,152287,
C09,Sample X57,160104,
C10,Sample X58,154938,
C11,Sample X59,157318,
C12,Sample X60,161797,
C13,Sample X61,1681,
C14,Sample X62,1536,
C15,Sample X63,2020,
C16,Sample X64,1912,
C17,Sample X65,1772,
C18,Sample X66,1687,
C19,Sample X67,74037,
C20,Sample X68,71998,
C21,Sample X69,77199,
C22,Sample X70,75066,
C23,Sample X71,72832,
C24,Sample X72,84628,
D01,Sample X73,2547,
D02,Sample X74,2260,
D03,Sample X75,2356,
D04,Sample X76,6025,
D05,Sample X77,5799,
D06,Sample X78,6307,
D07,Sample X79,152521,
D08,Sample X80,137746,
D09,Sample X81,167836,
D10,Sample X82,186228,
D11,Sample X83,147719,
D12,Sample X84,159738,
D13,Sample X85,1664,
D14,Sample X86,1800,
D15,Sample X87,1639,
D16,Sample X88,2111,
D17,Sample X89,2046,
D18,Sample X90,2178,
D19,Sample X91,73657,
D20,Sample X92,65503,
D21,Sample X93,81638,
D22,Sample X94,82329,
D23,Sample X95,71703,
D24,Sample X96,89707,
E01,Sample X97,2532,
E02,Sample X98,2447,
E03,Sample X99,2563,
E04,Sample X100,14750,
E05,Sample X101,15363,
E06,Sample X102,14365,
E07,Sample X103,153100,
E08,Sample X104,126645,
E09,Sample X105,149245,
E10,Sample X106,142338,
E11,Sample X107,128145,
E12,Sample X108,150473,
E13,Sample X109,1560,
E14,Sample X110,1413,
E15,Sample X111,1606,
E16,Sample X112,4327,
E17,Sample X113,4251,
E18,Sample X114,4348,
E19,Sample X115,82679,
E20,Sample X116,56966,
E21,Sample X117,74190,
E22,Sample X118,82585,
E23,Sample X119,64883,
E24,Sample X120,76448,
F01,Sample X121,2621,
F02,Sample X122,2371,
F03,Sample X123,2443,
F04,Sample X124,43072,
F05,Sample X125,43997,
F06,Sample X126,43550,
F07,Sample X127,156474,
F08,Sample X128,110616,
