Well,Content,Raw Data (No filter),
K05,Sample X245,124404,
K06,Sample X246,125506,
K07,Sample X247,125024,
K08,Sample X248,16482,
K09,Sample X249,42739,
K10,Sample X250,31581,
K11,Sample X251,12949,
K12,Sample X252,24719,
K13,Sample X253,2276,
K14,Sample X254,2054,
K15,Sample X255,2094,
K16,Sample X256,50029,
K17,Sample X257,47833,
K18,Sample X258,49596,
K19,Sample X259,45819,
K20,Sample X260,6041,
K21,Sample X261,20102,
K22,Sample X262,12256,
K23,Sample X263,5599,
K24,Sample X264,9184,
L01,Sample X265,14651,
L02,Sample X266,11122,
L03,Sample X267,11231,
L04,Sample X268,119756,
L05,Sample X269,116218,
L06,Sample X270,118252,
L07,Sample X271,120971,
L08,Sample X272,15701,
L09,Sample X273,29745,
L10,Sample X274,27092,
L11,Sample X275,12359,
L12,Sample X276,19663,
L13,Sample X277,4011,
L14,Sample X278,4655,
L15,Sample X279,4393,
L16,Sample X280,55544,
L17,Sample X281,49534,
L18,Sample X282,53291,
L19,Sample X283,45814,
L20,Sample X284,6341,
L21,Sample X285,13310,
L22,Sample X286,11578,
L23,Sample X287,4636,
L24,Sample X288,7665,
M01,Sample X289,29119,
M02,Sample X290,28588,
M03,Sample X291,28294,
M04,Sample X292,125002,
M05,Sample X293,128876,
M06,Sample X294,123426,
M07,Sample X295,115436,
M08,Sample X296,15765,
M09,Sample X297,17436,
M10,Sample X298,27025,
M11,Sample X299,1211,
M12,Sample X300,13631,
M13,Sample X301,8185,
M14,Sample X302,6884,
M15,Sample X303,8101,
M16,Sample X304,51924,
M17,Sample X305,54256,
M18,Sample X306,53145,
M19,Sample X307,44024,
M20,Sample X308,6552,
M21,Sample X309,8984,
M22,Sample X310,11187,
M23,Sample X311,1384,
M24,Sample X312,6308,
N01,Sample X313,42545,
N02,Sample X314,40975,
N03,Sample X315,38107,
N04,Sample X316,131524,
N05,Sample X317,127630,
N06,Sample X318,113881,
N07,Sample X319,120682,
N08,Sample X320,3257,
N09,Sample X321,4745,
N10,Sample X322,34647,
N11,Sample X323,984,
N12,Sample X324,4073,
N13,Sample X325,9291,
N14,Sample X326,10027,
N15,Sample X327,11074,
N16,Sample X328,51473,
N17,Sample X329,49355,
N18,Sample X330,52005,
N19,Sample X331,40847,
N20,Sample X332,3367,
N21,Sample X333,4676,
N22,Sample X334,11803,
N23,Sample X335,1416,
N24,Sample X336,5020,
O01,Sample X337,45969,
O02,Sample X338,41074,
O03,Sample X339,39489,
O04,Sample X340,130555,
O05,Sample X341,126568,
O06,Sample X342,126750,
O07,Sample X343,121522,
O08,Sample X344,1157,
O09,Sample X345,1377,
O10,Sample X346,41521,
O11,Sample X347,1047,
O12,Sample X348,1075,
O13,Sample X349,10689,
O14,Sample X350,10211,
O15,Sample X351,9937,
O16,Sample X352,48302,
O17,Sample X353,52060,
O18,Sample X354,50624,
O19,Sample X355,44730,
O20,Sample X356,3422,
O21,Sample X357,3032,
O22,Sample X358,12868,
O23,Sample X359,1568,
O24,Sample X360,3436,
P01,Sample X361,47139,
P02,Sample X362,41416,
P03,Sample X363,48046,
P04,Sample X364,152601,
P05,Sample X365,156283,
P06,Sample X366,143803,
P07,Sample X367,139367,
P08,Sample X368,132354,
P09,Sample X369,129270,
P10,Sample X370,113286,
P11,Sample X371,122512,
P12,Sample X372,125619,
P13,Sample X373,9797,
P14,Sample X374,9362,
P15,Sample X375,10677,
P16,Sample X376,55598,
P17,Sample X377,54674,
P18,Sample X378,48336,
P19,Sample X379,51453,
P20,Sample X380,44891,
P21,Sample X381,39959,
P22,Sample X382,47585,
P23,Sample X383,40952,
P24,Sample X384,52542,
