Well,Content,Raw Data (No filter),
A01,Sample X1,2342,
A02,Sample X2,2294,
A03,Sample X3,2222,
A04,Sample X4,2381,
A05,Sample X5,2333,
A06,Sample X6,2513,
A07,Sample X7,2306,
A08,Sample X8,2492,
A09,Sample X9,128,
A10,Sample X10,118,
A11,Sample X11,89,
A12,Sample X12,112,
A13,Sample X13,609,
A14,Sample X14,2479,
A15,Sample X15,2820,
A16,Sample X16,2666,
A17,Sample X17,2768,
A18,Sample X18,2463,
A19,Sample X19,2272,
A20,Sample X20,2314,
A21,Sample X21,2246,
A22,Sample X22,2472,
A23,Sample X23,2222,
A24,Sample X24,2276,
B01,Sample X25,2494,
B02,Sample X26,2331,
B03,Sample X27,2346,
B04,Sample X28,2328,
B05,Sample X29,2318,
B06,Sample X30,2214,
B07,Sample X31,2372,
B08,Sample X32,2431,
B09,Sample X33,14380,
B10,Sample X34,14453,
B11,Sample X35,14948,
B12,Sample X36,13271,
B13,Sample X37,13225,
B14,Sample X38,13222,
B15,Sample X39,9749,
B16,Sample X40,7400,
B17,Sample X41,4827,
B18,Sample X42,3079,
B19,Sample X43,2678,
B20,Sample X44,2425,
B21,Sample X45,2241,
B22,Sample X46,2185,
B23,Sample X47,2228,
B24,Sample X48,2299,
C01,Sample X49,2381,
C02,Sample X50,2337,
C03,Sample X51,2143,
C04,Sample X52,2336,
C05,Sample X53,2351,
C06,Sample X54,2347,
C07,Sample X55,2372,
C08,Sample X56,2490,
C09,Sample X57,2676,
C10,Sample X58,3372,
C11,Sample X59,3961,
C12,Sample X60,5755,
C13,Sample X61,7856,
C14,Sample X62,8168,
C15,Sample X63,6760,
C16,Sample X64,5674,
C17,Sample X65,3890,
C18,Sample X66,3260,
C19,Sample X67,2669,
C20,Sample X68,2397,
C21,Sample X69,2376,
C22,Sample X70,2332,
C23,Sample X71,2232,
C24,Sample X72,2422,
D01,Sample X73,2814,
D02,Sample X74,1447,
D03,Sample X75,2346,
D04,Sample X76,2382,
D05,Sample X77,2272,
D06,Sample X78,2421,
D07,Sample X79,2376,
D08,Sample X80,2689,
D09,Sample X81,3095,
D10,Sample X82,3991,
D11,Sample X83,6543,
D12,Sample X84,8836,
D13,Sample X85,10779,
D14,Sample X86,10544,
D15,Sample X87,9892,
D16,Sample X88,7672,
D17,Sample X89,5856,
D18,Sample X90,3906,
D19,Sample X91,3450,
D20,Sample X92,2636,
D21,Sample X93,2449,
D22,Sample X94,2415,
D23,Sample X95,2273,
D24,Sample X96,2447,
E01,Sample X97,2461,
E02,Sample X98,2331,
E03,Sample X99,2510,
E04,Sample X100,2949,
E05,Sample X101,2843,
E06,Sample X102,2825,
E07,Sample X103,2625,
E08,Sample X104,2673,
E09,Sample X105,3149,
E10,Sample X106,5068,
E11,Sample X107,8750,
E12,Sample X108,11091,
E13,Sample X109,2706,
E14,Sample X110,7579,
E15,Sample X111,9321,
E16,Sample X112,11003,
E17,Sample X113,9608,
E18,Sample X114,7440,
E19,Sample X115,4143,
E20,Sample X116,2801,
E21,Sample X117,2375,
E22,Sample X118,2308,
E23,Sample X119,2267,
E24,Sample X120,2420,
F01,Sample X121,2547,
F02,Sample X122,2781,
F03,Sample X123,2663,
F04,Sample X124,2566,
F05,Sample X125,2484,
F06,Sample X126,2341,
F07,Sample X127,2726,
F08,Sample X128,2794,
F09,Sample X129,3626,
F10,Sample X130,6059,
F11,Sample X131,10239,
F12,Sample X132,12562,
F13,Sample X133,2096,
F14,Sample X134,1921,
F15,Sample X135,12183,
F16,Sample X136,13519,
F17,Sample X137,12769,
F18,Sample X138,10751,
F19,Sample X139,5311,
F20,Sample X140,3242,
F21,Sample X141,2494,
F22,Sample X142,2636,
F23,Sample X143,2432,
F24,Sample X144,2359,
G01,Sample X145,2570,
G02,Sample X146,1268,
G03,Sample X147,1254,
G04,Sample X148,1262,
G05,Sample X149,1028,
G06,Sample X150,1186,
G07,Sample X151,1621,
G08,Sample X152,1675,
G09,Sample X153,1849,
G10,Sample X154,2164,
G11,Sample X155,6769,
G12,Sample X156,11238,
G13,Sample X157,12642,
G14,Sample X158,11973,
G15,Sample X159,11709,
