Well,Content,Raw Data (No filter),
A01,Sample X1,298604,
A02,Sample X2,292364,
A03,Sample X3,227316,
A04,Sample X4,220926,
A05,Sample X5,261116,
A06,Sample X6,252404,
A07,Sample X7,243873,
A08,Sample X8,227120,
A09,Sample X9,319,
A10,Sample X10,210,
A11,Sample X11,218,
A12,Sample X12,219,
A13,Sample X13,10376,
A14,Sample X14,175381,
A15,Sample X15,226412,
A16,Sample X16,209034,
A17,Sample X17,248175,
A18,Sample X18,228429,
A19,Sample X19,229194,
A20,Sample X20,218294,
A21,Sample X21,235415,
A22,Sample X22,243215,
A23,Sample X23,253850,
A24,Sample X24,251206,
B01,Sample X25,291096,
B02,Sample X26,256675,
B03,Sample X27,259339,
B04,Sample X28,248885,
B05,Sample X29,249753,
B06,Sample X30,232692,
B07,Sample X31,258658,
B08,Sample X32,239294,
B09,Sample X33,11414,
B10,Sample X34,10842,
B11,Sample X35,10254,
B12,Sample X36,10921,
B13,Sample X37,22946,
B14,Sample X38,33082,
B15,Sample X39,68339,
B16,Sample X40,115682,
B17,Sample X41,180725,
B18,Sample X42,210883,
B19,Sample X43,234649,
B20,Sample X44,234722,
B21,Sample X45,254772,
B22,Sample X46,226780,
B23,Sample X47,224468,
B24,Sample X48,236950,
C01,Sample X49,234566,
C02,Sample X50,2377,
C03,Sample X51,1877,
C04,Sample X52,3071,
C05,Sample X53,30655,
C06,Sample X54,93458,
C07,Sample X55,153196,
C08,Sample X56,212355,
C09,Sample X57,225081,
C10,Sample X58,260570,
C11,Sample X59,243928,
C12,Sample X60,249530,
C13,Sample X61,141235,
C14,Sample X62,237814,
C15,Sample X63,266244,
C16,Sample X64,255736,
C17,Sample X65,231313,
C18,Sample X66,218220,
C19,Sample X67,221576,
C20,Sample X68,256010,
C21,Sample X69,210009,
C22,Sample X70,217342,
C23,Sample X71,219230,
C24,Sample X72,256612,
D01,Sample X73,287799,
D02,Sample X74,19475,
D03,Sample X75,66562,
D04,Sample X76,139766,
D05,Sample X77,211090,
D06,Sample X78,261227,
D07,Sample X79,257617,
D08,Sample X80,247988,
D09,Sample X81,226147,
D10,Sample X82,254852,
D11,Sample X83,255179,
D12,Sample X84,213999,
D13,Sample X85,338087,
D14,Sample X86,231215,
D15,Sample X87,207820,
D16,Sample X88,232684,
D17,Sample X89,251249,
D18,Sample X90,235246,
D19,Sample X91,253899,
D20,Sample X92,241851,
D21,Sample X93,228036,
D22,Sample X94,228707,
D23,Sample X95,246789,
D24,Sample X96,267882,
E01,Sample X97,248164,
E02,Sample X98,8550,
E03,Sample X99,34053,
E04,Sample X100,87876,
E05,Sample X101,129672,
E06,Sample X102,186081,
E07,Sample X103,198394,
E08,Sample X104,220775,
E09,Sample X105,274166,
E10,Sample X106,238190,
E11,Sample X107,260442,
E12,Sample X108,262442,
E13,Sample X109,1899,
E14,Sample X110,1698,
E15,Sample X111,1809,
E16,Sample X112,2061,
E17,Sample X113,2071,
E18,Sample X114,2222,
E19,Sample X115,2202,
E20,Sample X116,65881,
E21,Sample X117,226943,
E22,Sample X118,251962,
E23,Sample X119,254281,
E24,Sample X120,252366,
F01,Sample X121,253902,
F02,Sample X122,1846,
F03,Sample X123,5532,
F04,Sample X124,26554,
F05,Sample X125,73771,
F06,Sample X126,153110,
F07,Sample X127,209380,
F08,Sample X128,255858,
F09,Sample X129,244206,
F10,Sample X130,260085,
F11,Sample X131,251122,
F12,Sample X132,247796,
F13,Sample X133,24185,
F14,Sample X134,53622,
F15,Sample X135,54384,
F16,Sample X136,171840,
F17,Sample X137,157713,
F18,Sample X138,95519,
F19,Sample X139,193376,
F20,Sample X140,247670,
F21,Sample X141,235336,
F22,Sample X142,246310,
F23,Sample X143,248753,
F24,Sample X144,261008,
G01,Sample X145,242706,
G02,Sample X146,3305,
G03,Sample X147,11040,
G04,Sample X148,40947,
G05,Sample X149,95243,
G06,Sample X150,169968,
G07,Sample X151,204306,
G08,Sample X152,225973,
G09,Sample X153,256769,
G10,Sample X154,245961,
G11,Sample X155,259154,
G12,Sample X156,252979,
G13,Sample X157,232362,
G14,Sample X158,259441,
G15,Sample X159,256840,
G16,Sample X160,252725,
G17,Sample X161,231165,
G18,Sample X162,234211,
G19,Sample X163,247547,
G20,Sample X164,260721,
G21,Sample X165,244033,
G22,Sample X166,244979,
G23,Sample X167,240947,
G24,Sample X168,279133,
H01,Sample X169,264307,
H02,Sample X170,232980,
H03,Sample X171,249318,
H04,Sample X172,226910,
H05,Sample X173,338434,
H06,Sample X174,235963,
H07,Sample X175,230611,
H08,Sample X176,231610,
H09,Sample X177,236305,
H10,Sample X178,287603,
H11,Sample X179,238804,
H12,Sample X180,242474,
H13,Sample X181,252622,
H14,Sample X182,270152,
H15,Sample X183,244908,
H16,Sample X184,220560,
H17,Sample X185,249767,
H18,Sample X186,256429,
H19,Sample X187,238733,
H20,Sample X188,230527,
H21,Sample X189,233717,
H22,Sample X190,219426,
H23,Sample X191,205706,
H24,Sample X192,263546,
I01,Sample X193,261491,
I02,Sample X194,23947,
I03,Sample X195,64496,
I04,Sample X196,93397,
I05,Sample X197,132508,
I06,Sample X198,197569,
I07,Sample X199,215392,
I08,Sample X200,248194,
I09,Sample X201,259889,
I10,Sample X202,250290,
I11,Sample X203,263715,
I12,Sample X204,245434,
I13,Sample X205,2084,
I14,Sample X206,3909,
I15,Sample X207,191010,
I16,Sample X208,198096,
I17,Sample X209,232668,
I18,Sample X210,242494,
I19,Sample X211,242268,
I20,Sample X212,213898,
I21,Sample X213,220282,
I22,Sample X214,242154,
I23,Sample X215,230370,
I24,Sample X216,270657,
J01,Sample X217,241636,
J02,Sample X218,125816,
J03,Sample X219,180353,
J04,Sample X220,203687,
J05,Sample X221,212318,
J06,Sample X222,219010,
J07,Sample X223,224935,
J08,Sample X224,234808,
J09,Sample X225,269910,
J10,Sample X226,250017,
J11,Sample X227,248153,
J12,Sample X228,261884,
J13,Sample X229,3852,
J14,Sample X230,23405,
J15,Sample X231,56887,
J16,Sample X232,83000,
J17,Sample X233,123049,
J18,Sample X234,155776,
J19,Sample X235,205334,
J20,Sample X236,217327,
J21,Sample X237,212313,
J22,Sample X238,221049,
J23,Sample X239,253930,
J24,Sample X240,250955,
K01,Sample X241,265604,
K02,Sample X242,23612,
K03,Sample X243,70359,
K04,Sample X244,133026,
K05,Sample X245,222459,
K06,Sample X246,223338,
K07,Sample X247,227400,
K08,Sample X248,226047,
K09,Sample X249,225123,
K10,Sample X250,254773,
K11,Sample X251,246525,
K12,Sample X252,245908,
K13,Sample X253,253323,
K14,Sample X254,247572,
K15,Sample X255,245466,
K16,Sample X256,236662,
K17,Sample X257,255752,
K18,Sample X258,252833,
K19,Sample X259,247401,
K20,Sample X260,239755,
K21,Sample X261,236161,
K22,Sample X262,218184,
K23,Sample X263,242879,
K24,Sample X264,260789,
L01,Sample X265,253543,
L02,Sample X266,113853,
L03,Sample X267,173444,
L04,Sample X268,199781,
L05,Sample X269,224233,
L06,Sample X270,218596,
L07,Sample X271,206903,
L08,Sample X272,236448,
L09,Sample X273,215115,
L10,Sample X274,275340,
L11,Sample X275,242021,
L12,Sample X276,222432,
L13,Sample X277,316289,
L14,Sample X278,245776,
L15,Sample X279,251144,
L16,Sample X280,235796,
L17,Sample X281,241795,
L18,Sample X282,233405,
L19,Sample X283,249004,
L20,Sample X284,223119,
L21,Sample X285,236995,
L22,Sample X286,227073,
L23,Sample X287,256468,
L24,Sample X288,255575,
M01,Sample X289,242295,
M02,Sample X290,41961,
M03,Sample X291,41972,
M04,Sample X292,71318,
M05,Sample X293,88477,
M06,Sample X294,88578,
M07,Sample X295,128580,
M08,Sample X296,197948,
M09,Sample X297,242279,
M10,Sample X298,239906,
M11,Sample X299,254044,
M12,Sample X300,226877,
M13,Sample X301,25904,
M14,Sample X302,34210,
M15,Sample X303,53475,
M16,Sample X304,59914,
M17,Sample X305,46095,
M18,Sample X306,79895,
M19,Sample X307,141031,
M20,Sample X308,190246,
M21,Sample X309,200481,
M22,Sample X310,239221,
M23,Sample X311,244817,
M24,Sample X312,246157,
N01,Sample X313,271985,
N02,Sample X314,1653,
N03,Sample X315,2817,
N04,Sample X316,8438,
N05,Sample X317,13298,
N06,Sample X318,22908,
N07,Sample X319,35312,
N08,Sample X320,83562,
N09,Sample X321,137490,
N10,Sample X322,197558,
N11,Sample X323,228111,
N12,Sample X324,255415,
N13,Sample X325,37206,
N14,Sample X326,45902,
N15,Sample X327,64275,
N16,Sample X328,103226,
N17,Sample X329,132756,
N18,Sample X330,165423,
N19,Sample X331,209910,
N20,Sample X332,218374,
N21,Sample X333,220477,
N22,Sample X334,233381,
N23,Sample X335,239432,
N24,Sample X336,258874,
O01,Sample X337,271304,
O02,Sample X338,27334,
O03,Sample X339,37584,
O04,Sample X340,71442,
O05,Sample X341,134792,
O06,Sample X342,187004,
O07,Sample X343,208182,
O08,Sample X344,231534,
O09,Sample X345,237190,
O10,Sample X346,288298,
O11,Sample X347,245213,
O12,Sample X348,256774,
O13,Sample X349,174752,
O14,Sample X350,154923,
O15,Sample X351,174412,
O16,Sample X352,183399,
O17,Sample X353,213922,
O18,Sample X354,190389,
O19,Sample X355,208569,
O20,Sample X356,216119,
O21,Sample X357,278775,
O22,Sample X358,276621,
O23,Sample X359,246470,
O24,Sample X360,254711,
P01,Sample X361,288148,
P02,Sample X362,270070,
P03,Sample X363,256345,
P04,Sample X364,245290,
P05,Sample X365,252949,
P06,Sample X366,255262,
P07,Sample X367,234188,
P08,Sample X368,255000,
P09,Sample X369,252055,
P10,Sample X370,260127,
P11,Sample X371,241209,
P12,Sample X372,267574,
P13,Sample X373,270378,
P14,Sample X374,259777,
P15,Sample X375,258001,
P16,Sample X376,271112,
P17,Sample X377,240948,
P18,Sample X378,264294,
P19,Sample X379,261758,
P20,Sample X380,257643,
P21,Sample X381,275533,
P22,Sample X382,267501,
P23,Sample X383,280060,
P24,Sample X384,273997,
