Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,105283,
A02,Sample X2,107006,
A03,Sample X3,107374,
A04,Sample X4,110945,
A05,Sample X5,109748,
A06,Sample X6,111770,
A07,Sample X7,113251,
A08,Sample X8,108550,
A09,Sample X9,1608,
A10,Sample X10,1654,
A11,Sample X11,1653,
A12,Sample X12,1716,
A13,Sample X13,3925,
A14,Sample X14,78182,
A15,Sample X15,97363,
A16,Sample X16,96681,
A17,Sample X17,106786,
A18,Sample X18,106530,
A19,Sample X19,110096,
A20,Sample X20,110561,
A21,Sample X21,103702,
A22,Sample X22,112848,
A23,Sample X23,104742,
A24,Sample X24,99087,
B01,Sample X25,109476,
B02,Sample X26,114536,
B03,Sample X27,116652,
B04,Sample X28,116856,
B05,Sample X29,113917,
B06,Sample X30,115554,
B07,Sample X31,115234,
B08,Sample X32,113790,
B09,Sample X33,114819,
B10,Sample X34,112074,
B11,Sample X35,115729,
B12,Sample X36,114482,
B13,Sample X37,114501,
B14,Sample X38,113318,
B15,Sample X39,114100,
B16,Sample X40,110404,
B17,Sample X41,116075,
B18,Sample X42,115867,
B19,Sample X43,115018,
B20,Sample X44,118263,
B21,Sample X45,116270,
B22,Sample X46,114491,
B23,Sample X47,116465,
B24,Sample X48,105498,
C01,Sample X49,111156,
C02,Sample X50,121913,
C03,Sample X51,131493,
C04,Sample X52,131741,
C05,Sample X53,125542,
C06,Sample X54,120949,
C07,Sample X55,119426,
C08,Sample X56,119304,
C09,Sample X57,119679,
C10,Sample X58,120129,
C11,Sample X59,119958,
C12,Sample X60,115084,
C13,Sample X61,108178,
C14,Sample X62,116503,
C15,Sample X63,118620,
C16,Sample X64,118020,
C17,Sample X65,115775,
C18,Sample X66,116299,
C19,Sample X67,116368,
C20,Sample X68,119894,
C21,Sample X69,116641,
C22,Sample X70,117988,
C23,Sample X71,116344,
C24,Sample X72,104716,
D01,Sample X73,110731,
D02,Sample X74,120148,
D03,Sample X75,122947,
D04,Sample X76,119506,
D05,Sample X77,120922,
D06,Sample X78,116076,
D07,Sample X79,119041,
D08,Sample X80,110845,
D09,Sample X81,115152,
D10,Sample X82,110315,
D11,Sample X83,112032,
D12,Sample X84,110784,
D13,Sample X85,109191,
D14,Sample X86,111763,
D15,Sample X87,113232,
D16,Sample X88,114649,
D17,Sample X89,111158,
D18,Sample X90,114480,
D19,Sample X91,112026,
D20,Sample X92,116297,
D21,Sample X93,116699,
D22,Sample X94,116940,
D23,Sample X95,114683,
D24,Sample X96,110699,
E01,Sample X97,114677,
E02,Sample X98,119342,
E03,Sample X99,118608,
E04,Sample X100,118840,
E05,Sample X101,117656,
E06,Sample X102,120783,
E07,Sample X103,114407,
E08,Sample X104,119816,
E09,Sample X105,115253,
E10,Sample X106,116513,
E11,Sample X107,115577,
E12,Sample X108,110819,
E13,Sample X109,109191,
E14,Sample X110,104114,
E15,Sample X111,102123,
E16,Sample X112,113149,
E17,Sample X113,105233,
E18,Sample X114,105120,
E19,Sample X115,112777,
E20,Sample X116,113716,
E21,Sample X117,115216,
E22,Sample X118,115068,
E23,Sample X119,113496,
E24,Sample X120,110100,
F01,Sample X121,112785,
F02,Sample X122,83860,
F03,Sample X123,101624,
F04,Sample X124,111673,
F05,Sample X125,113947,
F06,Sample X126,114213,
F07,Sample X127,114629,
F08,Sample X128,115408,
F09,Sample X129,117189,
F10,Sample X130,112410,
F11,Sample X131,108029,
F12,Sample X132,107775,
F13,Sample X133,91080,
F14,Sample X134,99908,
F15,Sample X135,101696,
F16,Sample X136,105334,
F17,Sample X137,100851,
F18,Sample X138,112991,
F19,Sample X139,113316,
F20,Sample X140,101360,
F21,Sample X141,113233,
F22,Sample X142,113504,
F23,Sample X143,114325,
F24,Sample X144,110682,
G01,Sample X145,113410,
G02,Sample X146,122369,
G03,Sample X147,126968,
G04,Sample X148,121748,
G05,Sample X149,119517,
G06,Sample X150,115872,
G07,Sample X151,114494,
G08,Sample X152,112597,
G09,Sample X153,116384,
G10,Sample X154,116238,
G11,Sample X155,108646,
G12,Sample X156,102728,
G13,Sample X157,99155,
G14,Sample X158,91090,
G15,Sample X159,107975,
G16,Sample X160,108517,
G17,Sample X161,113812,
G18,Sample X162,112278,
G19,Sample X163,118057,
G20,Sample X164,116174,
G21,Sample X165,119154,
G22,Sample X166,119904,
G23,Sample X167,116209,
G24,Sample X168,113880,
H01,Sample X169,116295,
H02,Sample X170,128602,
H03,Sample X171,125607,
H04,Sample X172,121982,
H05,Sample X173,125124,
H06,Sample X174,120493,
H07,Sample X175,108714,
H08,Sample X176,110950,
H09,Sample X177,107262,
H10,Sample X178,109637,
H11,Sample X179,109040,
H12,Sample X180,109551,
H13,Sample X181,102768,
H14,Sample X182,107763,
H15,Sample X183,103489,
H16,Sample X184,110199,
H17,Sample X185,112852,
