Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,106989,
A02,Sample X2,107802,
A03,Sample X3,105272,
A04,Sample X4,104787,
A05,Sample X5,107027,
A06,Sample X6,107882,
A07,Sample X7,110555,
A08,Sample X8,108269,
A09,Sample X9,1530,
A10,Sample X10,1564,
A11,Sample X11,1545,
A12,Sample X12,1529,
A13,Sample X13,23686,
A14,Sample X14,84427,
A15,Sample X15,97643,
A16,Sample X16,101880,
A17,Sample X17,105282,
A18,Sample X18,107309,
A19,Sample X19,105699,
A20,Sample X20,104908,
A21,Sample X21,109609,
A22,Sample X22,114079,
A23,Sample X23,109527,
A24,Sample X24,104099,
B01,Sample X25,112609,
B02,Sample X26,114422,
B03,Sample X27,117636,
B04,Sample X28,119397,
B05,Sample X29,114984,
B06,Sample X30,115465,
B07,Sample X31,115631,
B08,Sample X32,117932,
B09,Sample X33,113578,
B10,Sample X34,115009,
B11,Sample X35,114656,
B12,Sample X36,113895,
B13,Sample X37,114496,
B14,Sample X38,114051,
B15,Sample X39,114038,
B16,Sample X40,114658,
B17,Sample X41,112825,
B18,Sample X42,116414,
B19,Sample X43,116169,
B20,Sample X44,118246,
B21,Sample X45,117384,
B22,Sample X46,117442,
B23,Sample X47,112983,
B24,Sample X48,110181,
C01,Sample X49,110064,
C02,Sample X50,118226,
C03,Sample X51,117555,
C04,Sample X52,118474,
C05,Sample X53,114440,
C06,Sample X54,116987,
C07,Sample X55,115450,
C08,Sample X56,117813,
C09,Sample X57,115782,
C10,Sample X58,118900,
C11,Sample X59,118001,
C12,Sample X60,119816,
C13,Sample X61,123588,
C14,Sample X62,122970,
C15,Sample X63,120638,
C16,Sample X64,120217,
C17,Sample X65,116678,
C18,Sample X66,118788,
C19,Sample X67,118946,
C20,Sample X68,118072,
C21,Sample X69,119302,
C22,Sample X70,115435,
C23,Sample X71,116523,
C24,Sample X72,114607,
D01,Sample X73,114482,
D02,Sample X74,92398,
D03,Sample X75,111594,
D04,Sample X76,115920,
D05,Sample X77,114905,
D06,Sample X78,117865,
D07,Sample X79,115251,
D08,Sample X80,116381,
D09,Sample X81,117340,
D10,Sample X82,117023,
D11,Sample X83,117292,
D12,Sample X84,118327,
D13,Sample X85,115288,
D14,Sample X86,119224,
D15,Sample X87,117167,
D16,Sample X88,116435,
D17,Sample X89,117704,
D18,Sample X90,114542,
D19,Sample X91,115847,
D20,Sample X92,117877,
D21,Sample X93,121780,
D22,Sample X94,120130,
D23,Sample X95,114343,
D24,Sample X96,111892,
E01,Sample X97,112978,
E02,Sample X98,130109,
E03,Sample X99,133695,
E04,Sample X100,126820,
E05,Sample X101,120989,
E06,Sample X102,122283,
E07,Sample X103,115762,
E08,Sample X104,119312,
E09,Sample X105,119662,
E10,Sample X106,118124,
E11,Sample X107,117034,
E12,Sample X108,117454,
E13,Sample X109,113159,
E14,Sample X110,116021,
E15,Sample X111,116636,
E16,Sample X112,116077,
E17,Sample X113,116394,
E18,Sample X114,116195,
E19,Sample X115,117381,
E20,Sample X116,115244,
E21,Sample X117,116959,
E22,Sample X118,116846,
E23,Sample X119,116165,
E24,Sample X120,109836,
F01,Sample X121,114651,
F02,Sample X122,124274,
F03,Sample X123,121125,
F04,Sample X124,119498,
F05,Sample X125,120413,
F06,Sample X126,115645,
F07,Sample X127,114271,
F08,Sample X128,115877,
F09,Sample X129,116975,
F10,Sample X130,115386,
F11,Sample X131,119947,
F12,Sample X132,107628,
F13,Sample X133,1799,
F14,Sample X134,1792,
F15,Sample X135,106501,
F16,Sample X136,111603,
F17,Sample X137,114437,
F18,Sample X138,114804,
F19,Sample X139,112183,
F20,Sample X140,112918,
F21,Sample X141,116652,
F22,Sample X142,114066,
F23,Sample X143,114304,
F24,Sample X144,111937,
G01,Sample X145,117781,
G02,Sample X146,1950,
G03,Sample X147,1966,
G04,Sample X148,2248,
G05,Sample X149,90823,
G06,Sample X150,108916,
G07,Sample X151,113957,
G08,Sample X152,116062,
G09,Sample X153,117391,
G10,Sample X154,115556,
G11,Sample X155,112963,
G12,Sample X156,110824,
G13,Sample X157,109780,
G14,Sample X158,110654,
G15,Sample X159,107689,
G16,Sample X160,110113,
G17,Sample X161,108822,
G18,Sample X162,112081,
G19,Sample X163,105688,
G20,Sample X164,117461,
G21,Sample X165,114810,
G22,Sample X166,117105,
G23,Sample X167,115736,
G24,Sample X168,114872,
H01,Sample X169,113843,
H02,Sample X170,114925,
H03,Sample X171,120108,
