Well,Content,Raw Data (No filter),
A01,Sample X1,3094,
A02,Sample X2,2694,
A03,Sample X3,2531,
A04,Sample X4,2564,
A05,Sample X5,2559,
A06,Sample X6,2465,
A07,Sample X7,2748,
A08,Sample X8,2694,
A09,Sample X9,134,
A10,Sample X10,167,
A11,Sample X11,137,
A12,Sample X12,136,
A13,Sample X13,1345,
A14,Sample X14,3229,
A15,Sample X15,3021,
A16,Sample X16,3117,
A17,Sample X17,3021,
A18,Sample X18,2733,
A19,Sample X19,2789,
A20,Sample X20,2826,
A21,Sample X21,2638,
A22,Sample X22,2673,
A23,Sample X23,2637,
A24,Sample X24,3028,
B01,Sample X25,2978,
B02,Sample X26,2413,
B03,Sample X27,2387,
B04,Sample X28,2404,
B05,Sample X29,2531,
B06,Sample X30,2575,
B07,Sample X31,2496,
B08,Sample X32,2720,
B09,Sample X33,15436,
B10,Sample X34,14883,
B11,Sample X35,14812,
B12,Sample X36,14025,
B13,Sample X37,14237,
B14,Sample X38,13708,
B15,Sample X39,10008,
B16,Sample X40,7751,
B17,Sample X41,4990,
B18,Sample X42,3230,
B19,Sample X43,2886,
B20,Sample X44,2445,
B21,Sample X45,2376,
B22,Sample X46,2392,
B23,Sample X47,2474,
B24,Sample X48,2654,
C01,Sample X49,2686,
C02,Sample X50,2428,
C03,Sample X51,2450,
C04,Sample X52,2489,
C05,Sample X53,2349,
C06,Sample X54,2440,
C07,Sample X55,2449,
C08,Sample X56,2567,
C09,Sample X57,2792,
C10,Sample X58,3281,
C11,Sample X59,4290,
C12,Sample X60,5412,
C13,Sample X61,8365,
C14,Sample X62,8409,
C15,Sample X63,6883,
C16,Sample X64,5447,
C17,Sample X65,4213,
C18,Sample X66,2996,
C19,Sample X67,2912,
C20,Sample X68,2477,
C21,Sample X69,2501,
C22,Sample X70,2594,
C23,Sample X71,2600,
C24,Sample X72,2862,
D01,Sample X73,2648,
D02,Sample X74,1574,
D03,Sample X75,2432,
D04,Sample X76,2543,
D05,Sample X77,2498,
D06,Sample X78,2656,
D07,Sample X79,2568,
D08,Sample X80,2785,
D09,Sample X81,3157,
D10,Sample X82,3797,
D11,Sample X83,6126,
D12,Sample X84,8973,
D13,Sample X85,10393,
D14,Sample X86,10353,
D15,Sample X87,9983,
D16,Sample X88,7362,
D17,Sample X89,5114,
D18,Sample X90,4204,
D19,Sample X91,3131,
D20,Sample X92,2745,
D21,Sample X93,2526,
D22,Sample X94,2523,
D23,Sample X95,2504,
D24,Sample X96,2598,
E01,Sample X97,2573,
E02,Sample X98,2612,
E03,Sample X99,2769,
E04,Sample X100,3266,
E05,Sample X101,2969,
E06,Sample X102,2765,
E07,Sample X103,2653,
E08,Sample X104,2923,
E09,Sample X105,3168,
E10,Sample X106,4794,
E11,Sample X107,8362,
E12,Sample X108,11654,
E13,Sample X109,3157,
E14,Sample X110,8551,
E15,Sample X111,10651,
E16,Sample X112,10226,
E17,Sample X113,9130,
E18,Sample X114,6733,
E19,Sample X115,4064,
E20,Sample X116,2778,
E21,Sample X117,2737,
E22,Sample X118,2589,
E23,Sample X119,2468,
E24,Sample X120,2710,
F01,Sample X121,2547,
F02,Sample X122,2946,
F03,Sample X123,2748,
F04,Sample X124,2443,
F05,Sample X125,2362,
F06,Sample X126,2418,
F07,Sample X127,2544,
F08,Sample X128,2850,
F09,Sample X129,3153,
F10,Sample X130,5658,
F11,Sample X131,9724,
F12,Sample X132,12606,
F13,Sample X133,1825,
F14,Sample X134,1655,
F15,Sample X135,13274,
F16,Sample X136,13314,
F17,Sample X137,12612,
F18,Sample X138,9412,
F19,Sample X139,4850,
F20,Sample X140,2977,
F21,Sample X141,2508,
F22,Sample X142,2641,
F23,Sample X143,2256,
F24,Sample X144,2425,
G01,Sample X145,2753,
G02,Sample X146,1220,
G03,Sample X147,1256,
G04,Sample X148,1231,
G05,Sample X149,1106,
G06,Sample X150,1342,
G07,Sample X151,1572,
G08,Sample X152,1758,
G09,Sample X153,1716,
G10,Sample X154,2131,
G11,Sample X155,5881,
G12,Sample X156,11137,
G13,Sample X157,12885,
G14,Sample X158,11601,
G15,Sample X159,10950,
G16,Sample X160,9716,
G17,Sample X161,7545,
G18,Sample X162,5137,
G19,Sample X163,3543,
G20,Sample X164,2758,
G21,Sample X165,2614,
G22,Sample X166,2390,
G23,Sample X167,2709,
G24,Sample X168,2634,
H01,Sample X169,2838,
H02,Sample X170,2729,
H03,Sample X171,3330,
H04,Sample X172,2981,
H05,Sample X173,2816,
H06,Sample X174,2559,
H07,Sample X175,2808,
H08,Sample X176,2766,
H09,Sample X177,3126,
H10,Sample X178,4396,
H11,Sample X179,5946,
H12,Sample X180,8714,
H13,Sample X181,9762,
H14,Sample X182,10469,
H15,Sample X183,9487,
H16,Sample X184,6768,
H17,Sample X185,5500,
H18,Sample X186,3762,
H19,Sample X187,2852,
H20,Sample X188,2710,
H21,Sample X189,2414,
H22,Sample X190,2389,
H23,Sample X191,2369,
H24,Sample X192,2666,
I01,Sample X193,3057,
I02,Sample X194,2153,
I03,Sample X195,1803,
I04,Sample X196,2664,
I05,Sample X197,5070,
I06,Sample X198,7888,
I07,Sample X199,8968,
I08,Sample X200,6886,
I09,Sample X201,3876,
I10,Sample X202,3529,
I11,Sample X203,4048,
I12,Sample X204,5271,
I13,Sample X205,5712,
I14,Sample X206,7023,
I15,Sample X207,5637,
I16,Sample X208,4392,
I17,Sample X209,3780,
I18,Sample X210,3129,
I19,Sample X211,2909,
I20,Sample X212,2654,
I21,Sample X213,2503,
I22,Sample X214,2395,
I23,Sample X215,2332,
I24,Sample X216,2748,
J01,Sample X217,2934,
J02,Sample X218,3078,
J03,Sample X219,3341,
J04,Sample X220,2731,
J05,Sample X221,2632,
J06,Sample X222,2688,
J07,Sample X223,2663,
J08,Sample X224,2655,
J09,Sample X225,2744,
J10,Sample X226,2937,
J11,Sample X227,3223,
J12,Sample X228,3656,
J13,Sample X229,4265,
J14,Sample X230,3998,
J15,Sample X231,3605,
J16,Sample X232,3402,
J17,Sample X233,3013,
J18,Sample X234,2728,
J19,Sample X235,2617,
J20,Sample X236,2385,
J21,Sample X237,2413,
J22,Sample X238,2596,
J23,Sample X239,2421,
J24,Sample X240,2646,
K01,Sample X241,2897,
K02,Sample X242,1437,
K03,Sample X243,2345,
K04,Sample X244,2865,
K05,Sample X245,2834,
K06,Sample X246,2597,
K07,Sample X247,2590,
K08,Sample X248,2709,
K09,Sample X249,2531,
K10,Sample X250,2492,
K11,Sample X251,2775,
K12,Sample X252,2898,
K13,Sample X253,2685,
K14,Sample X254,2918,
K15,Sample X255,2851,
K16,Sample X256,2699,
K17,Sample X257,2527,
K18,Sample X258,2636,
K19,Sample X259,2442,
K20,Sample X260,2441,
K21,Sample X261,2410,
K22,Sample X262,2540,
K23,Sample X263,2473,
K24,Sample X264,2734,
L01,Sample X265,2673,
L02,Sample X266,2193,
L03,Sample X267,2435,
L04,Sample X268,2492,
L05,Sample X269,2642,
L06,Sample X270,2457,
L07,Sample X271,2416,
L08,Sample X272,2623,
L09,Sample X273,2421,
L10,Sample X274,2561,
L11,Sample X275,2526,
L12,Sample X276,2375,
L13,Sample X277,2716,
L14,Sample X278,3120,
L15,Sample X279,3204,
L16,Sample X280,2825,
L17,Sample X281,2605,
L18,Sample X282,2850,
L19,Sample X283,2541,
L20,Sample X284,2425,
L21,Sample X285,2506,
L22,Sample X286,2414,
L23,Sample X287,2558,
L24,Sample X288,2746,
M01,Sample X289,2730,
M02,Sample X290,2655,
M03,Sample X291,2576,
M04,Sample X292,2391,
M05,Sample X293,2521,
M06,Sample X294,2471,
M07,Sample X295,2456,
M08,Sample X296,2524,
M09,Sample X297,2320,
M10,Sample X298,2338,
M11,Sample X299,2523,
M12,Sample X300,2483,
M13,Sample X301,2430,
M14,Sample X302,2589,
M15,Sample X303,2560,
M16,Sample X304,2330,
M17,Sample X305,2505,
M18,Sample X306,2457,
M19,Sample X307,2574,
M20,Sample X308,2470,
M21,Sample X309,2416,
M22,Sample X310,2428,
M23,Sample X311,2508,
M24,Sample X312,2621,
N01,Sample X313,2735,
N02,Sample X314,2918,
N03,Sample X315,3016,
N04,Sample X316,2929,
N05,Sample X317,2594,
N06,Sample X318,2401,
N07,Sample X319,2487,
N08,Sample X320,2564,
N09,Sample X321,2578,
N10,Sample X322,2370,
N11,Sample X323,2563,
N12,Sample X324,2684,
N13,Sample X325,1519,
N14,Sample X326,2029,
N15,Sample X327,2338,
N16,Sample X328,2321,
N17,Sample X329,2625,
N18,Sample X330,2318,
N19,Sample X331,2403,
N20,Sample X332,2352,
N21,Sample X333,2511,
N22,Sample X334,2505,
N23,Sample X335,2487,
N24,Sample X336,2638,
O01,Sample X337,3100,
O02,Sample X338,3965,
O03,Sample X339,4200,
O04,Sample X340,3535,
O05,Sample X341,3152,
O06,Sample X342,2549,
O07,Sample X343,2557,
O08,Sample X344,2495,
O09,Sample X345,2396,
O10,Sample X346,2298,
O11,Sample X347,2426,
