Well,Content,Raw Data (No filter),
A01,Sample X1,2308,
A02,Sample X2,2396,
A03,Sample X3,2341,
A04,Sample X4,2308,
A05,Sample X5,2229,
A06,Sample X6,2520,
A07,Sample X7,2480,
A08,Sample X8,2431,
A09,Sample X9,138,
A10,Sample X10,109,
A11,Sample X11,98,
A12,Sample X12,138,
A13,Sample X13,809,
A14,Sample X14,2004,
A15,Sample X15,2192,
A16,Sample X16,2284,
A17,Sample X17,2267,
A18,Sample X18,2322,
A19,Sample X19,2361,
A20,Sample X20,2199,
A21,Sample X21,2138,
A22,Sample X22,2302,
A23,Sample X23,2416,
A24,Sample X24,2426,
B01,Sample X25,2338,
B02,Sample X26,2152,
B03,Sample X27,2299,
B04,Sample X28,2280,
B05,Sample X29,2192,
B06,Sample X30,2244,
B07,Sample X31,2439,
B08,Sample X32,2359,
B09,Sample X33,11798,
B10,Sample X34,11860,
B11,Sample X35,12289,
B12,Sample X36,12105,
B13,Sample X37,12193,
B14,Sample X38,9273,
B15,Sample X39,7185,
B16,Sample X40,5669,
B17,Sample X41,3619,
B18,Sample X42,2835,
B19,Sample X43,2458,
B20,Sample X44,2185,
B21,Sample X45,2248,
B22,Sample X46,2298,
B23,Sample X47,2360,
B24,Sample X48,2421,
C01,Sample X49,2473,
C02,Sample X50,1738,
C03,Sample X51,1645,
C04,Sample X52,1336,
C05,Sample X53,2850,
C06,Sample X54,3905,
C07,Sample X55,4080,
C08,Sample X56,4043,
C09,Sample X57,4884,
C10,Sample X58,3752,
C11,Sample X59,2581,
C12,Sample X60,2244,
C13,Sample X61,1180,
C14,Sample X62,1815,
C15,Sample X63,1976,
C16,Sample X64,2556,
C17,Sample X65,2383,
C18,Sample X66,2309,
C19,Sample X67,2345,
C20,Sample X68,2301,
C21,Sample X69,2251,
C22,Sample X70,2236,
C23,Sample X71,2171,
C24,Sample X72,2492,
D01,Sample X73,2452,
D02,Sample X74,733,
D03,Sample X75,1198,
D04,Sample X76,1614,
D05,Sample X77,2077,
D06,Sample X78,2434,
D07,Sample X79,2342,
D08,Sample X80,2479,
D09,Sample X81,2211,
D10,Sample X82,2370,
D11,Sample X83,2337,
D12,Sample X84,2289,
D13,Sample X85,3101,
D14,Sample X86,3344,
D15,Sample X87,2695,
D16,Sample X88,2589,
D17,Sample X89,2310,
D18,Sample X90,2433,
D19,Sample X91,2282,
D20,Sample X92,2265,
D21,Sample X93,2067,
D22,Sample X94,2226,
D23,Sample X95,2228,
D24,Sample X96,2316,
E01,Sample X97,2428,
E02,Sample X98,2662,
E03,Sample X99,4524,
E04,Sample X100,6464,
E05,Sample X101,7534,
E06,Sample X102,7471,
E07,Sample X103,7568,
E08,Sample X104,7030,
E09,Sample X105,4498,
E10,Sample X106,3113,
E11,Sample X107,2474,
E12,Sample X108,2265,
E13,Sample X109,1175,
E14,Sample X110,1204,
E15,Sample X111,1377,
E16,Sample X112,1482,
E17,Sample X113,1483,
E18,Sample X114,1534,
E19,Sample X115,1463,
E20,Sample X116,1258,
E21,Sample X117,1834,
E22,Sample X118,2359,
E23,Sample X119,2272,
E24,Sample X120,2566,
F01,Sample X121,2283,
F02,Sample X122,1718,
F03,Sample X123,2900,
F04,Sample X124,4766,
F05,Sample X125,9738,
F06,Sample X126,12154,
F07,Sample X127,12432,
F08,Sample X128,12867,
F09,Sample X129,12657,
F10,Sample X130,11967,
F11,Sample X131,9121,
F12,Sample X132,2594,
F13,Sample X133,1318,
F14,Sample X134,1194,
F15,Sample X135,1108,
F16,Sample X136,1147,
F17,Sample X137,1375,
F18,Sample X138,1299,
F19,Sample X139,1890,
F20,Sample X140,2002,
F21,Sample X141,2307,
F22,Sample X142,2377,
F23,Sample X143,2308,
F24,Sample X144,2520,
G01,Sample X145,2521,
G02,Sample X146,2337,
G03,Sample X147,2432,
G04,Sample X148,3489,
G05,Sample X149,4249,
G06,Sample X150,4871,
G07,Sample X151,4644,
G08,Sample X152,5178,
G09,Sample X153,4749,
G10,Sample X154,3545,
G11,Sample X155,2379,
G12,Sample X156,2230,
G13,Sample X157,2520,
G14,Sample X158,2354,
G15,Sample X159,2424,
G16,Sample X160,2169,
G17,Sample X161,2340,
G18,Sample X162,2370,
G19,Sample X163,2210,
G20,Sample X164,2207,
G21,Sample X165,2273,
G22,Sample X166,2228,
G23,Sample X167,2448,
G24,Sample X168,2622,
H01,Sample X169,2348,
H02,Sample X170,2490,
H03,Sample X171,2650,
H04,Sample X172,2603,
H05,Sample X173,2478,
H06,Sample X174,2432,
H07,Sample X175,2522,
H08,Sample X176,2286,
H09,Sample X177,2497,
H10,Sample X178,2305,
H11,Sample X179,2415,
H12,Sample X180,2352,
H13,Sample X181,2606,
H14,Sample X182,2323,
H15,Sample X183,2299,
H16,Sample X184,2298,
H17,Sample X185,2387,
H18,Sample X186,2415,
H19,Sample X187,2541,
H20,Sample X188,2202,
H21,Sample X189,2165,
H22,Sample X190,2477,
H23,Sample X191,2330,
H24,Sample X192,2683,
I01,Sample X193,2504,
I02,Sample X194,12103,
I03,Sample X195,12999,
I04,Sample X196,12770,
I05,Sample X197,12454,
I06,Sample X198,12949,
I07,Sample X199,12232,
I08,Sample X200,2420,
I09,Sample X201,2366,
I10,Sample X202,2303,
I11,Sample X203,2276,
I12,Sample X204,2497,
I13,Sample X205,1352,
I14,Sample X206,1272,
I15,Sample X207,5573,
I16,Sample X208,4943,
I17,Sample X209,3426,
I18,Sample X210,3034,
I19,Sample X211,2619,
I20,Sample X212,2341,
I21,Sample X213,2345,
I22,Sample X214,2405,
I23,Sample X215,2359,
I24,Sample X216,2817,
J01,Sample X217,2465,
J02,Sample X218,1027,
J03,Sample X219,1522,
J04,Sample X220,1687,
J05,Sample X221,2010,
J06,Sample X222,2153,
J07,Sample X223,2289,
J08,Sample X224,2163,
J09,Sample X225,2390,
J10,Sample X226,2367,
J11,Sample X227,2407,
J12,Sample X228,2401,
J13,Sample X229,738,
J14,Sample X230,950,
J15,Sample X231,1458,
J16,Sample X232,1999,
J17,Sample X233,2167,
J18,Sample X234,2273,
J19,Sample X235,2348,
J20,Sample X236,2217,
J21,Sample X237,2291,
J22,Sample X238,2447,
J23,Sample X239,2436,
J24,Sample X240,2677,
K01,Sample X241,2544,
K02,Sample X242,966,
K03,Sample X243,1090,
K04,Sample X244,1414,
K05,Sample X245,1545,
K06,Sample X246,1673,
K07,Sample X247,1782,
K08,Sample X248,1754,
K09,Sample X249,1921,
K10,Sample X250,2069,
K11,Sample X251,2199,
K12,Sample X252,2304,
K13,Sample X253,2591,
K14,Sample X254,2393,
K15,Sample X255,2418,
K16,Sample X256,2533,
K17,Sample X257,2253,
K18,Sample X258,2569,
K19,Sample X259,2458,
K20,Sample X260,2310,
K21,Sample X261,2418,
K22,Sample X262,2330,
K23,Sample X263,2407,
K24,Sample X264,2834,
L01,Sample X265,2641,
L02,Sample X266,2196,
L03,Sample X267,3417,
L04,Sample X268,2872,
L05,Sample X269,2637,
L06,Sample X270,2720,
L07,Sample X271,2398,
L08,Sample X272,2456,
L09,Sample X273,2261,
L10,Sample X274,2231,
L11,Sample X275,2355,
L12,Sample X276,2265,
L13,Sample X277,6349,
L14,Sample X278,3991,
L15,Sample X279,2932,
L16,Sample X280,2396,
L17,Sample X281,2537,
L18,Sample X282,2483,
L19,Sample X283,2359,
L20,Sample X284,2412,
L21,Sample X285,2278,
L22,Sample X286,2372,
L23,Sample X287,2472,
L24,Sample X288,2803,
M01,Sample X289,2583,
M02,Sample X290,1234,
M03,Sample X291,1212,
M04,Sample X292,1149,
M05,Sample X293,1199,
M06,Sample X294,1150,
M07,Sample X295,1175,
M08,Sample X296,1578,
M09,Sample X297,2252,
M10,Sample X298,2380,
M11,Sample X299,2560,
M12,Sample X300,2507,
M13,Sample X301,4055,
M14,Sample X302,4833,
M15,Sample X303,10111,
M16,Sample X304,14255,
M17,Sample X305,14137,
M18,Sample X306,14148,
M19,Sample X307,14190,
M20,Sample X308,15094,
M21,Sample X309,14093,
M22,Sample X310,13899,
M23,Sample X311,4472,
M24,Sample X312,2833,
N01,Sample X313,2681,
N02,Sample X314,1486,
N03,Sample X315,1712,
N04,Sample X316,3962,
N05,Sample X317,10310,
N06,Sample X318,14846,
N07,Sample X319,13897,
N08,Sample X320,14682,
N09,Sample X321,14979,
N10,Sample X322,14868,
N11,Sample X323,14319,
N12,Sample X324,8910,
N13,Sample X325,1850,
N14,Sample X326,2260,
N15,Sample X327,2246,
N16,Sample X328,2401,
N17,Sample X329,2369,
N18,Sample X330,2526,
N19,Sample X331,2357,
N20,Sample X332,2371,
N21,Sample X333,2552,
N22,Sample X334,2257,
N23,Sample X335,2356,
N24,Sample X336,2481,
O01,Sample X337,2475,
O02,Sample X338,2212,
O03,Sample X339,2971,
O04,Sample X340,4229,
O05,Sample X341,4989,
O06,Sample X342,4729,
O07,Sample X343,4018,
O08,Sample X344,3044,
O09,Sample X345,2334,
O10,Sample X346,2394,
O11,Sample X347,2350,
