Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,120447,
A02,Sample X2,121622,
A03,Sample X3,123654,
A04,Sample X4,114653,
A05,Sample X5,121066,
A06,Sample X6,121822,
A07,Sample X7,118794,
A08,Sample X8,125681,
A09,Sample X9,2951,
A10,Sample X10,2989,
A11,Sample X11,2959,
A12,Sample X12,2877,
A13,Sample X13,36425,
A14,Sample X14,100457,
A15,Sample X15,108939,
A16,Sample X16,108981,
A17,Sample X17,106454,
A18,Sample X18,108325,
A19,Sample X19,113890,
A20,Sample X20,115066,
A21,Sample X21,121122,
A22,Sample X22,120260,
A23,Sample X23,118281,
A24,Sample X24,110681,
B01,Sample X25,130045,
B02,Sample X26,115538,
B03,Sample X27,119804,
B04,Sample X28,115858,
B05,Sample X29,100303,
B06,Sample X30,117734,
B07,Sample X31,103797,
B08,Sample X32,123382,
B09,Sample X33,102386,
B10,Sample X34,120735,
B11,Sample X35,122907,
B12,Sample X36,120398,
B13,Sample X37,108566,
B14,Sample X38,111821,
B15,Sample X39,103052,
B16,Sample X40,116422,
B17,Sample X41,111419,
B18,Sample X42,120563,
B19,Sample X43,111593,
B20,Sample X44,110284,
B21,Sample X45,93923,
B22,Sample X46,119385,
B23,Sample X47,119480,
B24,Sample X48,135502,
C01,Sample X49,124593,
C02,Sample X50,105377,
C03,Sample X51,103197,
C04,Sample X52,103570,
C05,Sample X53,111305,
C06,Sample X54,109534,
C07,Sample X55,105048,
C08,Sample X56,114263,
C09,Sample X57,103569,
C10,Sample X58,113649,
C11,Sample X59,108480,
C12,Sample X60,101132,
C13,Sample X61,101900,
C14,Sample X62,106489,
C15,Sample X63,103567,
C16,Sample X64,100581,
C17,Sample X65,100959,
C18,Sample X66,101089,
C19,Sample X67,118515,
C20,Sample X68,114541,
C21,Sample X69,108651,
C22,Sample X70,107547,
C23,Sample X71,110612,
C24,Sample X72,116855,
D01,Sample X73,125651,
D02,Sample X74,4501,
D03,Sample X75,79648,
D04,Sample X76,97875,
D05,Sample X77,96261,
D06,Sample X78,101475,
D07,Sample X79,108756,
D08,Sample X80,102285,
D09,Sample X81,103085,
D10,Sample X82,104710,
D11,Sample X83,98567,
D12,Sample X84,111104,
D13,Sample X85,110034,
D14,Sample X86,100092,
D15,Sample X87,100143,
D16,Sample X88,98168,
D17,Sample X89,97196,
D18,Sample X90,100115,
D19,Sample X91,103052,
D20,Sample X92,110721,
D21,Sample X93,101318,
D22,Sample X94,105690,
D23,Sample X95,121042,
D24,Sample X96,107855,
E01,Sample X97,119533,
E02,Sample X98,123728,
E03,Sample X99,109152,
E04,Sample X100,100815,
E05,Sample X101,110897,
E06,Sample X102,110031,
E07,Sample X103,111520,
E08,Sample X104,107230,
E09,Sample X105,99968,
E10,Sample X106,107582,
E11,Sample X107,99489,
E12,Sample X108,104797,
E13,Sample X109,3327,
E14,Sample X110,3326,
E15,Sample X111,3329,
E16,Sample X112,4946,
E17,Sample X113,81032,
E18,Sample X114,112308,
E19,Sample X115,97688,
E20,Sample X116,102268,
E21,Sample X117,101106,
E22,Sample X118,100531,
E23,Sample X119,113194,
E24,Sample X120,119217,
F01,Sample X121,124601,
F02,Sample X122,4215,
F03,Sample X123,52672,
F04,Sample X124,98267,
F05,Sample X125,107486,
F06,Sample X126,97726,
F07,Sample X127,106791,
F08,Sample X128,93848,
F09,Sample X129,105303,
F10,Sample X130,105507,
F11,Sample X131,95552,
F12,Sample X132,97265,
F13,Sample X133,32263,
F14,Sample X134,82007,
F15,Sample X135,100516,
F16,Sample X136,111617,
F17,Sample X137,98612,
F18,Sample X138,87808,
F19,Sample X139,85848,
F20,Sample X140,100518,
F21,Sample X141,95277,
F22,Sample X142,100773,
F23,Sample X143,95964,
F24,Sample X144,117920,
G01,Sample X145,108773,
G02,Sample X146,102528,
G03,Sample X147,101775,
G04,Sample X148,121213,
G05,Sample X149,97072,
G06,Sample X150,87907,
G07,Sample X151,82240,
G08,Sample X152,90199,
G09,Sample X153,88691,
G10,Sample X154,81545,
G11,Sample X155,108983,
G12,Sample X156,81640,
G13,Sample X157,9314,
G14,Sample X158,66300,
G15,Sample X159,76706,
G16,Sample X160,83082,
G17,Sample X161,89398,
G18,Sample X162,91306,
G19,Sample X163,88571,
G20,Sample X164,90578,
G21,Sample X165,100355,
G22,Sample X166,98309,
G23,Sample X167,100376,
G24,Sample X168,104586,
H01,Sample X169,125518,
H02,Sample X170,105809,
H03,Sample X171,104043,
H04,Sample X172,101245,
H05,Sample X173,93028,
H06,Sample X174,92490,
H07,Sample X175,104847,
H08,Sample X176,91407,
H09,Sample X177,89020,
H10,Sample X178,84198,
H11,Sample X179,87363,
H12,Sample X180,87772,
H13,Sample X181,80847,
H14,Sample X182,89263,
H15,Sample X183,84125,
H16,Sample X184,86881,
H17,Sample X185,87426,
H18,Sample X186,82175,
H19,Sample X187,85862,
H20,Sample X188,91448,
H21,Sample X189,98164,
H22,Sample X190,98557,
H23,Sample X191,98008,
H24,Sample X192,90756,
I01,Sample X193,116929,
I02,Sample X194,97629,
I03,Sample X195,111113,
I04,Sample X196,103354,
I05,Sample X197,97082,
I06,Sample X198,92127,
I07,Sample X199,87939,
I08,Sample X200,84901,
I09,Sample X201,85885,
I10,Sample X202,95938,
I11,Sample X203,84252,
I12,Sample X204,82729,
I13,Sample X205,3448,
I14,Sample X206,3417,
I15,Sample X207,7361,
I16,Sample X208,38787,
I17,Sample X209,68561,
I18,Sample X210,69065,
I19,Sample X211,79689,
I20,Sample X212,90393,
I21,Sample X213,98573,
I22,Sample X214,105400,
I23,Sample X215,98699,
I24,Sample X216,96350,
J01,Sample X217,115114,
J02,Sample X218,101488,
J03,Sample X219,110071,
J04,Sample X220,103448,
J05,Sample X221,120533,
J06,Sample X222,93395,
J07,Sample X223,104290,
J08,Sample X224,90172,
J09,Sample X225,91493,
J10,Sample X226,84827,
J11,Sample X227,87974,
J12,Sample X228,89345,
J13,Sample X229,59439,
J14,Sample X230,80282,
J15,Sample X231,91030,
J16,Sample X232,90156,
J17,Sample X233,84843,
J18,Sample X234,93113,
J19,Sample X235,87616,
J20,Sample X236,81550,
J21,Sample X237,99418,
J22,Sample X238,97924,
J23,Sample X239,97324,
J24,Sample X240,113416,
K01,Sample X241,110359,
K02,Sample X242,123126,
K03,Sample X243,110221,
K04,Sample X244,109332,
K05,Sample X245,104262,
K06,Sample X246,102894,
K07,Sample X247,91464,
K08,Sample X248,93262,
K09,Sample X249,91790,
K10,Sample X250,98322,
K11,Sample X251,92249,
K12,Sample X252,94544,
K13,Sample X253,98805,
K14,Sample X254,98613,
K15,Sample X255,86190,
K16,Sample X256,88844,
K17,Sample X257,85113,
K18,Sample X258,79771,
K19,Sample X259,81534,
K20,Sample X260,94509,
K21,Sample X261,99617,
K22,Sample X262,97743,
K23,Sample X263,94983,
K24,Sample X264,112161,
L01,Sample X265,118354,
L02,Sample X266,41223,
L03,Sample X267,66358,
L04,Sample X268,90348,
L05,Sample X269,119546,
L06,Sample X270,105604,
L07,Sample X271,105574,
L08,Sample X272,95213,
L09,Sample X273,102348,
L10,Sample X274,94824,
L11,Sample X275,99565,
L12,Sample X276,98488,
L13,Sample X277,94655,
L14,Sample X278,89124,
L15,Sample X279,91106,
L16,Sample X280,99833,
L17,Sample X281,91855,
L18,Sample X282,88725,
L19,Sample X283,91798,
L20,Sample X284,96210,
L21,Sample X285,99890,
L22,Sample X286,99295,
L23,Sample X287,96391,
L24,Sample X288,121215,
M01,Sample X289,122494,
M02,Sample X290,98837,
M03,Sample X291,102771,
M04,Sample X292,109643,
M05,Sample X293,99677,
M06,Sample X294,102846,
M07,Sample X295,100981,
M08,Sample X296,100812,
M09,Sample X297,102194,
M10,Sample X298,99941,
M11,Sample X299,104363,
M12,Sample X300,106677,
M13,Sample X301,96092,
M14,Sample X302,101777,
M15,Sample X303,102826,
M16,Sample X304,100370,
M17,Sample X305,99464,
M18,Sample X306,98193,
M19,Sample X307,96614,
M20,Sample X308,100204,
M21,Sample X309,96056,
M22,Sample X310,95985,
M23,Sample X311,99092,
M24,Sample X312,112818,
N01,Sample X313,115077,
N02,Sample X314,120343,
N03,Sample X315,113758,
N04,Sample X316,99315,
N05,Sample X317,113237,
N06,Sample X318,107528,
N07,Sample X319,100352,
N08,Sample X320,115128,
N09,Sample X321,99461,
N10,Sample X322,98959,
N11,Sample X323,103343,
N12,Sample X324,104546,
N13,Sample X325,75202,
N14,Sample X326,88426,
N15,Sample X327,97275,
N16,Sample X328,104047,
N17,Sample X329,101081,
N18,Sample X330,101753,
N19,Sample X331,98927,
N20,Sample X332,98019,
N21,Sample X333,98706,
N22,Sample X334,97873,
N23,Sample X335,96849,
N24,Sample X336,118868,
O01,Sample X337,112033,
O02,Sample X338,99817,
O03,Sample X339,122234,
O04,Sample X340,114181,
O05,Sample X341,127991,
O06,Sample X342,117952,
O07,Sample X343,100379,
O08,Sample X344,104844,
O09,Sample X345,105079,
O10,Sample X346,105314,
O11,Sample X347,103078,
O12,Sample X348,104569,
O13,Sample X349,102231,
O14,Sample X350,103969,
O15,Sample X351,97631,
O16,Sample X352,113064,
O17,Sample X353,102381,
O18,Sample X354,102275,
O19,Sample X355,103554,
O20,Sample X356,101409,
O21,Sample X357,102889,
O22,Sample X358,102155,
O23,Sample X359,110727,
O24,Sample X360,105853,
P01,Sample X361,113607,
P02,Sample X362,112450,
P03,Sample X363,115539,
P04,Sample X364,122367,
P05,Sample X365,96351,
P06,Sample X366,125452,
P07,Sample X367,119925,
P08,Sample X368,117470,
P09,Sample X369,118190,
P10,Sample X370,119404,
P11,Sample X371,102029,
P12,Sample X372,116971,
P13,Sample X373,120506,
P14,Sample X374,115517,
P15,Sample X375,98358,
P16,Sample X376,127825,
P17,Sample X377,113594,
P18,Sample X378,118071,
P19,Sample X379,98948,
P20,Sample X380,96200,
P21,Sample X381,108222,
P22,Sample X382,113209,
P23,Sample X383,106242,
P24,Sample X384,114405,
