Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,109545,
A02,Sample X2,112033,
A03,Sample X3,113204,
A04,Sample X4,114817,
A05,Sample X5,113142,
A06,Sample X6,119263,
A07,Sample X7,118021,
A08,Sample X8,123066,
A09,Sample X9,1705,
A10,Sample X10,1626,
A11,Sample X11,1845,
A12,Sample X12,1718,
A13,Sample X13,29321,
A14,Sample X14,94678,
A15,Sample X15,111987,
A16,Sample X16,115575,
A17,Sample X17,115346,
A18,Sample X18,114644,
A19,Sample X19,116060,
A20,Sample X20,120838,
A21,Sample X21,119608,
A22,Sample X22,119301,
A23,Sample X23,114608,
A24,Sample X24,110178,
B01,Sample X25,116352,
B02,Sample X26,121576,
B03,Sample X27,120652,
B04,Sample X28,120420,
B05,Sample X29,122498,
B06,Sample X30,120033,
B07,Sample X31,120548,
B08,Sample X32,117821,
B09,Sample X33,120869,
B10,Sample X34,120746,
B11,Sample X35,120891,
B12,Sample X36,123006,
B13,Sample X37,121067,
B14,Sample X38,123456,
B15,Sample X39,126400,
B16,Sample X40,121727,
B17,Sample X41,121443,
B18,Sample X42,122907,
B19,Sample X43,120743,
B20,Sample X44,121921,
B21,Sample X45,122892,
B22,Sample X46,124211,
B23,Sample X47,120322,
B24,Sample X48,113581,
C01,Sample X49,116466,
C02,Sample X50,121585,
C03,Sample X51,126709,
C04,Sample X52,127144,
C05,Sample X53,124134,
C06,Sample X54,120503,
C07,Sample X55,122748,
C08,Sample X56,124143,
C09,Sample X57,123609,
C10,Sample X58,122693,
C11,Sample X59,121523,
C12,Sample X60,120870,
C13,Sample X61,121671,
C14,Sample X62,124206,
C15,Sample X63,124728,
C16,Sample X64,123888,
C17,Sample X65,124729,
C18,Sample X66,124919,
C19,Sample X67,123467,
C20,Sample X68,125723,
C21,Sample X69,124500,
C22,Sample X70,122704,
C23,Sample X71,122818,
C24,Sample X72,114575,
D01,Sample X73,115288,
D02,Sample X74,104362,
D03,Sample X75,108922,
D04,Sample X76,112813,
D05,Sample X77,120000,
D06,Sample X78,122466,
D07,Sample X79,121497,
D08,Sample X80,121913,
D09,Sample X81,122191,
D10,Sample X82,123034,
D11,Sample X83,122331,
D12,Sample X84,121058,
D13,Sample X85,68902,
D14,Sample X86,74841,
D15,Sample X87,95822,
D16,Sample X88,108993,
D17,Sample X89,117842,
D18,Sample X90,120478,
D19,Sample X91,121778,
D20,Sample X92,121354,
D21,Sample X93,123993,
D22,Sample X94,122208,
D23,Sample X95,119933,
D24,Sample X96,114127,
E01,Sample X97,115476,
E02,Sample X98,14179,
E03,Sample X99,89015,
E04,Sample X100,116878,
E05,Sample X101,124215,
E06,Sample X102,125028,
E07,Sample X103,127119,
E08,Sample X104,124270,
E09,Sample X105,123777,
E10,Sample X106,123277,
E11,Sample X107,121353,
E12,Sample X108,122039,
E13,Sample X109,2312,
E14,Sample X110,2297,
E15,Sample X111,2367,
E16,Sample X112,89537,
E17,Sample X113,106430,
E18,Sample X114,124501,
E19,Sample X115,127816,
E20,Sample X116,125996,
E21,Sample X117,125373,
E22,Sample X118,124980,
E23,Sample X119,122225,
E24,Sample X120,115687,
F01,Sample X121,118150,
F02,Sample X122,118770,
F03,Sample X123,121031,
F04,Sample X124,124875,
F05,Sample X125,122359,
F06,Sample X126,120773,
F07,Sample X127,121677,
F08,Sample X128,120581,
F09,Sample X129,115006,
F10,Sample X130,119922,
F11,Sample X131,117426,
F12,Sample X132,117049,
F13,Sample X133,127029,
F14,Sample X134,121092,
F15,Sample X135,114696,
F16,Sample X136,117558,
F17,Sample X137,119037,
F18,Sample X138,114721,
F19,Sample X139,120842,
F20,Sample X140,120319,
F21,Sample X141,118115,
F22,Sample X142,117108,
F23,Sample X143,116417,
F24,Sample X144,118867,
G01,Sample X145,114710,
G02,Sample X146,2069,
G03,Sample X147,2199,
G04,Sample X148,124990,
G05,Sample X149,123776,
G06,Sample X150,124580,
G07,Sample X151,118562,
G08,Sample X152,115980,
G09,Sample X153,114921,
G10,Sample X154,114320,
G11,Sample X155,110930,
G12,Sample X156,111016,
G13,Sample X157,113168,
G14,Sample X158,113517,
G15,Sample X159,108693,
G16,Sample X160,110543,
G17,Sample X161,115017,
G18,Sample X162,114304,
G19,Sample X163,120542,
G20,Sample X164,121767,
G21,Sample X165,123970,
G22,Sample X166,123485,
G23,Sample X167,122180,
G24,Sample X168,118102,
H01,Sample X169,117563,
H02,Sample X170,80819,
H03,Sample X171,94380,
H04,Sample X172,110549,
H05,Sample X173,119673,
H06,Sample X174,120172,
H07,Sample X175,115798,
H08,Sample X176,108825,
H09,Sample X177,106149,
H10,Sample X178,105800,
H11,Sample X179,104112,
H12,Sample X180,101788,
H13,Sample X181,52959,
H14,Sample X182,80242,
H15,Sample X183,82598,
H16,Sample X184,90277,
H17,Sample X185,102966,
H18,Sample X186,108454,
H19,Sample X187,116439,
H20,Sample X188,123029,
H21,Sample X189,121991,
H22,Sample X190,122824,
H23,Sample X191,120842,
H24,Sample X192,119384,
I01,Sample X193,127456,
I02,Sample X194,121653,
I03,Sample X195,122998,
I04,Sample X196,126168,
I05,Sample X197,126483,
I06,Sample X198,126609,
I07,Sample X199,115970,
I08,Sample X200,111452,
I09,Sample X201,112065,
I10,Sample X202,101234,
I11,Sample X203,93978,
I12,Sample X204,99952,
I13,Sample X205,80743,
I14,Sample X206,94649,
I15,Sample X207,103073,
I16,Sample X208,84419,
I17,Sample X209,103063,
I18,Sample X210,96820,
I19,Sample X211,117493,
I20,Sample X212,114258,
I21,Sample X213,120424,
I22,Sample X214,124261,
I23,Sample X215,125365,
I24,Sample X216,118756,
J01,Sample X217,117776,
J02,Sample X218,116921,
J03,Sample X219,124701,
J04,Sample X220,125290,
J05,Sample X221,124642,
J06,Sample X222,125834,
J07,Sample X223,117616,
J08,Sample X224,114395,
J09,Sample X225,94546,
J10,Sample X226,97029,
J11,Sample X227,105053,
J12,Sample X228,88145,
J13,Sample X229,95755,
J14,Sample X230,105789,
J15,Sample X231,100354,
J16,Sample X232,102416,
J17,Sample X233,111779,
J18,Sample X234,108093,
J19,Sample X235,109808,
J20,Sample X236,123497,
J21,Sample X237,123274,
J22,Sample X238,122078,
J23,Sample X239,123372,
J24,Sample X240,116932,
K01,Sample X241,121035,
K02,Sample X242,107720,
K03,Sample X243,119308,
K04,Sample X244,125432,
K05,Sample X245,124477,
K06,Sample X246,125579,
K07,Sample X247,121985,
K08,Sample X248,119471,
K09,Sample X249,119333,
K10,Sample X250,117102,
K11,Sample X251,110247,
K12,Sample X252,101293,
K13,Sample X253,2037,
K14,Sample X254,34555,
K15,Sample X255,90954,
K16,Sample X256,103365,
K17,Sample X257,111686,
K18,Sample X258,114015,
K19,Sample X259,123236,
K20,Sample X260,120635,
K21,Sample X261,120480,
K22,Sample X262,120387,
K23,Sample X263,124252,
K24,Sample X264,119725,
L01,Sample X265,118910,
L02,Sample X266,117623,
L03,Sample X267,121117,
L04,Sample X268,125640,
L05,Sample X269,123579,
L06,Sample X270,124604,
L07,Sample X271,123939,
L08,Sample X272,118400,
L09,Sample X273,123361,
L10,Sample X274,123040,
L11,Sample X275,117405,
L12,Sample X276,122362,
L13,Sample X277,119042,
L14,Sample X278,118598,
L15,Sample X279,122370,
L16,Sample X280,125216,
L17,Sample X281,122230,
L18,Sample X282,114716,
L19,Sample X283,103555,
L20,Sample X284,122195,
L21,Sample X285,122593,
L22,Sample X286,122147,
L23,Sample X287,106960,
L24,Sample X288,109977,
M01,Sample X289,119019,
M02,Sample X290,121834,
M03,Sample X291,120790,
M04,Sample X292,118965,
M05,Sample X293,119242,
M06,Sample X294,121071,
M07,Sample X295,122503,
M08,Sample X296,119247,
M09,Sample X297,123214,
M10,Sample X298,122086,
M11,Sample X299,124107,
M12,Sample X300,117402,
M13,Sample X301,2222,
M14,Sample X302,116743,
M15,Sample X303,116937,
M16,Sample X304,127626,
M17,Sample X305,125611,
M18,Sample X306,123830,
M19,Sample X307,124936,
M20,Sample X308,121935,
M21,Sample X309,126210,
M22,Sample X310,124951,
M23,Sample X311,119033,
M24,Sample X312,115042,
N01,Sample X313,118017,
N02,Sample X314,92677,
N03,Sample X315,115319,
N04,Sample X316,122158,
N05,Sample X317,122851,
N06,Sample X318,126054,
N07,Sample X319,126257,
N08,Sample X320,121837,
N09,Sample X321,121834,
N10,Sample X322,125044,
N11,Sample X323,123541,
N12,Sample X324,122255,
N13,Sample X325,114037,
N14,Sample X326,125752,
N15,Sample X327,128347,
N16,Sample X328,125107,
N17,Sample X329,127603,
N18,Sample X330,127602,
N19,Sample X331,125029,
N20,Sample X332,122460,
N21,Sample X333,124881,
N22,Sample X334,121615,
N23,Sample X335,119236,
N24,Sample X336,115138,
O01,Sample X337,115101,
O02,Sample X338,121676,
O03,Sample X339,123081,
O04,Sample X340,122575,
O05,Sample X341,125328,
O06,Sample X342,126353,
O07,Sample X343,132768,
O08,Sample X344,127948,
O09,Sample X345,127363,
O10,Sample X346,123524,
O11,Sample X347,124400,
O12,Sample X348,125720,
O13,Sample X349,128210,
O14,Sample X350,126673,
O15,Sample X351,129853,
O16,Sample X352,127017,
O17,Sample X353,128289,
O18,Sample X354,123791,
O19,Sample X355,123053,
O20,Sample X356,125008,
O21,Sample X357,122233,
O22,Sample X358,122470,
O23,Sample X359,120357,
O24,Sample X360,115777,
P01,Sample X361,106022,
P02,Sample X362,114754,
P03,Sample X363,119178,
P04,Sample X364,119825,
P05,Sample X365,116310,
P06,Sample X366,119988,
P07,Sample X367,118304,
P08,Sample X368,121007,
P09,Sample X369,118499,
P10,Sample X370,117212,
P11,Sample X371,119196,
P12,Sample X372,119926,
P13,Sample X373,120285,
P14,Sample X374,121914,
P15,Sample X375,119969,
P16,Sample X376,117796,
P17,Sample X377,113162,
P18,Sample X378,118951,
P19,Sample X379,117108,
P20,Sample X380,119724,
P21,Sample X381,120336,
P22,Sample X382,109298,
P23,Sample X383,110193,
P24,Sample X384,110309,
