Well,Content,Raw Data (No filter),
A01,Sample X1,2901,
A02,Sample X2,2638,
A03,Sample X3,2643,
A04,Sample X4,2475,
A05,Sample X5,2607,
A06,Sample X6,2570,
A07,Sample X7,2417,
A08,Sample X8,2523,
A09,Sample X9,164,
A10,Sample X10,140,
A11,Sample X11,121,
A12,Sample X12,140,
A13,Sample X13,905,
A14,Sample X14,2206,
A15,Sample X15,2361,
A16,Sample X16,2555,
A17,Sample X17,2526,
A18,Sample X18,2461,
A19,Sample X19,2559,
A20,Sample X20,2553,
A21,Sample X21,2646,
A22,Sample X22,2674,
A23,Sample X23,2659,
A24,Sample X24,3146,
B01,Sample X25,2686,
B02,Sample X26,2469,
B03,Sample X27,2333,
B04,Sample X28,2373,
B05,Sample X29,2353,
B06,Sample X30,2350,
B07,Sample X31,2431,
B08,Sample X32,2447,
B09,Sample X33,14341,
B10,Sample X34,14238,
B11,Sample X35,14227,
B12,Sample X36,14598,
B13,Sample X37,14301,
B14,Sample X38,14255,
B15,Sample X39,9536,
B16,Sample X40,6725,
B17,Sample X41,4218,
B18,Sample X42,2869,
B19,Sample X43,2616,
B20,Sample X44,2751,
B21,Sample X45,2512,
B22,Sample X46,2548,
B23,Sample X47,2546,
B24,Sample X48,2918,
C01,Sample X49,2606,
C02,Sample X50,1574,
C03,Sample X51,2177,
C04,Sample X52,2925,
C05,Sample X53,2879,
C06,Sample X54,2585,
C07,Sample X55,2745,
C08,Sample X56,2374,
C09,Sample X57,2338,
C10,Sample X58,2317,
C11,Sample X59,2531,
C12,Sample X60,2416,
C13,Sample X61,5473,
C14,Sample X62,8049,
C15,Sample X63,10535,
C16,Sample X64,13608,
C17,Sample X65,13128,
C18,Sample X66,13420,
C19,Sample X67,12878,
C20,Sample X68,14617,
C21,Sample X69,14324,
C22,Sample X70,14230,
C23,Sample X71,3707,
C24,Sample X72,2927,
D01,Sample X73,2449,
D02,Sample X74,2176,
D03,Sample X75,2791,
D04,Sample X76,3091,
D05,Sample X77,2820,
D06,Sample X78,2596,
D07,Sample X79,2867,
D08,Sample X80,2457,
D09,Sample X81,2285,
D10,Sample X82,2329,
D11,Sample X83,2335,
D12,Sample X84,2291,
D13,Sample X85,2283,
D14,Sample X86,2347,
D15,Sample X87,2496,
D16,Sample X88,2430,
D17,Sample X89,2373,
D18,Sample X90,2313,
D19,Sample X91,2511,
D20,Sample X92,2460,
D21,Sample X93,2285,
D22,Sample X94,2508,
D23,Sample X95,2487,
D24,Sample X96,2712,
E01,Sample X97,2698,
E02,Sample X98,1572,
E03,Sample X99,1855,
E04,Sample X100,2115,
E05,Sample X101,2547,
E06,Sample X102,2677,
E07,Sample X103,2629,
E08,Sample X104,2501,
E09,Sample X105,2330,
E10,Sample X106,2398,
E11,Sample X107,2419,
E12,Sample X108,2195,
E13,Sample X109,6986,
E14,Sample X110,9194,
E15,Sample X111,11261,
E16,Sample X112,12703,
E17,Sample X113,11227,
E18,Sample X114,12293,
E19,Sample X115,7409,
E20,Sample X116,3220,
E21,Sample X117,2478,
E22,Sample X118,2369,
E23,Sample X119,2476,
E24,Sample X120,2585,
F01,Sample X121,2929,
F02,Sample X122,2057,
F03,Sample X123,3562,
F04,Sample X124,5512,
F05,Sample X125,8680,
F06,Sample X126,13460,
F07,Sample X127,15258,
F08,Sample X128,8303,
F09,Sample X129,3833,
F10,Sample X130,2658,
F11,Sample X131,2477,
F12,Sample X132,2411,
F13,Sample X133,10211,
F14,Sample X134,13245,
F15,Sample X135,15622,
F16,Sample X136,15388,
F17,Sample X137,16291,
F18,Sample X138,14053,
F19,Sample X139,9740,
F20,Sample X140,5018,
F21,Sample X141,3007,
F22,Sample X142,2657,
F23,Sample X143,2483,
F24,Sample X144,2574,
G01,Sample X145,2925,
G02,Sample X146,5922,
G03,Sample X147,8010,
G04,Sample X148,11446,
G05,Sample X149,12687,
G06,Sample X150,14826,
G07,Sample X151,9400,
G08,Sample X152,2585,
G09,Sample X153,2448,
G10,Sample X154,2175,
G11,Sample X155,2346,
G12,Sample X156,2308,
G13,Sample X157,1082,
G14,Sample X158,1486,
G15,Sample X159,1972,
G16,Sample X160,2135,
G17,Sample X161,2274,
G18,Sample X162,2463,
G19,Sample X163,2510,
G20,Sample X164,2453,
G21,Sample X165,2469,
G22,Sample X166,2447,
G23,Sample X167,2408,
G24,Sample X168,2609,
H01,Sample X169,2961,
H02,Sample X170,10317,
H03,Sample X171,11643,
H04,Sample X172,11789,
H05,Sample X173,13761,
H06,Sample X174,10255,
H07,Sample X175,9938,
H08,Sample X176,7507,
H09,Sample X177,6536,
H10,Sample X178,7424,
H11,Sample X179,5948,
H12,Sample X180,2624,
H13,Sample X181,4858,
H14,Sample X182,9866,
H15,Sample X183,14246,
H16,Sample X184,13045,
H17,Sample X185,13609,
H18,Sample X186,14873,
H19,Sample X187,14193,
H20,Sample X188,13445,
H21,Sample X189,11779,
H22,Sample X190,7550,
H23,Sample X191,2630,
H24,Sample X192,2619,
I01,Sample X193,3111,
I02,Sample X194,8881,
I03,Sample X195,9626,
I04,Sample X196,9328,
I05,Sample X197,8193,
I06,Sample X198,7912,
I07,Sample X199,8043,
I08,Sample X200,7196,
I09,Sample X201,7107,
I10,Sample X202,6666,
I11,Sample X203,5230,
I12,Sample X204,2669,
I13,Sample X205,1138,
I14,Sample X206,1229,
I15,Sample X207,1309,
I16,Sample X208,1596,
I17,Sample X209,1619,
I18,Sample X210,1767,
I19,Sample X211,1906,
I20,Sample X212,2026,
I21,Sample X213,2265,
I22,Sample X214,2429,
I23,Sample X215,2476,
I24,Sample X216,2736,
J01,Sample X217,3714,
J02,Sample X218,1363,
J03,Sample X219,1532,
J04,Sample X220,2766,
J05,Sample X221,2805,
J06,Sample X222,2792,
J07,Sample X223,2639,
J08,Sample X224,2365,
J09,Sample X225,2430,
J10,Sample X226,2383,
J11,Sample X227,2468,
J12,Sample X228,2357,
J13,Sample X229,1318,
J14,Sample X230,1701,
J15,Sample X231,2112,
J16,Sample X232,2398,
J17,Sample X233,2356,
J18,Sample X234,2589,
J19,Sample X235,2571,
J20,Sample X236,2417,
J21,Sample X237,2290,
J22,Sample X238,2483,
J23,Sample X239,2620,
J24,Sample X240,2758,
K01,Sample X241,5955,
K02,Sample X242,3300,
K03,Sample X243,3743,
K04,Sample X244,4737,
K05,Sample X245,3722,
K06,Sample X246,2934,
K07,Sample X247,2580,
K08,Sample X248,2559,
K09,Sample X249,2512,
K10,Sample X250,2439,
K11,Sample X251,2539,
K12,Sample X252,2339,
K13,Sample X253,14485,
K14,Sample X254,9795,
K15,Sample X255,5902,
K16,Sample X256,4189,
K17,Sample X257,3014,
K18,Sample X258,2738,
K19,Sample X259,2494,
K20,Sample X260,2433,
K21,Sample X261,2426,
K22,Sample X262,2558,
K23,Sample X263,2664,
K24,Sample X264,2734,
L01,Sample X265,8390,
L02,Sample X266,1859,
L03,Sample X267,1661,
L04,Sample X268,2064,
L05,Sample X269,3570,
L06,Sample X270,10926,
L07,Sample X271,9738,
L08,Sample X272,9635,
L09,Sample X273,6371,
L10,Sample X274,3282,
L11,Sample X275,2554,
L12,Sample X276,2372,
L13,Sample X277,2718,
L14,Sample X278,2434,
L15,Sample X279,2460,
L16,Sample X280,2322,
L17,Sample X281,2334,
L18,Sample X282,2464,
L19,Sample X283,2337,
L20,Sample X284,2447,
L21,Sample X285,2263,
L22,Sample X286,2674,
L23,Sample X287,2624,
L24,Sample X288,2876,
M01,Sample X289,6716,
M02,Sample X290,8346,
M03,Sample X291,8537,
M04,Sample X292,8716,
M05,Sample X293,4917,
M06,Sample X294,3198,
M07,Sample X295,2806,
M08,Sample X296,2799,
M09,Sample X297,2462,
M10,Sample X298,2325,
M11,Sample X299,2593,
M12,Sample X300,2485,
M13,Sample X301,1734,
M14,Sample X302,2684,
M15,Sample X303,2715,
M16,Sample X304,2722,
M17,Sample X305,2589,
M18,Sample X306,2657,
M19,Sample X307,2458,
M20,Sample X308,2455,
M21,Sample X309,2620,
M22,Sample X310,2492,
M23,Sample X311,2711,
M24,Sample X312,2878,
N01,Sample X313,3698,
N02,Sample X314,4282,
N03,Sample X315,4676,
N04,Sample X316,3875,
N05,Sample X317,3037,
N06,Sample X318,2595,
N07,Sample X319,2894,
N08,Sample X320,2550,
N09,Sample X321,2381,
N10,Sample X322,2301,
N11,Sample X323,2510,
N12,Sample X324,2409,
N13,Sample X325,2245,
N14,Sample X326,2358,
N15,Sample X327,2323,
N16,Sample X328,2471,
N17,Sample X329,2431,
N18,Sample X330,2996,
N19,Sample X331,2838,
N20,Sample X332,2705,
N21,Sample X333,2618,
N22,Sample X334,2627,
N23,Sample X335,2589,
N24,Sample X336,2968,
O01,Sample X337,3658,
O02,Sample X338,1987,
O03,Sample X339,2788,
O04,Sample X340,3112,
O05,Sample X341,3132,
O06,Sample X342,2882,
O07,Sample X343,2769,
O08,Sample X344,2541,
O09,Sample X345,2591,
O10,Sample X346,2482,
O11,Sample X347,2680,
O12,Sample X348,2525,
O13,Sample X349,2671,
O14,Sample X350,2597,
O15,Sample X351,2463,
O16,Sample X352,2527,
O17,Sample X353,2547,
O18,Sample X354,2719,
O19,Sample X355,2536,
O20,Sample X356,2525,
O21,Sample X357,2696,
O22,Sample X358,2637,
O23,Sample X359,2751,
O24,Sample X360,2819,
P01,Sample X361,3714,
P02,Sample X362,3089,
P03,Sample X363,2907,
P04,Sample X364,2674,
P05,Sample X365,2567,
P06,Sample X366,2183,
P07,Sample X367,2234,
P08,Sample X368,2374,
P09,Sample X369,2557,
P10,Sample X370,2454,
P11,Sample X371,2633,
P12,Sample X372,2585,
P13,Sample X373,2700,
P14,Sample X374,2512,
P15,Sample X375,2459,
P16,Sample X376,2582,
P17,Sample X377,2813,
P18,Sample X378,2602,
P19,Sample X379,2676,
P20,Sample X380,2627,
P21,Sample X381,2593,
P22,Sample X382,2641,
P23,Sample X383,2864,
P24,Sample X384,3350,
