Well,Content,Raw Data (No filter),
A01,Sample X1,3491,
A02,Sample X2,3591,
A03,Sample X3,3553,
A04,Sample X4,3462,
A05,Sample X5,3627,
A06,Sample X6,3513,
A07,Sample X7,3669,
A08,Sample X8,3670,
A09,Sample X9,262,
A10,Sample X10,265,
A11,Sample X11,253,
A12,Sample X12,281,
A13,Sample X13,1271,
A14,Sample X14,3141,
A15,Sample X15,3430,
A16,Sample X16,3690,
A17,Sample X17,3275,
A18,Sample X18,3850,
A19,Sample X19,3465,
A20,Sample X20,3386,
A21,Sample X21,2989,
A22,Sample X22,3572,
A23,Sample X23,3302,
A24,Sample X24,3589,
B01,Sample X25,3514,
B02,Sample X26,3597,
B03,Sample X27,3465,
B04,Sample X28,3796,
B05,Sample X29,3594,
B06,Sample X30,3610,
B07,Sample X31,3762,
B08,Sample X32,3648,
B09,Sample X33,287443,
B10,Sample X34,298888,
B11,Sample X35,294215,
B12,Sample X36,292467,
B13,Sample X37,289734,
B14,Sample X38,245817,
B15,Sample X39,168338,
B16,Sample X40,97315,
B17,Sample X41,28932,
B18,Sample X42,7134,
B19,Sample X43,4113,
B20,Sample X44,3883,
B21,Sample X45,3581,
B22,Sample X46,3597,
B23,Sample X47,3719,
B24,Sample X48,3512,
C01,Sample X49,3838,
C02,Sample X50,1717,
C03,Sample X51,2427,
C04,Sample X52,2991,
C05,Sample X53,3529,
C06,Sample X54,3694,
C07,Sample X55,3874,
C08,Sample X56,3918,
C09,Sample X57,3795,
C10,Sample X58,3904,
C11,Sample X59,3977,
C12,Sample X60,4277,
C13,Sample X61,3013,
C14,Sample X62,3505,
C15,Sample X63,4404,
C16,Sample X64,4393,
C17,Sample X65,4824,
C18,Sample X66,4528,
C19,Sample X67,4543,
C20,Sample X68,3443,
C21,Sample X69,3473,
C22,Sample X70,3303,
C23,Sample X71,3663,
C24,Sample X72,3680,
D01,Sample X73,4157,
D02,Sample X74,2737,
D03,Sample X75,3214,
D04,Sample X76,3633,
D05,Sample X77,3938,
D06,Sample X78,3680,
D07,Sample X79,3856,
D08,Sample X80,4624,
D09,Sample X81,3945,
D10,Sample X82,3714,
D11,Sample X83,3685,
D12,Sample X84,3957,
D13,Sample X85,3533,
D14,Sample X86,3488,
D15,Sample X87,3870,
D16,Sample X88,3665,
D17,Sample X89,3663,
D18,Sample X90,3696,
D19,Sample X91,3809,
D20,Sample X92,3627,
D21,Sample X93,3914,
D22,Sample X94,4075,
D23,Sample X95,3790,
D24,Sample X96,3189,
E01,Sample X97,3613,
E02,Sample X98,2171,
E03,Sample X99,2695,
E04,Sample X100,3163,
E05,Sample X101,3579,
E06,Sample X102,4222,
E07,Sample X103,3897,
E08,Sample X104,3408,
E09,Sample X105,3706,
E10,Sample X106,4189,
E11,Sample X107,3821,
E12,Sample X108,4151,
E13,Sample X109,2301,
E14,Sample X110,2855,
E15,Sample X111,3356,
E16,Sample X112,3598,
E17,Sample X113,3790,
E18,Sample X114,4289,
E19,Sample X115,4022,
E20,Sample X116,4003,
E21,Sample X117,3811,
E22,Sample X118,3923,
E23,Sample X119,3696,
E24,Sample X120,3724,
F01,Sample X121,3880,
F02,Sample X122,974,
F03,Sample X123,1333,
F04,Sample X124,1841,
F05,Sample X125,2704,
F06,Sample X126,3522,
F07,Sample X127,3777,
F08,Sample X128,3858,
F09,Sample X129,3917,
F10,Sample X130,4116,
F11,Sample X131,3639,
F12,Sample X132,4298,
F13,Sample X133,207760,
F14,Sample X134,254639,
F15,Sample X135,307295,
F16,Sample X136,314014,
F17,Sample X137,285722,
F18,Sample X138,294251,
F19,Sample X139,282585,
F20,Sample X140,272367,
F21,Sample X141,267738,
F22,Sample X142,182322,
F23,Sample X143,12333,
F24,Sample X144,4101,
G01,Sample X145,4070,
G02,Sample X146,127800,
G03,Sample X147,203972,
G04,Sample X148,264621,
G05,Sample X149,318548,
G06,Sample X150,251041,
G07,Sample X151,168270,
G08,Sample X152,48340,
G09,Sample X153,13473,
G10,Sample X154,4692,
G11,Sample X155,3464,
G12,Sample X156,4068,
G13,Sample X157,41453,
G14,Sample X158,42352,
G15,Sample X159,37443,
G16,Sample X160,25455,
G17,Sample X161,18865,
G18,Sample X162,12909,
G19,Sample X163,7043,
G20,Sample X164,5258,
G21,Sample X165,3843,
G22,Sample X166,3581,
G23,Sample X167,4016,
G24,Sample X168,3714,
H01,Sample X169,4188,
H02,Sample X170,263728,
H03,Sample X171,252089,
H04,Sample X172,312827,
H05,Sample X173,329943,
H06,Sample X174,267509,
H07,Sample X175,227287,
