Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,110293,
A02,Sample X2,116251,
A03,Sample X3,114261,
A04,Sample X4,110689,
A05,Sample X5,111249,
A06,Sample X6,110780,
A07,Sample X7,113203,
A08,Sample X8,109199,
A09,Sample X9,1308,
A10,Sample X10,1351,
A11,Sample X11,1437,
A12,Sample X12,1362,
A13,Sample X13,42555,
A14,Sample X14,94158,
A15,Sample X15,104944,
A16,Sample X16,103798,
A17,Sample X17,111108,
A18,Sample X18,112607,
A19,Sample X19,112383,
A20,Sample X20,112157,
A21,Sample X21,116137,
A22,Sample X22,113551,
A23,Sample X23,117376,
A24,Sample X24,108755,
B01,Sample X25,116055,
B02,Sample X26,117489,
B03,Sample X27,117368,
B04,Sample X28,117605,
B05,Sample X29,117042,
B06,Sample X30,117773,
B07,Sample X31,116510,
B08,Sample X32,115486,
B09,Sample X33,116624,
B10,Sample X34,116352,
B11,Sample X35,116439,
B12,Sample X36,117371,
B13,Sample X37,116127,
B14,Sample X38,114851,
B15,Sample X39,112065,
B16,Sample X40,111428,
B17,Sample X41,114900,
B18,Sample X42,117167,
B19,Sample X43,117332,
B20,Sample X44,117221,
B21,Sample X45,118160,
B22,Sample X46,118046,
B23,Sample X47,114902,
B24,Sample X48,114278,
C01,Sample X49,118824,
C02,Sample X50,121939,
C03,Sample X51,120818,
C04,Sample X52,118885,
C05,Sample X53,121184,
C06,Sample X54,119550,
C07,Sample X55,117758,
C08,Sample X56,117136,
C09,Sample X57,116821,
C10,Sample X58,118556,
C11,Sample X59,120896,
C12,Sample X60,118135,
C13,Sample X61,117502,
C14,Sample X62,118233,
C15,Sample X63,112885,
C16,Sample X64,108795,
C17,Sample X65,106541,
C18,Sample X66,113274,
C19,Sample X67,110635,
C20,Sample X68,115984,
C21,Sample X69,118091,
C22,Sample X70,118334,
C23,Sample X71,119324,
C24,Sample X72,110975,
D01,Sample X73,118557,
D02,Sample X74,93259,
D03,Sample X75,109378,
D04,Sample X76,112728,
D05,Sample X77,112254,
D06,Sample X78,114503,
D07,Sample X79,116241,
D08,Sample X80,117422,
D09,Sample X81,117174,
D10,Sample X82,115740,
D11,Sample X83,114132,
D12,Sample X84,114995,
D13,Sample X85,108493,
D14,Sample X86,112585,
D15,Sample X87,98105,
D16,Sample X88,104328,
D17,Sample X89,100125,
D18,Sample X90,98727,
D19,Sample X91,103795,
D20,Sample X92,113123,
D21,Sample X93,116417,
