Well,Content,Raw Data (No filter),
A01,Sample X1,2476,
A02,Sample X2,2175,
A03,Sample X3,2221,
A04,Sample X4,2204,
A05,Sample X5,2078,
A06,Sample X6,2346,
A07,Sample X7,2148,
A08,Sample X8,2251,
A09,Sample X9,122,
A10,Sample X10,99,
A11,Sample X11,119,
A12,Sample X12,123,
A13,Sample X13,800,
A14,Sample X14,1712,
A15,Sample X15,2175,
A16,Sample X16,2232,
A17,Sample X17,2341,
A18,Sample X18,2234,
A19,Sample X19,2189,
A20,Sample X20,2148,
A21,Sample X21,2288,
A22,Sample X22,2338,
A23,Sample X23,2212,
A24,Sample X24,2284,
B01,Sample X25,2443,
B02,Sample X26,2229,
B03,Sample X27,2367,
B04,Sample X28,2345,
B05,Sample X29,2167,
B06,Sample X30,2314,
B07,Sample X31,2115,
B08,Sample X32,2236,
B09,Sample X33,12518,
B10,Sample X34,12385,
B11,Sample X35,12710,
B12,Sample X36,13155,
B13,Sample X37,12767,
B14,Sample X38,9656,
B15,Sample X39,7150,
B16,Sample X40,5840,
B17,Sample X41,4187,
B18,Sample X42,2780,
B19,Sample X43,2439,
B20,Sample X44,2344,
B21,Sample X45,2102,
B22,Sample X46,2137,
B23,Sample X47,2137,
B24,Sample X48,2302,
C01,Sample X49,2371,
C02,Sample X50,1369,
C03,Sample X51,1943,
C04,Sample X52,2604,
C05,Sample X53,2866,
C06,Sample X54,2455,
C07,Sample X55,2443,
C08,Sample X56,2388,
C09,Sample X57,2263,
C10,Sample X58,2253,
C11,Sample X59,2368,
C12,Sample X60,2131,
C13,Sample X61,4313,
C14,Sample X62,4542,
C15,Sample X63,8991,
C16,Sample X64,11520,
C17,Sample X65,12329,
C18,Sample X66,11980,
C19,Sample X67,12474,
C20,Sample X68,13591,
C21,Sample X69,12709,
C22,Sample X70,12006,
C23,Sample X71,3125,
C24,Sample X72,2378,
D01,Sample X73,2404,
D02,Sample X74,2138,
D03,Sample X75,2329,
D04,Sample X76,2709,
D05,Sample X77,2546,
D06,Sample X78,2590,
D07,Sample X79,2470,
D08,Sample X80,2310,
D09,Sample X81,2329,
D10,Sample X82,2291,
D11,Sample X83,2099,
D12,Sample X84,2145,
D13,Sample X85,2114,
D14,Sample X86,2088,
D15,Sample X87,2206,
D16,Sample X88,2181,
D17,Sample X89,2308,
D18,Sample X90,2088,
D19,Sample X91,2324,
D20,Sample X92,2395,
D21,Sample X93,2006,
D22,Sample X94,2135,
D23,Sample X95,2138,
D24,Sample X96,2167,
E01,Sample X97,2243,
E02,Sample X98,1425,
E03,Sample X99,1653,
E04,Sample X100,2120,
E05,Sample X101,2299,
E06,Sample X102,2428,
E07,Sample X103,2190,
E08,Sample X104,2303,
E09,Sample X105,1990,
E10,Sample X106,2362,
E11,Sample X107,2096,
E12,Sample X108,2031,
E13,Sample X109,5449,
E14,Sample X110,7609,
E15,Sample X111,9511,
E16,Sample X112,10693,
E17,Sample X113,10805,
E18,Sample X114,11159,
E19,Sample X115,8726,
E20,Sample X116,3430,
E21,Sample X117,2385,
E22,Sample X118,2266,
E23,Sample X119,2329,
E24,Sample X120,2246,
F01,Sample X121,2512,
F02,Sample X122,1437,
F03,Sample X123,2712,
F04,Sample X124,4520,
F05,Sample X125,7307,
F06,Sample X126,11389,
F07,Sample X127,12279,
F08,Sample X128,11266,
F09,Sample X129,4918,
F10,Sample X130,2857,
F11,Sample X131,2273,
F12,Sample X132,2262,
F13,Sample X133,8350,
F14,Sample X134,10567,
F15,Sample X135,12800,
F16,Sample X136,14117,
F17,Sample X137,13343,
F18,Sample X138,14206,
F19,Sample X139,11322,
F20,Sample X140,5288,
F21,Sample X141,2944,
F22,Sample X142,2423,
F23,Sample X143,2181,
F24,Sample X144,2355,
G01,Sample X145,2296,
G02,Sample X146,5363,
G03,Sample X147,6807,
G04,Sample X148,9268,
G05,Sample X149,11519,
G06,Sample X150,12988,
G07,Sample X151,13191,
G08,Sample X152,2516,
G09,Sample X153,2151,
G10,Sample X154,2293,
G11,Sample X155,2259,
G12,Sample X156,2087,
G13,Sample X157,952,
G14,Sample X158,1360,
G15,Sample X159,1625,
G16,Sample X160,2159,
G17,Sample X161,2323,
G18,Sample X162,2143,
G19,Sample X163,2215,
G20,Sample X164,2211,
G21,Sample X165,2138,
G22,Sample X166,2193,
G23,Sample X167,2243,
G24,Sample X168,2225,
H01,Sample X169,2639,
H02,Sample X170,9305,
H03,Sample X171,9583,
H04,Sample X172,12051,
H05,Sample X173,12543,
H06,Sample X174,11783,
H07,Sample X175,8849,
H08,Sample X176,5885,
H09,Sample X177,5342,
H10,Sample X178,4767,
H11,Sample X179,3967,
H12,Sample X180,2337,
H13,Sample X181,3397,
H14,Sample X182,7578,
H15,Sample X183,11901,
H16,Sample X184,12336,
H17,Sample X185,12028,
H18,Sample X186,11947,
H19,Sample X187,11043,
H20,Sample X188,10194,
H21,Sample X189,9646,
H22,Sample X190,5468,
H23,Sample X191,2373,
H24,Sample X192,2378,
I01,Sample X193,2763,
I02,Sample X194,7342,
I03,Sample X195,7697,
I04,Sample X196,6813,
I05,Sample X197,5562,
I06,Sample X198,5709,
I07,Sample X199,4752,
I08,Sample X200,4686,
I09,Sample X201,4696,
I10,Sample X202,4419,
I11,Sample X203,3717,
I12,Sample X204,2448,
