Well,Content,Raw Data (No filter),
A01,Sample X1,215590,
A02,Sample X2,205399,
A03,Sample X3,213467,
A04,Sample X4,201882,
A05,Sample X5,190660,
A06,Sample X6,203513,
A07,Sample X7,197654,
A08,Sample X8,198368,
A09,Sample X9,297,
A10,Sample X10,207,
A11,Sample X11,183,
A12,Sample X12,245,
A13,Sample X13,63740,
A14,Sample X14,171237,
A15,Sample X15,178930,
A16,Sample X16,185704,
A17,Sample X17,201769,
A18,Sample X18,199424,
A19,Sample X19,207224,
A20,Sample X20,212992,
A21,Sample X21,205474,
A22,Sample X22,185875,
A23,Sample X23,206892,
A24,Sample X24,204521,
B01,Sample X25,205480,
B02,Sample X26,192501,
B03,Sample X27,192010,
B04,Sample X28,196021,
B05,Sample X29,203761,
B06,Sample X30,190576,
B07,Sample X31,198725,
B08,Sample X32,208295,
B09,Sample X33,8481,
B10,Sample X34,7892,
B11,Sample X35,8047,
B12,Sample X36,8750,
B13,Sample X37,20753,
B14,Sample X38,30483,
B15,Sample X39,55617,
B16,Sample X40,90617,
B17,Sample X41,143390,
B18,Sample X42,181783,
B19,Sample X43,186342,
B20,Sample X44,193704,
B21,Sample X45,187318,
B22,Sample X46,188665,
B23,Sample X47,203506,
B24,Sample X48,195407,
C01,Sample X49,181727,
C02,Sample X50,105671,
C03,Sample X51,132804,
C04,Sample X52,157339,
C05,Sample X53,191805,
C06,Sample X54,195440,
C07,Sample X55,191433,
C08,Sample X56,195291,
C09,Sample X57,183146,
C10,Sample X58,201923,
C11,Sample X59,200584,
C12,Sample X60,196489,
C13,Sample X61,142347,
C14,Sample X62,162302,
C15,Sample X63,178357,
C16,Sample X64,179971,
C17,Sample X65,192975,
C18,Sample X66,193776,
C19,Sample X67,182128,
C20,Sample X68,200187,
C21,Sample X69,188248,
C22,Sample X70,201628,
C23,Sample X71,217985,
C24,Sample X72,207665,
D01,Sample X73,163350,
D02,Sample X74,10095,
D03,Sample X75,21399,
D04,Sample X76,27267,
D05,Sample X77,39127,
D06,Sample X78,56002,
D07,Sample X79,79542,
D08,Sample X80,123408,
D09,Sample X81,161875,
D10,Sample X82,187616,
D11,Sample X83,212652,
D12,Sample X84,215272,
D13,Sample X85,178309,
D14,Sample X86,192659,
D15,Sample X87,188643,
D16,Sample X88,204605,
D17,Sample X89,185180,
D18,Sample X90,193541,
D19,Sample X91,199682,
D20,Sample X92,196225,
D21,Sample X93,189603,
D22,Sample X94,193801,
D23,Sample X95,214042,
D24,Sample X96,213784,
E01,Sample X97,195027,
E02,Sample X98,69215,
E03,Sample X99,90507,
E04,Sample X100,134768,
E05,Sample X101,157265,
E06,Sample X102,185449,
E07,Sample X103,199789,
E08,Sample X104,189102,
E09,Sample X105,201017,
E10,Sample X106,200931,
E11,Sample X107,205856,
E12,Sample X108,193843,
E13,Sample X109,27372,
E14,Sample X110,81819,
E15,Sample X111,121707,
E16,Sample X112,164927,
E17,Sample X113,193007,
E18,Sample X114,196267,
E19,Sample X115,210663,
E20,Sample X116,202901,
E21,Sample X117,205720,
E22,Sample X118,219067,
E23,Sample X119,218185,
E24,Sample X120,234993,
F01,Sample X121,206693,
F02,Sample X122,150828,
F03,Sample X123,167530,
F04,Sample X124,178691,
F05,Sample X125,192455,
F06,Sample X126,198396,
F07,Sample X127,190556,
F08,Sample X128,208413,
F09,Sample X129,196393,
F10,Sample X130,205493,
F11,Sample X131,184886,
F12,Sample X132,182217,
F13,Sample X133,2397,
F14,Sample X134,2152,
F15,Sample X135,163250,
F16,Sample X136,160837,
F17,Sample X137,199537,
F18,Sample X138,212475,
F19,Sample X139,220789,
F20,Sample X140,215312,
F21,Sample X141,209914,
F22,Sample X142,216341,
F23,Sample X143,184685,
