Well,Content,Raw Data (No filter),
A01,Sample X1,3509,
A02,Sample X2,3515,
A03,Sample X3,3514,
A04,Sample X4,3636,
A05,Sample X5,3561,
A06,Sample X6,3542,
A07,Sample X7,3810,
A08,Sample X8,3688,
A09,Sample X9,337,
A10,Sample X10,308,
A11,Sample X11,280,
A12,Sample X12,320,
A13,Sample X13,1627,
A14,Sample X14,3134,
A15,Sample X15,3636,
A16,Sample X16,3473,
A17,Sample X17,3785,
A18,Sample X18,3714,
A19,Sample X19,3564,
A20,Sample X20,3661,
A21,Sample X21,3799,
A22,Sample X22,3634,
A23,Sample X23,3371,
A24,Sample X24,4063,
B01,Sample X25,3710,
B02,Sample X26,3243,
B03,Sample X27,3560,
B04,Sample X28,3339,
B05,Sample X29,3644,
B06,Sample X30,3551,
B07,Sample X31,3574,
B08,Sample X32,3478,
B09,Sample X33,328682,
B10,Sample X34,308731,
B11,Sample X35,304597,
B12,Sample X36,313839,
B13,Sample X37,259620,
B14,Sample X38,235886,
B15,Sample X39,151217,
B16,Sample X40,102275,
B17,Sample X41,29864,
B18,Sample X42,7475,
B19,Sample X43,4276,
B20,Sample X44,4133,
B21,Sample X45,3588,
B22,Sample X46,3398,
B23,Sample X47,3800,
B24,Sample X48,3696,
C01,Sample X49,3263,
C02,Sample X50,2447,
C03,Sample X51,2869,
C04,Sample X52,2948,
C05,Sample X53,3309,
C06,Sample X54,2966,
C07,Sample X55,3481,
C08,Sample X56,3516,
C09,Sample X57,3725,
C10,Sample X58,3698,
C11,Sample X59,4021,
C12,Sample X60,3979,
C13,Sample X61,3552,
C14,Sample X62,3581,
C15,Sample X63,3590,
C16,Sample X64,3282,
C17,Sample X65,3327,
C18,Sample X66,3672,
C19,Sample X67,3472,
C20,Sample X68,3344,
C21,Sample X69,3606,
C22,Sample X70,3253,
C23,Sample X71,3496,
C24,Sample X72,3882,
D01,Sample X73,3713,
D02,Sample X74,9251,
D03,Sample X75,11775,
D04,Sample X76,10208,
D05,Sample X77,7349,
D06,Sample X78,4154,
D07,Sample X79,3330,
D08,Sample X80,3160,
D09,Sample X81,3279,
D10,Sample X82,3673,
D11,Sample X83,3386,
D12,Sample X84,3772,
D13,Sample X85,3634,
D14,Sample X86,3562,
D15,Sample X87,3638,
D16,Sample X88,3542,
D17,Sample X89,3344,
D18,Sample X90,3880,
D19,Sample X91,3375,
D20,Sample X92,3784,
D21,Sample X93,3587,
D22,Sample X94,3833,
D23,Sample X95,3440,
D24,Sample X96,3509,
E01,Sample X97,3465,
E02,Sample X98,2770,
E03,Sample X99,2972,
E04,Sample X100,3396,
E05,Sample X101,3199,
E06,Sample X102,3264,
E07,Sample X103,3713,
E08,Sample X104,3525,
E09,Sample X105,3587,
E10,Sample X106,3652,
E11,Sample X107,3902,
E12,Sample X108,3673,
E13,Sample X109,1826,
E14,Sample X110,3284,
E15,Sample X111,3615,
E16,Sample X112,3576,
E17,Sample X113,3491,
E18,Sample X114,3586,
E19,Sample X115,3782,
E20,Sample X116,3466,
E21,Sample X117,3950,
E22,Sample X118,3406,
E23,Sample X119,3733,
E24,Sample X120,3548,
F01,Sample X121,3704,
F02,Sample X122,3167,
