Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,119613,
A02,Sample X2,120711,
A03,Sample X3,125208,
A04,Sample X4,121386,
A05,Sample X5,120619,
A06,Sample X6,87741,
A07,Sample X7,121271,
A08,Sample X8,122091,
A09,Sample X9,1803,
A10,Sample X10,1805,
A11,Sample X11,1808,
A12,Sample X12,1845,
A13,Sample X13,17969,
A14,Sample X14,104583,
A15,Sample X15,111339,
A16,Sample X16,98013,
A17,Sample X17,117448,
A18,Sample X18,121646,
A19,Sample X19,123807,
A20,Sample X20,127766,
A21,Sample X21,124499,
A22,Sample X22,124644,
A23,Sample X23,93715,
A24,Sample X24,119671,
B01,Sample X25,123452,
B02,Sample X26,126898,
B03,Sample X27,129829,
B04,Sample X28,127564,
B05,Sample X29,126363,
B06,Sample X30,128788,
B07,Sample X31,128065,
B08,Sample X32,126406,
B09,Sample X33,67735,
B10,Sample X34,93899,
B11,Sample X35,94194,
B12,Sample X36,91375,
B13,Sample X37,121862,
B14,Sample X38,130533,
B15,Sample X39,125904,
B16,Sample X40,127964,
B17,Sample X41,122782,
B18,Sample X42,128196,
B19,Sample X43,130127,
B20,Sample X44,127152,
B21,Sample X45,137062,
B22,Sample X46,137103,
B23,Sample X47,126497,
B24,Sample X48,125828,
C01,Sample X49,97217,
C02,Sample X50,117082,
C03,Sample X51,131181,
C04,Sample X52,94871,
C05,Sample X53,129320,
C06,Sample X54,124554,
C07,Sample X55,125614,
C08,Sample X56,82763,
C09,Sample X57,118617,
C10,Sample X58,128672,
C11,Sample X59,130896,
C12,Sample X60,131600,
C13,Sample X61,133664,
C14,Sample X62,79285,
C15,Sample X63,130776,
C16,Sample X64,90353,
C17,Sample X65,128447,
C18,Sample X66,126195,
C19,Sample X67,125753,
C20,Sample X68,130721,
C21,Sample X69,81405,
C22,Sample X70,131910,
C23,Sample X71,98897,
C24,Sample X72,105806,
D01,Sample X73,128344,
D02,Sample X74,111351,
D03,Sample X75,74698,
D04,Sample X76,122231,
D05,Sample X77,80594,
D06,Sample X78,114004,
D07,Sample X79,126561,
D08,Sample X80,91994,
D09,Sample X81,87250,
D10,Sample X82,125003,
D11,Sample X83,113281,
D12,Sample X84,90971,
D13,Sample X85,111718,
D14,Sample X86,121250,
D15,Sample X87,121880,
D16,Sample X88,111959,
D17,Sample X89,105962,
D18,Sample X90,127215,
D19,Sample X91,116466,
D20,Sample X92,124987,
D21,Sample X93,127607,
D22,Sample X94,130248,
D23,Sample X95,128303,
D24,Sample X96,121327,
E01,Sample X97,108319,
E02,Sample X98,107305,
E03,Sample X99,142853,
E04,Sample X100,138461,
E05,Sample X101,68485,
E06,Sample X102,66119,
E07,Sample X103,88029,
E08,Sample X104,111109,
E09,Sample X105,75473,
E10,Sample X106,119242,
E11,Sample X107,114897,
E12,Sample X108,118215,
E13,Sample X109,113409,
E14,Sample X110,110679,
E15,Sample X111,111245,
E16,Sample X112,122220,
E17,Sample X113,123530,
E18,Sample X114,120400,
E19,Sample X115,126702,
E20,Sample X116,88883,
E21,Sample X117,94113,
E22,Sample X118,130094,
E23,Sample X119,127409,
E24,Sample X120,99996,
F01,Sample X121,128109,
F02,Sample X122,141598,
F03,Sample X123,130214,
F04,Sample X124,130212,
F05,Sample X125,117951,
F06,Sample X126,116349,
F07,Sample X127,85626,
F08,Sample X128,124532,
F09,Sample X129,114489,
F10,Sample X130,101275,
F11,Sample X131,96574,
F12,Sample X132,123313,
F13,Sample X133,2165,
F14,Sample X134,2212,
F15,Sample X135,112170,
F16,Sample X136,120014,
F17,Sample X137,119339,
F18,Sample X138,107821,
F19,Sample X139,121809,
F20,Sample X140,118401,
F21,Sample X141,131535,
F22,Sample X142,125472,
F23,Sample X143,128317,
F24,Sample X144,124867,
G01,Sample X145,77319,
G02,Sample X146,2343,
G03,Sample X147,2408,
G04,Sample X148,2614,
G05,Sample X149,81281,
G06,Sample X150,77554,
G07,Sample X151,94109,
G08,Sample X152,88813,
G09,Sample X153,66884,
G10,Sample X154,67020,
G11,Sample X155,98985,
G12,Sample X156,109762,
G13,Sample X157,98464,
G14,Sample X158,118246,
G15,Sample X159,107130,
G16,Sample X160,107489,
G17,Sample X161,102019,
G18,Sample X162,113291,
G19,Sample X163,134278,
G20,Sample X164,128947,
G21,Sample X165,131258,
G22,Sample X166,133294,
G23,Sample X167,106773,
G24,Sample X168,129088,
H01,Sample X169,130651,
H02,Sample X170,141272,
H03,Sample X171,142768,
H04,Sample X172,136613,
H05,Sample X173,118943,
H06,Sample X174,117521,
H07,Sample X175,117431,
H08,Sample X176,93871,
H09,Sample X177,100320,
H10,Sample X178,114008,
H11,Sample X179,83771,
H12,Sample X180,84385,
H13,Sample X181,72989,
H14,Sample X182,90653,
H15,Sample X183,112919,
H16,Sample X184,97724,
H17,Sample X185,104496,
H18,Sample X186,119798,
H19,Sample X187,122016,
H20,Sample X188,135657,
H21,Sample X189,128564,
H22,Sample X190,132945,
H23,Sample X191,128845,
H24,Sample X192,128532,
I01,Sample X193,130133,
I02,Sample X194,2427,
I03,Sample X195,58114,
I04,Sample X196,115392,
I05,Sample X197,123515,
I06,Sample X198,79628,
I07,Sample X199,93980,
I08,Sample X200,103455,
I09,Sample X201,90895,
I10,Sample X202,90812,
I11,Sample X203,84958,
I12,Sample X204,75519,
I13,Sample X205,91375,
I14,Sample X206,94594,
I15,Sample X207,84533,
I16,Sample X208,100547,
I17,Sample X209,121194,
I18,Sample X210,115610,
I19,Sample X211,73877,
I20,Sample X212,82482,
I21,Sample X213,129197,
I22,Sample X214,141300,
I23,Sample X215,136944,
I24,Sample X216,128060,
J01,Sample X217,142997,
J02,Sample X218,143783,
J03,Sample X219,141809,
J04,Sample X220,96139,
J05,Sample X221,131728,
J06,Sample X222,133085,
J07,Sample X223,121938,
J08,Sample X224,100871,
J09,Sample X225,134629,
J10,Sample X226,118513,
J11,Sample X227,106344,
J12,Sample X228,89080,
J13,Sample X229,91073,
J14,Sample X230,107351,
J15,Sample X231,125461,
J16,Sample X232,120895,
J17,Sample X233,126533,
J18,Sample X234,125130,
J19,Sample X235,127731,
J20,Sample X236,117811,
J21,Sample X237,135024,
J22,Sample X238,138395,
J23,Sample X239,134974,
J24,Sample X240,131046,
K01,Sample X241,126281,
K02,Sample X242,101858,
K03,Sample X243,79588,
K04,Sample X244,129889,
K05,Sample X245,121491,
K06,Sample X246,111539,
K07,Sample X247,120766,
K08,Sample X248,131354,
K09,Sample X249,134091,
K10,Sample X250,119862,
K11,Sample X251,136679,
K12,Sample X252,132669,
K13,Sample X253,110892,
K14,Sample X254,136263,
K15,Sample X255,109413,
K16,Sample X256,122021,
K17,Sample X257,82130,
K18,Sample X258,134817,
K19,Sample X259,133682,
K20,Sample X260,140342,
K21,Sample X261,136239,
K22,Sample X262,138372,
K23,Sample X263,136449,
K24,Sample X264,130019,
L01,Sample X265,134229,
L02,Sample X266,132501,
L03,Sample X267,137354,
L04,Sample X268,137379,
L05,Sample X269,147075,
L06,Sample X270,102916,
L07,Sample X271,135444,
L08,Sample X272,135897,
L09,Sample X273,82985,
L10,Sample X274,119230,
L11,Sample X275,126195,
L12,Sample X276,131124,
L13,Sample X277,144726,
L14,Sample X278,146318,
L15,Sample X279,139607,
L16,Sample X280,115756,
L17,Sample X281,129732,
L18,Sample X282,127874,
L19,Sample X283,119815,
L20,Sample X284,108468,
L21,Sample X285,146286,
L22,Sample X286,136491,
L23,Sample X287,144559,
L24,Sample X288,95791,
M01,Sample X289,132078,
M02,Sample X290,131250,
M03,Sample X291,82735,
M04,Sample X292,77161,
M05,Sample X293,136982,
M06,Sample X294,134982,
M07,Sample X295,138251,
M08,Sample X296,136067,
M09,Sample X297,83849,
M10,Sample X298,108452,
M11,Sample X299,140308,
M12,Sample X300,122031,
M13,Sample X301,89111,
M14,Sample X302,138159,
M15,Sample X303,134732,
M16,Sample X304,132686,
M17,Sample X305,121799,
M18,Sample X306,118154,
M19,Sample X307,143327,
M20,Sample X308,137544,
M21,Sample X309,107418,
M22,Sample X310,138277,
M23,Sample X311,64609,
M24,Sample X312,127769,
N01,Sample X313,129734,
N02,Sample X314,138554,
N03,Sample X315,137589,
N04,Sample X316,137111,
N05,Sample X317,80239,
N06,Sample X318,145327,
N07,Sample X319,141638,
N08,Sample X320,138353,
N09,Sample X321,73399,
N10,Sample X322,88713,
N11,Sample X323,132035,
N12,Sample X324,95252,
N13,Sample X325,120133,
N14,Sample X326,128131,
N15,Sample X327,120954,
N16,Sample X328,135501,
N17,Sample X329,137175,
N18,Sample X330,138152,
N19,Sample X331,135870,
N20,Sample X332,137745,
N21,Sample X333,134511,
N22,Sample X334,137713,
N23,Sample X335,131756,
N24,Sample X336,126935,
O01,Sample X337,127403,
O02,Sample X338,139887,
O03,Sample X339,114927,
O04,Sample X340,103075,
O05,Sample X341,91315,
O06,Sample X342,88617,
O07,Sample X343,133885,
O08,Sample X344,112307,
O09,Sample X345,95433,
O10,Sample X346,135804,
O11,Sample X347,107417,
O12,Sample X348,136279,
O13,Sample X349,131351,
O14,Sample X350,112966,
O15,Sample X351,133803,
O16,Sample X352,107280,
O17,Sample X353,68971,
O18,Sample X354,58908,
O19,Sample X355,64151,
O20,Sample X356,66027,
O21,Sample X357,134797,
O22,Sample X358,134527,
O23,Sample X359,134290,
O24,Sample X360,63522,
P01,Sample X361,120449,
P02,Sample X362,129406,
P03,Sample X363,128869,
P04,Sample X364,127607,
P05,Sample X365,129931,
P06,Sample X366,130330,
P07,Sample X367,128528,
P08,Sample X368,127063,
P09,Sample X369,131587,
P10,Sample X370,130120,
P11,Sample X371,128550,
P12,Sample X372,132670,
P13,Sample X373,133669,
P14,Sample X374,129309,
P15,Sample X375,129856,
P16,Sample X376,130357,
P17,Sample X377,130253,
P18,Sample X378,130626,
P19,Sample X379,130673,
P20,Sample X380,130152,
P21,Sample X381,128999,
P22,Sample X382,128676,
P23,Sample X383,56876,
P24,Sample X384,124811,
