Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,131255,
A02,Sample X2,141300,
A03,Sample X3,138991,
A04,Sample X4,143408,
A05,Sample X5,135537,
A06,Sample X6,133926,
A07,Sample X7,135755,
A08,Sample X8,149121,
A09,Sample X9,3203,
A10,Sample X10,1403,
A11,Sample X11,4368,
A12,Sample X12,3750,
A13,Sample X13,58256,
A14,Sample X14,129624,
A15,Sample X15,160578,
A16,Sample X16,127459,
A17,Sample X17,162650,
A18,Sample X18,127190,
A19,Sample X19,146805,
A20,Sample X20,139341,
A21,Sample X21,152794,
A22,Sample X22,160653,
A23,Sample X23,141093,
A24,Sample X24,142489,
B01,Sample X25,146999,
B02,Sample X26,135181,
B03,Sample X27,141951,
B04,Sample X28,154764,
B05,Sample X29,141883,
B06,Sample X30,142173,
B07,Sample X31,171110,
B08,Sample X32,150265,
B09,Sample X33,106166,
B10,Sample X34,127752,
B11,Sample X35,125111,
B12,Sample X36,129680,
B13,Sample X37,109099,
B14,Sample X38,126166,
B15,Sample X39,110692,
B16,Sample X40,138805,
B17,Sample X41,151040,
B18,Sample X42,162705,
B19,Sample X43,132705,
B20,Sample X44,157127,
B21,Sample X45,120081,
B22,Sample X46,150834,
B23,Sample X47,120841,
B24,Sample X48,114732,
C01,Sample X49,147224,
C02,Sample X50,1426,
C03,Sample X51,6500,
C04,Sample X52,75816,
C05,Sample X53,134088,
C06,Sample X54,167718,
C07,Sample X55,139659,
C08,Sample X56,125182,
C09,Sample X57,163868,
C10,Sample X58,157753,
C11,Sample X59,168682,
C12,Sample X60,130220,
C13,Sample X61,105814,
C14,Sample X62,126675,
C15,Sample X63,132550,
C16,Sample X64,132043,
C17,Sample X65,118190,
C18,Sample X66,119761,
C19,Sample X67,157356,
C20,Sample X68,126745,
C21,Sample X69,155947,
C22,Sample X70,167328,
C23,Sample X71,153833,
C24,Sample X72,166727,
D01,Sample X73,142138,
D02,Sample X74,36049,
D03,Sample X75,103655,
D04,Sample X76,137888,
D05,Sample X77,143470,
D06,Sample X78,159291,
D07,Sample X79,114415,
D08,Sample X80,118648,
D09,Sample X81,127174,
D10,Sample X82,145989,
D11,Sample X83,132169,
D12,Sample X84,133864,
D13,Sample X85,112450,
D14,Sample X86,121216,
D15,Sample X87,121108,
D16,Sample X88,145396,
D17,Sample X89,150557,
D18,Sample X90,162075,
D19,Sample X91,134894,
D20,Sample X92,144100,
D21,Sample X93,171138,
D22,Sample X94,155443,
D23,Sample X95,152327,
D24,Sample X96,153072,
E01,Sample X97,147507,
E02,Sample X98,95441,
E03,Sample X99,153435,
E04,Sample X100,144253,
E05,Sample X101,152912,
E06,Sample X102,119540,
E07,Sample X103,115624,
E08,Sample X104,174292,
E09,Sample X105,140380,
E10,Sample X106,136996,
E11,Sample X107,122017,
E12,Sample X108,125701,
E13,Sample X109,3372,
E14,Sample X110,3422,
E15,Sample X111,3424,
E16,Sample X112,2716,
E17,Sample X113,3359,
E18,Sample X114,3302,
E19,Sample X115,3420,
E20,Sample X116,91636,
E21,Sample X117,147600,
E22,Sample X118,172950,
E23,Sample X119,149378,
E24,Sample X120,135537,
F01,Sample X121,157492,
F02,Sample X122,87853,
F03,Sample X123,130973,
F04,Sample X124,115004,
F05,Sample X125,113206,
F06,Sample X126,118597,
F07,Sample X127,137282,
F08,Sample X128,144814,
F09,Sample X129,140764,
F10,Sample X130,118009,
F11,Sample X131,161933,
F12,Sample X132,113066,
F13,Sample X133,19740,
F14,Sample X134,24640,
F15,Sample X135,46784,
F16,Sample X136,95651,
F17,Sample X137,155056,
F18,Sample X138,99968,
F19,Sample X139,112647,
F20,Sample X140,161178,
F21,Sample X141,151461,
F22,Sample X142,169572,
F23,Sample X143,144882,
F24,Sample X144,149071,
G01,Sample X145,149593,
G02,Sample X146,56795,
G03,Sample X147,121975,
G04,Sample X148,140991,
G05,Sample X149,154871,
G06,Sample X150,145839,
G07,Sample X151,156132,
G08,Sample X152,131459,
G09,Sample X153,155985,
G10,Sample X154,131671,
G11,Sample X155,112373,
G12,Sample X156,121642,
G13,Sample X157,113380,
G14,Sample X158,113934,
G15,Sample X159,140713,
G16,Sample X160,115129,
G17,Sample X161,120699,
G18,Sample X162,115778,
G19,Sample X163,117232,
G20,Sample X164,147262,
G21,Sample X165,143306,
G22,Sample X166,156414,
G23,Sample X167,149995,
G24,Sample X168,144844,
H01,Sample X169,147037,
H02,Sample X170,160650,
H03,Sample X171,154738,
H04,Sample X172,152363,
H05,Sample X173,149558,
H06,Sample X174,135501,
H07,Sample X175,139362,
H08,Sample X176,125995,
H09,Sample X177,138387,
H10,Sample X178,115681,
H11,Sample X179,112002,
H12,Sample X180,136080,
H13,Sample X181,124299,
H14,Sample X182,137548,
H15,Sample X183,115635,
H16,Sample X184,140844,
H17,Sample X185,114990,
H18,Sample X186,141392,
H19,Sample X187,141186,
H20,Sample X188,136321,
H21,Sample X189,141861,
H22,Sample X190,125307,
H23,Sample X191,151498,
H24,Sample X192,145370,
I01,Sample X193,150825,
I02,Sample X194,141812,
I03,Sample X195,149744,
I04,Sample X196,118979,
I05,Sample X197,144934,
I06,Sample X198,146710,
I07,Sample X199,133859,
I08,Sample X200,125606,
I09,Sample X201,133246,
I10,Sample X202,101594,
I11,Sample X203,135907,
I12,Sample X204,98498,
I13,Sample X205,3394,
I14,Sample X206,40594,
I15,Sample X207,97931,
I16,Sample X208,111321,
I17,Sample X209,101981,
I18,Sample X210,154192,
I19,Sample X211,159266,
I20,Sample X212,155668,
I21,Sample X213,151860,
I22,Sample X214,183304,
I23,Sample X215,150270,
I24,Sample X216,149053,
J01,Sample X217,160397,
J02,Sample X218,152832,
J03,Sample X219,152996,
J04,Sample X220,148476,
J05,Sample X221,150268,
J06,Sample X222,140681,
J07,Sample X223,143565,
J08,Sample X224,141223,
J09,Sample X225,140606,
J10,Sample X226,137465,
J11,Sample X227,137799,
J12,Sample X228,145378,
J13,Sample X229,104450,
J14,Sample X230,101639,
J15,Sample X231,109220,
J16,Sample X232,113212,
J17,Sample X233,129777,
J18,Sample X234,138263,
J19,Sample X235,138240,
J20,Sample X236,129566,
J21,Sample X237,128862,
J22,Sample X238,150184,
J23,Sample X239,148513,
J24,Sample X240,153178,
K01,Sample X241,150224,
K02,Sample X242,37747,
K03,Sample X243,137702,
K04,Sample X244,146234,
K05,Sample X245,142219,
K06,Sample X246,147256,
K07,Sample X247,124722,
K08,Sample X248,143353,
K09,Sample X249,138665,
K10,Sample X250,125944,
K11,Sample X251,146340,
K12,Sample X252,139395,
K13,Sample X253,142286,
K14,Sample X254,146978,
K15,Sample X255,118874,
K16,Sample X256,121494,
K17,Sample X257,137056,
K18,Sample X258,128860,
K19,Sample X259,146868,
K20,Sample X260,145894,
K21,Sample X261,158201,
K22,Sample X262,150102,
K23,Sample X263,156100,
K24,Sample X264,148320,
L01,Sample X265,149512,
L02,Sample X266,150881,
L03,Sample X267,153628,
L04,Sample X268,155224,
L05,Sample X269,149204,
L06,Sample X270,125993,
L07,Sample X271,123229,
L08,Sample X272,143038,
L09,Sample X273,126636,
L10,Sample X274,131110,
L11,Sample X275,119880,
L12,Sample X276,118200,
L13,Sample X277,125546,
L14,Sample X278,138981,
L15,Sample X279,149513,
L16,Sample X280,127470,
