Well,Content,Raw Data (530-15/590-20),
K05,Sample X245,112290,
K06,Sample X246,121105,
K07,Sample X247,116555,
K08,Sample X248,110652,
K09,Sample X249,111101,
K10,Sample X250,108260,
K11,Sample X251,111167,
K12,Sample X252,110849,
K13,Sample X253,124400,
K14,Sample X254,112171,
K15,Sample X255,115532,
K16,Sample X256,118748,
K17,Sample X257,119699,
K18,Sample X258,117546,
K19,Sample X259,117116,
K20,Sample X260,118347,
K21,Sample X261,122383,
K22,Sample X262,142197,
K23,Sample X263,140955,
K24,Sample X264,134671,
L01,Sample X265,138958,
L02,Sample X266,3256,
L03,Sample X267,3322,
L04,Sample X268,3595,
L05,Sample X269,107396,
L06,Sample X270,115577,
L07,Sample X271,119272,
L08,Sample X272,115920,
L09,Sample X273,121195,
L10,Sample X274,118271,
L11,Sample X275,111184,
L12,Sample X276,118226,
L13,Sample X277,116569,
L14,Sample X278,101916,
L15,Sample X279,119254,
L16,Sample X280,121913,
L17,Sample X281,119732,
L18,Sample X282,110283,
L19,Sample X283,121501,
L20,Sample X284,112623,
L21,Sample X285,125528,
L22,Sample X286,130879,
L23,Sample X287,136218,
L24,Sample X288,137303,
M01,Sample X289,158702,
M02,Sample X290,138139,
M03,Sample X291,122013,
M04,Sample X292,131037,
M05,Sample X293,115748,
M06,Sample X294,153799,
M07,Sample X295,109850,
M08,Sample X296,112986,
M09,Sample X297,111129,
M10,Sample X298,120987,
M11,Sample X299,125187,
M12,Sample X300,116498,
M13,Sample X301,97524,
M14,Sample X302,105464,
M15,Sample X303,110826,
M16,Sample X304,111326,
M17,Sample X305,112543,
M18,Sample X306,105713,
M19,Sample X307,107613,
M20,Sample X308,116993,
M21,Sample X309,117985,
M22,Sample X310,119097,
M23,Sample X311,110490,
M24,Sample X312,135546,
N01,Sample X313,141655,
N02,Sample X314,144705,
N03,Sample X315,160560,
N04,Sample X316,128126,
N05,Sample X317,137796,
N06,Sample X318,129223,
N07,Sample X319,123461,
N08,Sample X320,107089,
N09,Sample X321,121244,
N10,Sample X322,124354,
N11,Sample X323,109733,
N12,Sample X324,124206,
N13,Sample X325,128549,
N14,Sample X326,109311,
N15,Sample X327,110175,
N16,Sample X328,122238,
N17,Sample X329,104526,
N18,Sample X330,109305,
N19,Sample X331,117006,
N20,Sample X332,108159,
N21,Sample X333,114228,
N22,Sample X334,126199,
N23,Sample X335,128735,
N24,Sample X336,127533,
O01,Sample X337,134823,
O02,Sample X338,137570,
O03,Sample X339,145710,
O04,Sample X340,139969,
O05,Sample X341,142785,
O06,Sample X342,135390,
O07,Sample X343,125241,
O08,Sample X344,132217,
O09,Sample X345,120408,
O10,Sample X346,130820,
O11,Sample X347,139817,
O12,Sample X348,123591,
O13,Sample X349,118948,
O14,Sample X350,112117,
O15,Sample X351,132636,
O16,Sample X352,124617,
O17,Sample X353,156929,
O18,Sample X354,124885,
O19,Sample X355,125152,
O20,Sample X356,110209,
O21,Sample X357,131552,
O22,Sample X358,114357,
O23,Sample X359,134377,
O24,Sample X360,123127,
P01,Sample X361,132021,
P02,Sample X362,133192,
P03,Sample X363,129466,
P04,Sample X364,126930,
P05,Sample X365,129849,
P06,Sample X366,138812,
P07,Sample X367,144306,
P08,Sample X368,133958,
P09,Sample X369,129094,
P10,Sample X370,129734,
P11,Sample X371,130738,
P12,Sample X372,130891,
P13,Sample X373,131160,
P14,Sample X374,126859,
P15,Sample X375,119961,
P16,Sample X376,107419,
P17,Sample X377,128208,
P18,Sample X378,128248,
P19,Sample X379,119282,
P20,Sample X380,130171,
P21,Sample X381,142747,
P22,Sample X382,128263,
P23,Sample X383,110505,
P24,Sample X384,121506,
