Well,Content,Raw Data (No filter),
A01,Sample X1,2949,
A02,Sample X2,2517,
A03,Sample X3,2506,
A04,Sample X4,2449,
A05,Sample X5,2355,
A06,Sample X6,2401,
A07,Sample X7,2454,
A08,Sample X8,2413,
A09,Sample X9,159,
A10,Sample X10,167,
A11,Sample X11,129,
A12,Sample X12,152,
A13,Sample X13,738,
A14,Sample X14,2080,
A15,Sample X15,2424,
A16,Sample X16,2482,
A17,Sample X17,2346,
A18,Sample X18,2387,
A19,Sample X19,2530,
A20,Sample X20,2505,
A21,Sample X21,2513,
A22,Sample X22,2441,
A23,Sample X23,2542,
A24,Sample X24,2735,
B01,Sample X25,2575,
B02,Sample X26,2369,
B03,Sample X27,2437,
B04,Sample X28,2483,
B05,Sample X29,2429,
B06,Sample X30,2378,
B07,Sample X31,2529,
B08,Sample X32,2352,
B09,Sample X33,14355,
B10,Sample X34,14823,
B11,Sample X35,14814,
B12,Sample X36,13747,
B13,Sample X37,14727,
B14,Sample X38,13081,
B15,Sample X39,8649,
B16,Sample X40,5990,
B17,Sample X41,3820,
B18,Sample X42,2755,
B19,Sample X43,2493,
B20,Sample X44,2400,
B21,Sample X45,2300,
B22,Sample X46,2248,
B23,Sample X47,2298,
B24,Sample X48,2470,
C01,Sample X49,2533,
C02,Sample X50,2003,
C03,Sample X51,1687,
C04,Sample X52,1542,
C05,Sample X53,3522,
C06,Sample X54,4752,
C07,Sample X55,5403,
C08,Sample X56,5212,
C09,Sample X57,4861,
C10,Sample X58,3946,
C11,Sample X59,2780,
C12,Sample X60,2372,
C13,Sample X61,1688,
C14,Sample X62,2254,
C15,Sample X63,2288,
C16,Sample X64,2231,
C17,Sample X65,2557,
C18,Sample X66,2508,
C19,Sample X67,2383,
C20,Sample X68,2329,
C21,Sample X69,2468,
C22,Sample X70,2664,
C23,Sample X71,2331,
C24,Sample X72,2504,
D01,Sample X73,2683,
D02,Sample X74,1177,
D03,Sample X75,1485,
D04,Sample X76,1919,
D05,Sample X77,2310,
D06,Sample X78,2386,
D07,Sample X79,2516,
D08,Sample X80,2386,
D09,Sample X81,2406,
D10,Sample X82,2341,
D11,Sample X83,2398,
D12,Sample X84,2311,
D13,Sample X85,4804,
D14,Sample X86,2998,
D15,Sample X87,2578,
D16,Sample X88,2703,
D17,Sample X89,2466,
D18,Sample X90,2484,
D19,Sample X91,2352,
D20,Sample X92,2436,
D21,Sample X93,2286,
D22,Sample X94,2493,
D23,Sample X95,2493,
D24,Sample X96,2493,
E01,Sample X97,2445,
E02,Sample X98,3473,
E03,Sample X99,5580,
E04,Sample X100,8117,
E05,Sample X101,8470,
E06,Sample X102,8120,
E07,Sample X103,8512,
E08,Sample X104,8076,
E09,Sample X105,4576,
E10,Sample X106,2808,
E11,Sample X107,2457,
E12,Sample X108,2419,
E13,Sample X109,1406,
E14,Sample X110,1461,
E15,Sample X111,1567,
E16,Sample X112,1531,
E17,Sample X113,1689,
E18,Sample X114,1562,
E19,Sample X115,1785,
E20,Sample X116,1356,
E21,Sample X117,2148,
E22,Sample X118,2318,
E23,Sample X119,2523,
E24,Sample X120,2632,
F01,Sample X121,2648,
F02,Sample X122,2108,
F03,Sample X123,3792,
F04,Sample X124,6739,
F05,Sample X125,11021,
F06,Sample X126,14037,
F07,Sample X127,14488,
F08,Sample X128,14611,
F09,Sample X129,15500,
F10,Sample X130,15076,
F11,Sample X131,10504,
F12,Sample X132,2728,
F13,Sample X133,1503,
F14,Sample X134,1449,
F15,Sample X135,1234,
F16,Sample X136,1388,
F17,Sample X137,1552,
F18,Sample X138,1460,
F19,Sample X139,2041,
F20,Sample X140,2138,
F21,Sample X141,2319,
F22,Sample X142,2430,
F23,Sample X143,2232,
F24,Sample X144,2557,
G01,Sample X145,2717,
G02,Sample X146,2527,
G03,Sample X147,3015,
G04,Sample X148,4223,
G05,Sample X149,5225,
G06,Sample X150,6017,
G07,Sample X151,5603,
G08,Sample X152,5813,
G09,Sample X153,5049,
G10,Sample X154,3780,
G11,Sample X155,2497,
G12,Sample X156,2310,
G13,Sample X157,2601,
G14,Sample X158,2491,
G15,Sample X159,2404,
