Well,Content,Raw Data (No filter),
A01,Sample X1,188789,
A02,Sample X2,173946,
A03,Sample X3,177973,
A04,Sample X4,160909,
A05,Sample X5,180692,
A06,Sample X6,189835,
A07,Sample X7,182022,
A08,Sample X8,173990,
A09,Sample X9,279,
A10,Sample X10,207,
A11,Sample X11,200,
A12,Sample X12,174,
A13,Sample X13,7442,
A14,Sample X14,132548,
A15,Sample X15,169869,
A16,Sample X16,167447,
A17,Sample X17,168564,
A18,Sample X18,183910,
A19,Sample X19,183653,
A20,Sample X20,183217,
A21,Sample X21,186530,
A22,Sample X22,181769,
A23,Sample X23,165135,
A24,Sample X24,197083,
B01,Sample X25,190509,
B02,Sample X26,190360,
B03,Sample X27,176681,
B04,Sample X28,186589,
B05,Sample X29,171851,
B06,Sample X30,192131,
B07,Sample X31,174671,
B08,Sample X32,186418,
B09,Sample X33,9286,
B10,Sample X34,9697,
B11,Sample X35,9705,
B12,Sample X36,8934,
B13,Sample X37,15948,
B14,Sample X38,27748,
B15,Sample X39,54966,
B16,Sample X40,91668,
B17,Sample X41,134800,
B18,Sample X42,175530,
B19,Sample X43,173007,
B20,Sample X44,161093,
B21,Sample X45,189586,
B22,Sample X46,190325,
B23,Sample X47,188962,
B24,Sample X48,194407,
C01,Sample X49,186942,
C02,Sample X50,26920,
C03,Sample X51,86015,
C04,Sample X52,130268,
C05,Sample X53,157456,
C06,Sample X54,158974,
C07,Sample X55,177766,
C08,Sample X56,192431,
C09,Sample X57,193597,
C10,Sample X58,190608,
C11,Sample X59,169122,
C12,Sample X60,188083,
C13,Sample X61,117437,
C14,Sample X62,168254,
C15,Sample X63,199225,
C16,Sample X64,195505,
C17,Sample X65,184515,
C18,Sample X66,190401,
C19,Sample X67,181414,
C20,Sample X68,170314,
C21,Sample X69,180748,
C22,Sample X70,179883,
C23,Sample X71,165199,
C24,Sample X72,201308,
D01,Sample X73,201576,
D02,Sample X74,2352,
D03,Sample X75,8666,
D04,Sample X76,36902,
D05,Sample X77,73679,
D06,Sample X78,123843,
D07,Sample X79,159391,
D08,Sample X80,160828,
D09,Sample X81,167511,
D10,Sample X82,182335,
D11,Sample X83,174725,
D12,Sample X84,181050,
D13,Sample X85,68305,
D14,Sample X86,99235,
D15,Sample X87,118536,
D16,Sample X88,130634,
D17,Sample X89,124949,
D18,Sample X90,115487,
D19,Sample X91,97372,
D20,Sample X92,102701,
D21,Sample X93,106914,
D22,Sample X94,160889,
D23,Sample X95,171426,
D24,Sample X96,170074,
E01,Sample X97,230033,
E02,Sample X98,69602,
E03,Sample X99,81738,
E04,Sample X100,104728,
E05,Sample X101,138347,
E06,Sample X102,175418,
E07,Sample X103,156495,
E08,Sample X104,182308,
E09,Sample X105,174067,
E10,Sample X106,191024,
E11,Sample X107,195260,
E12,Sample X108,191313,
E13,Sample X109,1223,
E14,Sample X110,1102,
E15,Sample X111,1484,
E16,Sample X112,16877,
E17,Sample X113,84621,
E18,Sample X114,155552,
E19,Sample X115,186195,
E20,Sample X116,180140,
E21,Sample X117,190366,
E22,Sample X118,186916,
E23,Sample X119,185210,
E24,Sample X120,187849,
F01,Sample X121,188445,
F02,Sample X122,3342,
F03,Sample X123,8114,
F04,Sample X124,42454,
F05,Sample X125,80468,
F06,Sample X126,126151,
F07,Sample X127,170845,
F08,Sample X128,178025,
F09,Sample X129,168709,
F10,Sample X130,185783,
F11,Sample X131,176766,
F12,Sample X132,179516,
F13,Sample X133,8950,
F14,Sample X134,22000,
F15,Sample X135,40568,
F16,Sample X136,69018,
F17,Sample X137,95019,
F18,Sample X138,126868,
F19,Sample X139,169450,
F20,Sample X140,185772,
F21,Sample X141,195032,
F22,Sample X142,183547,
F23,Sample X143,184625,
F24,Sample X144,202233,
G01,Sample X145,157983,
G02,Sample X146,193625,
G03,Sample X147,186933,
G04,Sample X148,177568,
G05,Sample X149,181368,
G06,Sample X150,185112,
G07,Sample X151,185418,
G08,Sample X152,172518,
G09,Sample X153,180616,
G10,Sample X154,199312,
G11,Sample X155,176327,
G12,Sample X156,190491,
G13,Sample X157,3720,
G14,Sample X158,13528,
G15,Sample X159,36826,
G16,Sample X160,63689,
G17,Sample X161,109078,
G18,Sample X162,133341,
G19,Sample X163,156219,
G20,Sample X164,170197,
G21,Sample X165,185852,
G22,Sample X166,180389,
G23,Sample X167,189323,
G24,Sample X168,177309,
H01,Sample X169,171587,
H02,Sample X170,140955,
H03,Sample X171,121779,
H04,Sample X172,144367,
H05,Sample X173,144715,
H06,Sample X174,156720,
H07,Sample X175,142398,
H08,Sample X176,133395,
H09,Sample X177,136176,
H10,Sample X178,143589,
H11,Sample X179,146515,
H12,Sample X180,188252,
H13,Sample X181,141784,
H14,Sample X182,172776,
H15,Sample X183,178083,
H16,Sample X184,186812,
H17,Sample X185,189841,
H18,Sample X186,186987,
H19,Sample X187,165894,
H20,Sample X188,187165,
H21,Sample X189,175823,
H22,Sample X190,187300,
H23,Sample X191,184892,
H24,Sample X192,198775,
I01,Sample X193,162109,
I02,Sample X194,108817,
I03,Sample X195,117448,
I04,Sample X196,147452,
I05,Sample X197,131344,
I06,Sample X198,175277,
I07,Sample X199,178194,
I08,Sample X200,183624,
I09,Sample X201,203462,
I10,Sample X202,196733,
I11,Sample X203,188246,
I12,Sample X204,183381,
I13,Sample X205,1457,
I14,Sample X206,1345,
I15,Sample X207,6919,
I16,Sample X208,61125,
I17,Sample X209,109124,
I18,Sample X210,157095,
I19,Sample X211,181562,
I20,Sample X212,177928,
I21,Sample X213,172146,
I22,Sample X214,185166,
I23,Sample X215,200446,
I24,Sample X216,181978,
J01,Sample X217,167558,
J02,Sample X218,157167,
J03,Sample X219,163861,
J04,Sample X220,166187,
J05,Sample X221,179426,
J06,Sample X222,187134,
J07,Sample X223,168581,
J08,Sample X224,170483,
J09,Sample X225,163619,
J10,Sample X226,186359,
J11,Sample X227,191224,
J12,Sample X228,184778,
J13,Sample X229,178617,
J14,Sample X230,170705,
J15,Sample X231,188077,
J16,Sample X232,191491,
J17,Sample X233,177048,
J18,Sample X234,183440,
J19,Sample X235,188203,
J20,Sample X236,203432,
J21,Sample X237,191761,
J22,Sample X238,199728,
J23,Sample X239,196203,
J24,Sample X240,192584,
K01,Sample X241,188692,
K02,Sample X242,168218,
K03,Sample X243,164119,
K04,Sample X244,168509,
K05,Sample X245,166835,
K06,Sample X246,193731,
K07,Sample X247,170821,
K08,Sample X248,178598,
K09,Sample X249,173713,
K10,Sample X250,187476,
K11,Sample X251,188890,
K12,Sample X252,182318,
K13,Sample X253,160420,
K14,Sample X254,181939,
K15,Sample X255,175916,
K16,Sample X256,178730,
K17,Sample X257,172275,
K18,Sample X258,184007,
K19,Sample X259,196997,
K20,Sample X260,180253,
K21,Sample X261,179071,
K22,Sample X262,175628,
K23,Sample X263,180921,
K24,Sample X264,196702,
L01,Sample X265,174061,
L02,Sample X266,17399,
L03,Sample X267,31642,
L04,Sample X268,84630,
L05,Sample X269,147432,
L06,Sample X270,168676,
L07,Sample X271,179892,
L08,Sample X272,181830,
L09,Sample X273,175157,
L10,Sample X274,168060,
L11,Sample X275,164150,
L12,Sample X276,180688,
L13,Sample X277,93034,
L14,Sample X278,152472,
L15,Sample X279,173722,
L16,Sample X280,180626,
L17,Sample X281,191328,
L18,Sample X282,179961,
L19,Sample X283,188165,
L20,Sample X284,169893,
L21,Sample X285,185082,
L22,Sample X286,186140,
L23,Sample X287,202027,
L24,Sample X288,176242,
M01,Sample X289,188891,
M02,Sample X290,38958,
M03,Sample X291,69295,
M04,Sample X292,105916,
M05,Sample X293,129288,
M06,Sample X294,134075,
M07,Sample X295,157355,
M08,Sample X296,173187,
M09,Sample X297,186258,
M10,Sample X298,178314,
M11,Sample X299,189523,
M12,Sample X300,179075,
M13,Sample X301,150234,
M14,Sample X302,154290,
M15,Sample X303,167538,
M16,Sample X304,182150,
M17,Sample X305,183457,
M18,Sample X306,169106,
M19,Sample X307,177917,
M20,Sample X308,169134,
M21,Sample X309,182990,
M22,Sample X310,167020,
M23,Sample X311,176111,
M24,Sample X312,190449,
N01,Sample X313,182992,
N02,Sample X314,169292,
N03,Sample X315,190493,
N04,Sample X316,177897,
N05,Sample X317,170956,
N06,Sample X318,181215,
N07,Sample X319,181318,
N08,Sample X320,183557,
N09,Sample X321,165300,
N10,Sample X322,182527,
N11,Sample X323,195561,
N12,Sample X324,178634,
N13,Sample X325,11048,
N14,Sample X326,15933,
N15,Sample X327,21009,
N16,Sample X328,25172,
N17,Sample X329,36763,
N18,Sample X330,44116,
N19,Sample X331,88242,
N20,Sample X332,131009,
N21,Sample X333,180586,
N22,Sample X334,179714,
N23,Sample X335,193983,
N24,Sample X336,185811,
O01,Sample X337,193328,
O02,Sample X338,175601,
O03,Sample X339,193180,
O04,Sample X340,186611,
O05,Sample X341,189023,
O06,Sample X342,181456,
O07,Sample X343,168371,
O08,Sample X344,174975,
O09,Sample X345,196026,
O10,Sample X346,185626,
O11,Sample X347,176647,
O12,Sample X348,173771,
O13,Sample X349,184366,
O14,Sample X350,192113,
O15,Sample X351,182382,
O16,Sample X352,168186,
O17,Sample X353,202380,
O18,Sample X354,173357,
O19,Sample X355,170015,
O20,Sample X356,177379,
O21,Sample X357,178841,
O22,Sample X358,167408,
O23,Sample X359,198567,
O24,Sample X360,188549,
P01,Sample X361,196479,
P02,Sample X362,181075,
P03,Sample X363,201459,
P04,Sample X364,180689,
P05,Sample X365,203043,
P06,Sample X366,188627,
P07,Sample X367,191092,
P08,Sample X368,176510,
P09,Sample X369,190777,
P10,Sample X370,181653,
P11,Sample X371,188595,
P12,Sample X372,196226,
P13,Sample X373,185848,
P14,Sample X374,176518,
P15,Sample X375,182525,
P16,Sample X376,186155,
P17,Sample X377,188484,
P18,Sample X378,196845,
P19,Sample X379,175972,
P20,Sample X380,195895,
P21,Sample X381,196406,
P22,Sample X382,207741,
P23,Sample X383,191994,
P24,Sample X384,188533,
