Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,107714,
A02,Sample X2,120561,
A03,Sample X3,124919,
A04,Sample X4,126502,
A05,Sample X5,118842,
A06,Sample X6,119879,
A07,Sample X7,113609,
A08,Sample X8,120083,
A09,Sample X9,2952,
A10,Sample X10,2990,
A11,Sample X11,2987,
A12,Sample X12,3066,
A13,Sample X13,19342,
A14,Sample X14,93975,
A15,Sample X15,108698,
A16,Sample X16,112803,
A17,Sample X17,111993,
A18,Sample X18,102831,
A19,Sample X19,109732,
A20,Sample X20,107592,
A21,Sample X21,113334,
A22,Sample X22,116501,
A23,Sample X23,119078,
A24,Sample X24,121471,
B01,Sample X25,122258,
B02,Sample X26,113404,
B03,Sample X27,121297,
B04,Sample X28,123678,
B05,Sample X29,116558,
B06,Sample X30,122176,
B07,Sample X31,124832,
B08,Sample X32,113570,
B09,Sample X33,123261,
B10,Sample X34,120185,
B11,Sample X35,117744,
B12,Sample X36,115691,
B13,Sample X37,121930,
B14,Sample X38,117672,
B15,Sample X39,119047,
B16,Sample X40,121141,
B17,Sample X41,130384,
B18,Sample X42,114042,
B19,Sample X43,119326,
B20,Sample X44,104092,
B21,Sample X45,101089,
B22,Sample X46,115514,
B23,Sample X47,124020,
B24,Sample X48,112452,
C01,Sample X49,124177,
C02,Sample X50,123402,
C03,Sample X51,124650,
C04,Sample X52,119524,
C05,Sample X53,115421,
C06,Sample X54,121822,
C07,Sample X55,108634,
C08,Sample X56,108912,
C09,Sample X57,115302,
C10,Sample X58,98701,
C11,Sample X59,112651,
C12,Sample X60,117329,
C13,Sample X61,116377,
C14,Sample X62,97198,
C15,Sample X63,108100,
C16,Sample X64,99465,
C17,Sample X65,115378,
C18,Sample X66,116019,
C19,Sample X67,122688,
C20,Sample X68,107793,
C21,Sample X69,111401,
C22,Sample X70,114209,
C23,Sample X71,101690,
C24,Sample X72,124045,
D01,Sample X73,125000,
D02,Sample X74,95841,
D03,Sample X75,106168,
D04,Sample X76,109597,
D05,Sample X77,107505,
D06,Sample X78,116538,
D07,Sample X79,107923,
D08,Sample X80,113226,
D09,Sample X81,107603,
D10,Sample X82,115801,
D11,Sample X83,110486,
D12,Sample X84,100359,
D13,Sample X85,65358,
D14,Sample X86,68834,
D15,Sample X87,87952,
D16,Sample X88,104705,
D17,Sample X89,110296,
D18,Sample X90,101298,
D19,Sample X91,107795,
D20,Sample X92,99268,
D21,Sample X93,102283,
D22,Sample X94,99681,
D23,Sample X95,110452,
D24,Sample X96,96433,
E01,Sample X97,123800,
E02,Sample X98,27350,
E03,Sample X99,96647,
E04,Sample X100,120732,
E05,Sample X101,123687,
E06,Sample X102,125576,
E07,Sample X103,118321,
E08,Sample X104,103871,
E09,Sample X105,108527,
E10,Sample X106,97166,
E11,Sample X107,106468,
E12,Sample X108,99405,
E13,Sample X109,3379,
E14,Sample X110,3376,
E15,Sample X111,3600,
E16,Sample X112,73282,
E17,Sample X113,85433,
E18,Sample X114,98240,
E19,Sample X115,102210,
E20,Sample X116,100010,
E21,Sample X117,100631,
E22,Sample X118,110426,
E23,Sample X119,120618,
E24,Sample X120,113813,
F01,Sample X121,123923,
F02,Sample X122,122388,
F03,Sample X123,111279,
F04,Sample X124,106209,
F05,Sample X125,101771,
F06,Sample X126,105046,
F07,Sample X127,105140,
F08,Sample X128,87737,
F09,Sample X129,106980,
F10,Sample X130,94274,
F11,Sample X131,91177,
F12,Sample X132,91402,
F13,Sample X133,105626,
F14,Sample X134,90393,
F15,Sample X135,93034,
F16,Sample X136,93586,
F17,Sample X137,89550,
F18,Sample X138,92871,
F19,Sample X139,92647,
F20,Sample X140,93610,
F21,Sample X141,99517,
F22,Sample X142,98710,
F23,Sample X143,109431,
F24,Sample X144,110273,
G01,Sample X145,122544,
G02,Sample X146,3230,
G03,Sample X147,3536,
G04,Sample X148,118755,
G05,Sample X149,112383,
G06,Sample X150,104545,
G07,Sample X151,108355,
G08,Sample X152,103652,
G09,Sample X153,94221,
G10,Sample X154,103756,
G11,Sample X155,95120,
G12,Sample X156,82032,
G13,Sample X157,103106,
G14,Sample X158,95450,
G15,Sample X159,86410,
G16,Sample X160,97925,
G17,Sample X161,85337,
G18,Sample X162,89729,
G19,Sample X163,89407,
G20,Sample X164,94915,
G21,Sample X165,100465,
G22,Sample X166,110405,
G23,Sample X167,97023,
G24,Sample X168,109305,
H01,Sample X169,126417,
H02,Sample X170,102770,
H03,Sample X171,122500,
H04,Sample X172,116469,
H05,Sample X173,111387,
H06,Sample X174,113513,
H07,Sample X175,99605,
H08,Sample X176,106035,
H09,Sample X177,93729,
H10,Sample X178,93368,
H11,Sample X179,88767,
H12,Sample X180,91415,
H13,Sample X181,63485,
H14,Sample X182,67822,
H15,Sample X183,79564,
H16,Sample X184,77669,
H17,Sample X185,84156,
H18,Sample X186,84437,
H19,Sample X187,91416,
H20,Sample X188,94223,
H21,Sample X189,97266,
H22,Sample X190,98216,
H23,Sample X191,110020,
H24,Sample X192,125149,
I01,Sample X193,130279,
I02,Sample X194,120038,
I03,Sample X195,123115,
I04,Sample X196,118439,
I05,Sample X197,109169,
I06,Sample X198,113785,
I07,Sample X199,102021,
I08,Sample X200,101565,
I09,Sample X201,88050,
I10,Sample X202,82034,
I11,Sample X203,84205,
I12,Sample X204,91371,
I13,Sample X205,86513,
I14,Sample X206,87048,
I15,Sample X207,81088,
I16,Sample X208,82440,
I17,Sample X209,80424,
I18,Sample X210,85820,
I19,Sample X211,85681,
I20,Sample X212,88028,
I21,Sample X213,99268,
I22,Sample X214,101755,
I23,Sample X215,119198,
I24,Sample X216,123174,
J01,Sample X217,124560,
J02,Sample X218,115226,
J03,Sample X219,111066,
J04,Sample X220,123642,
J05,Sample X221,102226,
J06,Sample X222,116405,
J07,Sample X223,96580,
J08,Sample X224,90492,
J09,Sample X225,93091,
J10,Sample X226,102798,
J11,Sample X227,88375,
J12,Sample X228,85149,
J13,Sample X229,86326,
J14,Sample X230,85269,
J15,Sample X231,86935,
J16,Sample X232,88957,
J17,Sample X233,86756,
J18,Sample X234,84504,
J19,Sample X235,87874,
J20,Sample X236,93201,
J21,Sample X237,99564,
J22,Sample X238,101547,
J23,Sample X239,98701,
J24,Sample X240,124405,
K01,Sample X241,126644,
K02,Sample X242,101934,
K03,Sample X243,111360,
K04,Sample X244,108782,
K05,Sample X245,96105,
K06,Sample X246,103046,
K07,Sample X247,103969,
K08,Sample X248,106105,
K09,Sample X249,87530,
K10,Sample X250,105265,
K11,Sample X251,88647,
K12,Sample X252,86652,
K13,Sample X253,3422,
K14,Sample X254,18347,
K15,Sample X255,60970,
K16,Sample X256,78553,
K17,Sample X257,85192,
K18,Sample X258,83941,
K19,Sample X259,89269,
K20,Sample X260,95297,
K21,Sample X261,104206,
K22,Sample X262,100962,
K23,Sample X263,121838,
K24,Sample X264,121595,
L01,Sample X265,111958,
L02,Sample X266,110079,
L03,Sample X267,111282,
L04,Sample X268,109157,
L05,Sample X269,116100,
L06,Sample X270,108786,
L07,Sample X271,102632,
L08,Sample X272,96068,
L09,Sample X273,102089,
L10,Sample X274,106163,
L11,Sample X275,91505,
L12,Sample X276,93494,
L13,Sample X277,93584,
L14,Sample X278,90993,
L15,Sample X279,86520,
L16,Sample X280,86329,
L17,Sample X281,89397,
L18,Sample X282,86603,
L19,Sample X283,88921,
L20,Sample X284,91424,
L21,Sample X285,97224,
L22,Sample X286,99502,
L23,Sample X287,106669,
L24,Sample X288,125052,
M01,Sample X289,123818,
M02,Sample X290,97115,
M03,Sample X291,102346,
M04,Sample X292,107553,
M05,Sample X293,98343,
M06,Sample X294,112536,
M07,Sample X295,115793,
M08,Sample X296,103295,
M09,Sample X297,108782,
M10,Sample X298,101047,
M11,Sample X299,104275,
M12,Sample X300,99543,
M13,Sample X301,3334,
M14,Sample X302,87782,
M15,Sample X303,94988,
M16,Sample X304,99163,
M17,Sample X305,98123,
M18,Sample X306,98482,
M19,Sample X307,96731,
M20,Sample X308,93820,
M21,Sample X309,97424,
M22,Sample X310,101710,
M23,Sample X311,96960,
M24,Sample X312,115244,
N01,Sample X313,123638,
