Well,Content,Raw Data (No filter),
A01,Sample X1,3328,
A02,Sample X2,3313,
A03,Sample X3,3343,
A04,Sample X4,3151,
A05,Sample X5,3304,
A06,Sample X6,3361,
A07,Sample X7,3384,
A08,Sample X8,3139,
A09,Sample X9,297,
A10,Sample X10,277,
A11,Sample X11,305,
A12,Sample X12,274,
A13,Sample X13,995,
A14,Sample X14,2696,
A15,Sample X15,3097,
A16,Sample X16,3153,
A17,Sample X17,2965,
A18,Sample X18,3026,
A19,Sample X19,3234,
A20,Sample X20,2907,
A21,Sample X21,3116,
A22,Sample X22,3074,
A23,Sample X23,3183,
A24,Sample X24,3300,
B01,Sample X25,3390,
B02,Sample X26,3255,
B03,Sample X27,3112,
B04,Sample X28,2952,
B05,Sample X29,3320,
B06,Sample X30,2943,
B07,Sample X31,3320,
B08,Sample X32,3247,
B09,Sample X33,221683,
B10,Sample X34,229529,
B11,Sample X35,240863,
B12,Sample X36,229261,
B13,Sample X37,218775,
B14,Sample X38,176207,
B15,Sample X39,120922,
B16,Sample X40,80129,
B17,Sample X41,30001,
B18,Sample X42,6853,
B19,Sample X43,3966,
B20,Sample X44,3322,
B21,Sample X45,3158,
B22,Sample X46,2873,
B23,Sample X47,2981,
B24,Sample X48,3290,
C01,Sample X49,3403,
C02,Sample X50,1491,
C03,Sample X51,2179,
C04,Sample X52,2794,
C05,Sample X53,3043,
C06,Sample X54,3027,
C07,Sample X55,3185,
C08,Sample X56,3055,
C09,Sample X57,3201,
C10,Sample X58,3573,
C11,Sample X59,3527,
C12,Sample X60,3488,
C13,Sample X61,2928,
C14,Sample X62,3028,
C15,Sample X63,3593,
C16,Sample X64,3156,
C17,Sample X65,3564,
C18,Sample X66,3365,
C19,Sample X67,3265,
C20,Sample X68,3219,
C21,Sample X69,3188,
C22,Sample X70,2973,
C23,Sample X71,3043,
C24,Sample X72,3274,
D01,Sample X73,3499,
D02,Sample X74,1862,
D03,Sample X75,1709,
D04,Sample X76,1962,
D05,Sample X77,2703,
D06,Sample X78,3658,
D07,Sample X79,4560,
D08,Sample X80,5460,
D09,Sample X81,4681,
D10,Sample X82,3834,
D11,Sample X83,3159,
D12,Sample X84,3377,
D13,Sample X85,88196,
D14,Sample X86,104598,
D15,Sample X87,136921,
D16,Sample X88,154539,
D17,Sample X89,123492,
D18,Sample X90,117296,
D19,Sample X91,105622,
D20,Sample X92,77042,
D21,Sample X93,63563,
D22,Sample X94,41817,
D23,Sample X95,5643,
D24,Sample X96,3177,
E01,Sample X97,3206,
E02,Sample X98,1884,
E03,Sample X99,2059,
E04,Sample X100,2487,
E05,Sample X101,2786,
E06,Sample X102,3003,
E07,Sample X103,3080,
E08,Sample X104,2926,
E09,Sample X105,3225,
E10,Sample X106,3174,
E11,Sample X107,3083,
E12,Sample X108,3177,
E13,Sample X109,912,
E14,Sample X110,1012,
E15,Sample X111,1260,
E16,Sample X112,1632,
E17,Sample X113,2179,
E18,Sample X114,2910,
E19,Sample X115,2910,
E20,Sample X116,3200,
E21,Sample X117,3006,
E22,Sample X118,2951,
E23,Sample X119,3029,
E24,Sample X120,3185,
F01,Sample X121,3338,
F02,Sample X122,1915,
F03,Sample X123,1497,
F04,Sample X124,2560,
F05,Sample X125,3279,
F06,Sample X126,3467,
F07,Sample X127,3323,
F08,Sample X128,2987,
F09,Sample X129,2974,
F10,Sample X130,3005,
F11,Sample X131,3084,
F12,Sample X132,3817,
F13,Sample X133,2014,
F14,Sample X134,6375,
F15,Sample X135,11541,
F16,Sample X136,11846,
F17,Sample X137,9601,
F18,Sample X138,6949,
F19,Sample X139,4858,
F20,Sample X140,3410,
F21,Sample X141,3055,
F22,Sample X142,2978,
F23,Sample X143,3281,
F24,Sample X144,3333,
G01,Sample X145,3292,
G02,Sample X146,3449,
G03,Sample X147,3488,
G04,Sample X148,3203,
G05,Sample X149,3327,
G06,Sample X150,3242,
G07,Sample X151,3347,
G08,Sample X152,3219,
G09,Sample X153,3156,
G10,Sample X154,3339,
G11,Sample X155,3226,
G12,Sample X156,2942,
G13,Sample X157,1503,
G14,Sample X158,1598,
G15,Sample X159,2326,
G16,Sample X160,3377,
G17,Sample X161,2859,
G18,Sample X162,3083,
G19,Sample X163,3088,
G20,Sample X164,2882,
G21,Sample X165,2868,
G22,Sample X166,3131,
G23,Sample X167,2889,
G24,Sample X168,3199,
H01,Sample X169,3417,
H02,Sample X170,144139,
H03,Sample X171,163029,
H04,Sample X172,161661,
H05,Sample X173,165658,
H06,Sample X174,177483,
H07,Sample X175,161605,
H08,Sample X176,157599,
H09,Sample X177,139490,
H10,Sample X178,124012,
H11,Sample X179,107761,
H12,Sample X180,12585,
H13,Sample X181,2947,
H14,Sample X182,2917,
H15,Sample X183,3016,
H16,Sample X184,2989,
H17,Sample X185,2996,
H18,Sample X186,2923,
H19,Sample X187,3007,
H20,Sample X188,2972,
H21,Sample X189,2924,
H22,Sample X190,3127,
H23,Sample X191,2934,
H24,Sample X192,3170,
I01,Sample X193,3413,
I02,Sample X194,3991,
I03,Sample X195,3622,
I04,Sample X196,3328,
I05,Sample X197,3310,
I06,Sample X198,3508,
I07,Sample X199,3442,
I08,Sample X200,3369,
I09,Sample X201,3251,
I10,Sample X202,3112,
I11,Sample X203,3002,
I12,Sample X204,2989,
I13,Sample X205,750,
I14,Sample X206,822,
I15,Sample X207,920,
I16,Sample X208,1242,
I17,Sample X209,1942,
I18,Sample X210,2282,
I19,Sample X211,2887,
I20,Sample X212,3023,
I21,Sample X213,3241,
I22,Sample X214,3181,
I23,Sample X215,3113,
I24,Sample X216,3306,
J01,Sample X217,3245,
J02,Sample X218,3241,
J03,Sample X219,2992,
J04,Sample X220,3143,
J05,Sample X221,3275,
J06,Sample X222,3014,
J07,Sample X223,3133,
J08,Sample X224,2846,
J09,Sample X225,3029,
J10,Sample X226,2934,
J11,Sample X227,3315,
J12,Sample X228,2903,
J13,Sample X229,2940,
J14,Sample X230,3201,
J15,Sample X231,3057,
J16,Sample X232,2929,
J17,Sample X233,3141,
J18,Sample X234,2943,
J19,Sample X235,3129,
J20,Sample X236,3162,
J21,Sample X237,3139,
J22,Sample X238,3217,
J23,Sample X239,3120,
J24,Sample X240,3356,
K01,Sample X241,3043,
K02,Sample X242,3573,
K03,Sample X243,3172,
K04,Sample X244,3301,
K05,Sample X245,3155,
K06,Sample X246,2841,
K07,Sample X247,3099,
K08,Sample X248,3016,
K09,Sample X249,2954,
K10,Sample X250,3021,
K11,Sample X251,3049,
K12,Sample X252,3138,
K13,Sample X253,2797,
K14,Sample X254,2960,
K15,Sample X255,2910,
K16,Sample X256,2841,
K17,Sample X257,2950,
K18,Sample X258,2890,
K19,Sample X259,2872,
K20,Sample X260,3273,
K21,Sample X261,3295,
K22,Sample X262,2914,
K23,Sample X263,3031,
K24,Sample X264,3231,
L01,Sample X265,3082,
L02,Sample X266,475,
L03,Sample X267,524,
L04,Sample X268,1135,
L05,Sample X269,2253,
L06,Sample X270,2587,
L07,Sample X271,2866,
L08,Sample X272,3030,
L09,Sample X273,3051,
L10,Sample X274,3185,
L11,Sample X275,2934,
L12,Sample X276,2982,
L13,Sample X277,2904,
L14,Sample X278,3194,
L15,Sample X279,3189,
L16,Sample X280,3255,
L17,Sample X281,3072,
L18,Sample X282,2856,
L19,Sample X283,2921,
L20,Sample X284,3093,
L21,Sample X285,2975,
L22,Sample X286,3041,
L23,Sample X287,3023,
L24,Sample X288,3331,
M01,Sample X289,3044,
M02,Sample X290,2056,
M03,Sample X291,2484,
M04,Sample X292,2390,
M05,Sample X293,2626,
M06,Sample X294,2880,
M07,Sample X295,2763,
M08,Sample X296,2782,
M09,Sample X297,2924,
M10,Sample X298,2923,
M11,Sample X299,3425,
M12,Sample X300,3049,
M13,Sample X301,3262,
M14,Sample X302,3084,
M15,Sample X303,3230,
M16,Sample X304,3121,
M17,Sample X305,3005,
M18,Sample X306,2890,
M19,Sample X307,3022,
M20,Sample X308,2834,
M21,Sample X309,2954,
M22,Sample X310,2918,
M23,Sample X311,3018,
M24,Sample X312,3302,
N01,Sample X313,3283,
N02,Sample X314,2993,
N03,Sample X315,3062,
N04,Sample X316,3010,
N05,Sample X317,3191,
N06,Sample X318,2759,
N07,Sample X319,2826,
N08,Sample X320,2694,
N09,Sample X321,2855,
N10,Sample X322,2823,
N11,Sample X323,3019,
N12,Sample X324,3128,
N13,Sample X325,11986,
N14,Sample X326,14339,
N15,Sample X327,13737,
N16,Sample X328,11338,
N17,Sample X329,7553,
N18,Sample X330,5879,
N19,Sample X331,3630,
N20,Sample X332,2773,
N21,Sample X333,2657,
N22,Sample X334,2752,
N23,Sample X335,2838,
N24,Sample X336,3522,
O01,Sample X337,3287,
O02,Sample X338,2930,
O03,Sample X339,3097,
O04,Sample X340,3022,
O05,Sample X341,2960,
O06,Sample X342,3128,
O07,Sample X343,3147,
O08,Sample X344,2992,
O09,Sample X345,2891,
O10,Sample X346,3129,
O11,Sample X347,3040,
O12,Sample X348,3189,
O13,Sample X349,2964,
