Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,155847,
A,2,Sample X2,157873,
A,3,Sample X3,158984,
A,4,Sample X4,156161,
A,5,Sample X5,157665,
A,6,Sample X6,160238,
A,7,Sample X7,152032,
A,8,Sample X8,155000,
A,9,Sample X9,2635,
A,10,Sample X10,2601,
A,11,Sample X11,2615,
A,12,Sample X12,2578,
A,13,Sample X13,8012,
A,14,Sample X14,16863,
A,15,Sample X15,48033,
A,16,Sample X16,87085,
A,17,Sample X17,143399,
A,18,Sample X18,147850,
A,19,Sample X19,157594,
A,20,Sample X20,158445,
A,21,Sample X21,159309,
A,22,Sample X22,160584,
A,23,Sample X23,154117,
A,24,Sample X24,154188,
B,1,Sample X25,161012,
B,2,Sample X26,159059,
B,3,Sample X27,161372,
B,4,Sample X28,153562,
B,5,Sample X29,161624,
B,6,Sample X30,157938,
B,7,Sample X31,152701,
B,8,Sample X32,153902,
B,9,Sample X33,153256,
B,10,Sample X34,152475,
B,11,Sample X35,151859,
B,12,Sample X36,147664,
B,13,Sample X37,147047,
B,14,Sample X38,149230,
B,15,Sample X39,149543,
B,16,Sample X40,152971,
B,17,Sample X41,154947,
B,18,Sample X42,149527,
B,19,Sample X43,144348,
B,20,Sample X44,156315,
B,21,Sample X45,161715,
B,22,Sample X46,163031,
B,23,Sample X47,155678,
B,24,Sample X48,158080,
C,1,Sample X49,161893,
C,2,Sample X50,165393,
C,3,Sample X51,165549,
C,4,Sample X52,162209,
C,5,Sample X53,162577,
C,6,Sample X54,162620,
C,7,Sample X55,155974,
C,8,Sample X56,149241,
C,9,Sample X57,155817,
C,10,Sample X58,149114,
C,11,Sample X59,151808,
C,12,Sample X60,153074,
C,13,Sample X61,149081,
C,14,Sample X62,149662,
C,15,Sample X63,148730,
C,16,Sample X64,146615,
C,17,Sample X65,151458,
C,18,Sample X66,151197,
C,19,Sample X67,149505,
C,20,Sample X68,155953,
C,21,Sample X69,155795,
C,22,Sample X70,159474,
C,23,Sample X71,157940,
C,24,Sample X72,160123,
D,1,Sample X73,165266,
D,2,Sample X74,162928,
D,3,Sample X75,160125,
D,4,Sample X76,158365,
D,5,Sample X77,156513,
D,6,Sample X78,157848,
D,7,Sample X79,155107,
D,8,Sample X80,158968,
D,9,Sample X81,151166,
D,10,Sample X82,151132,
D,11,Sample X83,145863,
D,12,Sample X84,151306,
D,13,Sample X85,149467,
D,14,Sample X86,139953,
D,15,Sample X87,148508,
D,16,Sample X88,133638,
D,17,Sample X89,145663,
D,18,Sample X90,155182,
D,19,Sample X91,154372,
D,20,Sample X92,158393,
D,21,Sample X93,150688,
D,22,Sample X94,154856,
D,23,Sample X95,160464,
D,24,Sample X96,159992,
E,1,Sample X97,165556,
E,2,Sample X98,157689,
E,3,Sample X99,153373,
E,4,Sample X100,154820,
E,5,Sample X101,160472,
E,6,Sample X102,159110,
E,7,Sample X103,158737,
E,8,Sample X104,157339,
E,9,Sample X105,159000,
E,10,Sample X106,146170,
E,11,Sample X107,129965,
E,12,Sample X108,146583,
E,13,Sample X109,148006,
E,14,Sample X110,149094,
E,15,Sample X111,134457,
E,16,Sample X112,145843,
E,17,Sample X113,133850,
E,18,Sample X114,152131,
E,19,Sample X115,155989,
E,20,Sample X116,160064,
E,21,Sample X117,157099,
E,22,Sample X118,157610,
E,23,Sample X119,160953,
E,24,Sample X120,160553,
F,1,Sample X121,165805,
F,2,Sample X122,129398,
F,3,Sample X123,149908,
F,4,Sample X124,157304,
F,5,Sample X125,165592,
F,6,Sample X126,154882,
F,7,Sample X127,159710,
F,8,Sample X128,155087,
F,9,Sample X129,116226,
F,10,Sample X130,147764,
F,11,Sample X131,149577,
F,12,Sample X132,150676,
F,13,Sample X133,105906,
F,14,Sample X134,133444,
F,15,Sample X135,140158,
F,16,Sample X136,148205,
F,17,Sample X137,148717,
F,18,Sample X138,128811,
F,19,Sample X139,149731,
F,20,Sample X140,153303,
