Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,143143,
A,2,Sample X2,144375,
A,3,Sample X3,145513,
A,4,Sample X4,140847,
A,5,Sample X5,140121,
A,6,Sample X6,150371,
A,7,Sample X7,146395,
A,8,Sample X8,126032,
A,9,Sample X9,2263,
A,10,Sample X10,2325,
A,11,Sample X11,2334,
A,12,Sample X12,2388,
A,13,Sample X13,4141,
A,14,Sample X14,4742,
A,15,Sample X15,46915,
A,16,Sample X16,101555,
A,17,Sample X17,131155,
A,18,Sample X18,140859,
A,19,Sample X19,144327,
A,20,Sample X20,148805,
A,21,Sample X21,147909,
A,22,Sample X22,157549,
A,23,Sample X23,155105,
A,24,Sample X24,152369,
B,1,Sample X25,155415,
B,2,Sample X26,146610,
B,3,Sample X27,138445,
B,4,Sample X28,147189,
B,5,Sample X29,141534,
B,6,Sample X30,140017,
B,7,Sample X31,149376,
B,8,Sample X32,137399,
B,9,Sample X33,142573,
B,10,Sample X34,137117,
B,11,Sample X35,140086,
B,12,Sample X36,136192,
B,13,Sample X37,140214,
B,14,Sample X38,138333,
B,15,Sample X39,132863,
B,16,Sample X40,137637,
B,17,Sample X41,135660,
B,18,Sample X42,133051,
B,19,Sample X43,146141,
B,20,Sample X44,149061,
B,21,Sample X45,150573,
B,22,Sample X46,151065,
B,23,Sample X47,149494,
B,24,Sample X48,157696,
C,1,Sample X49,152773,
C,2,Sample X50,2691,
C,3,Sample X51,2850,
C,4,Sample X52,87414,
C,5,Sample X53,138818,
C,6,Sample X54,145629,
C,7,Sample X55,142618,
C,8,Sample X56,135663,
C,9,Sample X57,122800,
C,10,Sample X58,128277,
C,11,Sample X59,136741,
C,12,Sample X60,130817,
C,13,Sample X61,91899,
C,14,Sample X62,136183,
C,15,Sample X63,128381,
C,16,Sample X64,121519,
C,17,Sample X65,147324,
C,18,Sample X66,136857,
C,19,Sample X67,143694,
C,20,Sample X68,144809,
C,21,Sample X69,146186,
C,22,Sample X70,156761,
C,23,Sample X71,152350,
C,24,Sample X72,154305,
D,1,Sample X73,153041,
D,2,Sample X74,2546,
D,3,Sample X75,8968,
D,4,Sample X76,82757,
D,5,Sample X77,132287,
D,6,Sample X78,107391,
D,7,Sample X79,128072,
D,8,Sample X80,121385,
D,9,Sample X81,118238,
D,10,Sample X82,122549,
D,11,Sample X83,134577,
D,12,Sample X84,128019,
D,13,Sample X85,114183,
D,14,Sample X86,119096,
D,15,Sample X87,124599,
D,16,Sample X88,124284,
D,17,Sample X89,145168,
D,18,Sample X90,139229,
D,19,Sample X91,149894,
D,20,Sample X92,149613,
D,21,Sample X93,150515,
D,22,Sample X94,154347,
D,23,Sample X95,155652,
D,24,Sample X96,153434,
E,1,Sample X97,147071,
E,2,Sample X98,108661,
E,3,Sample X99,138807,
E,4,Sample X100,145466,
E,5,Sample X101,144542,
E,6,Sample X102,142376,
E,7,Sample X103,126456,
E,8,Sample X104,134734,
E,9,Sample X105,126651,
E,10,Sample X106,106232,
E,11,Sample X107,131400,
E,12,Sample X108,58647,
E,13,Sample X109,2760,
E,14,Sample X110,2783,
E,15,Sample X111,2810,
E,16,Sample X112,2830,
E,17,Sample X113,2813,
E,18,Sample X114,2827,
E,19,Sample X115,2885,
E,20,Sample X116,61321,
E,21,Sample X117,144705,
E,22,Sample X118,145282,
E,23,Sample X119,148132,
E,24,Sample X120,156439,
F,1,Sample X121,149152,
F,2,Sample X122,81071,
F,3,Sample X123,116549,
F,4,Sample X124,134535,
F,5,Sample X125,137876,
F,6,Sample X126,133343,
F,7,Sample X127,127290,
F,8,Sample X128,119734,
F,9,Sample X129,129373,
F,10,Sample X130,118615,
F,11,Sample X131,123465,
F,12,Sample X132,132988,
F,13,Sample X133,26174,
F,14,Sample X134,24712,
F,15,Sample X135,61019,
F,16,Sample X136,95872,
F,17,Sample X137,133040,
F,18,Sample X138,94366,
F,19,Sample X139,127756,
F,20,Sample X140,147875,
