Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,150197,
A,2,Sample X2,148082,
A,3,Sample X3,146544,
A,4,Sample X4,148788,
A,5,Sample X5,148632,
A,6,Sample X6,146822,
A,7,Sample X7,149745,
A,8,Sample X8,146484,
A,9,Sample X9,1996,
A,10,Sample X10,1984,
A,11,Sample X11,1912,
A,12,Sample X12,1984,
A,13,Sample X13,25239,
A,14,Sample X14,12582,
A,15,Sample X15,83423,
A,16,Sample X16,112943,
A,17,Sample X17,129923,
A,18,Sample X18,132530,
A,19,Sample X19,138392,
A,20,Sample X20,133756,
A,21,Sample X21,138258,
A,22,Sample X22,146406,
A,23,Sample X23,143359,
A,24,Sample X24,140894,
B,1,Sample X25,150342,
B,2,Sample X26,150779,
B,3,Sample X27,148476,
B,4,Sample X28,146068,
B,5,Sample X29,148501,
B,6,Sample X30,147128,
B,7,Sample X31,142587,
B,8,Sample X32,148755,
B,9,Sample X33,140271,
B,10,Sample X34,140042,
B,11,Sample X35,136417,
B,12,Sample X36,140634,
B,13,Sample X37,135298,
B,14,Sample X38,132286,
B,15,Sample X39,135089,
B,16,Sample X40,136856,
B,17,Sample X41,139955,
B,18,Sample X42,129168,
B,19,Sample X43,138416,
B,20,Sample X44,140017,
B,21,Sample X45,139542,
B,22,Sample X46,138327,
B,23,Sample X47,138140,
B,24,Sample X48,139394,
C,1,Sample X49,149657,
C,2,Sample X50,136420,
C,3,Sample X51,147752,
C,4,Sample X52,149510,
C,5,Sample X53,150322,
C,6,Sample X54,151794,
C,7,Sample X55,148767,
C,8,Sample X56,146279,
C,9,Sample X57,141713,
C,10,Sample X58,146004,
C,11,Sample X59,144815,
C,12,Sample X60,142001,
C,13,Sample X61,136367,
C,14,Sample X62,139881,
C,15,Sample X63,142464,
C,16,Sample X64,144571,
C,17,Sample X65,142369,
C,18,Sample X66,144877,
C,19,Sample X67,146039,
C,20,Sample X68,143782,
C,21,Sample X69,142241,
C,22,Sample X70,144200,
C,23,Sample X71,142737,
C,24,Sample X72,140934,
D,1,Sample X73,143562,
D,2,Sample X74,14356,
D,3,Sample X75,118560,
D,4,Sample X76,132296,
D,5,Sample X77,138630,
D,6,Sample X78,137069,
D,7,Sample X79,135949,
D,8,Sample X80,137478,
D,9,Sample X81,137038,
D,10,Sample X82,136552,
D,11,Sample X83,137359,
D,12,Sample X84,135612,
D,13,Sample X85,130139,
D,14,Sample X86,133034,
D,15,Sample X87,132804,
D,16,Sample X88,131254,
D,17,Sample X89,134290,
D,18,Sample X90,128973,
D,19,Sample X91,133038,
D,20,Sample X92,133857,
D,21,Sample X93,131987,
D,22,Sample X94,135279,
D,23,Sample X95,141486,
D,24,Sample X96,139586,
E,1,Sample X97,151481,
E,2,Sample X98,146669,
E,3,Sample X99,148335,
E,4,Sample X100,142352,
E,5,Sample X101,139531,
E,6,Sample X102,138322,
E,7,Sample X103,135009,
E,8,Sample X104,131791,
E,9,Sample X105,134847,
E,10,Sample X106,130807,
E,11,Sample X107,133609,
E,12,Sample X108,131390,
E,13,Sample X109,2648,
E,14,Sample X110,2650,
E,15,Sample X111,2696,
E,16,Sample X112,22184,
E,17,Sample X113,131956,
E,18,Sample X114,130390,
E,19,Sample X115,132587,
E,20,Sample X116,134325,
E,21,Sample X117,135935,
E,22,Sample X118,136685,
E,23,Sample X119,142389,
E,24,Sample X120,139596,
F,1,Sample X121,148250,
F,2,Sample X122,37982,
F,3,Sample X123,100693,
