Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,148466,
A,2,Sample X2,148082,
A,3,Sample X3,150057,
A,4,Sample X4,152943,
A,5,Sample X5,154167,
A,6,Sample X6,147837,
A,7,Sample X7,150307,
A,8,Sample X8,149064,
A,9,Sample X9,2058,
A,10,Sample X10,2044,
A,11,Sample X11,2026,
A,12,Sample X12,2049,
A,13,Sample X13,2374,
A,14,Sample X14,30105,
A,15,Sample X15,53577,
A,16,Sample X16,111338,
A,17,Sample X17,128286,
A,18,Sample X18,134660,
A,19,Sample X19,141028,
A,20,Sample X20,141605,
A,21,Sample X21,144667,
A,22,Sample X22,145819,
A,23,Sample X23,143662,
A,24,Sample X24,140738,
B,1,Sample X25,144019,
B,2,Sample X26,145901,
B,3,Sample X27,153680,
B,4,Sample X28,145795,
B,5,Sample X29,149129,
B,6,Sample X30,149147,
B,7,Sample X31,142963,
B,8,Sample X32,144250,
B,9,Sample X33,139903,
B,10,Sample X34,140821,
B,11,Sample X35,142137,
B,12,Sample X36,143453,
B,13,Sample X37,141675,
B,14,Sample X38,144201,
B,15,Sample X39,144335,
B,16,Sample X40,143391,
B,17,Sample X41,147886,
B,18,Sample X42,139674,
B,19,Sample X43,147455,
B,20,Sample X44,143122,
B,21,Sample X45,145754,
B,22,Sample X46,142324,
B,23,Sample X47,142294,
B,24,Sample X48,140013,
C,1,Sample X49,150327,
C,2,Sample X50,132611,
C,3,Sample X51,140470,
C,4,Sample X52,151077,
C,5,Sample X53,146338,
C,6,Sample X54,148807,
C,7,Sample X55,148408,
C,8,Sample X56,148552,
C,9,Sample X57,141497,
C,10,Sample X58,145946,
C,11,Sample X59,145142,
C,12,Sample X60,147068,
C,13,Sample X61,135736,
C,14,Sample X62,140076,
C,15,Sample X63,142705,
C,16,Sample X64,144871,
C,17,Sample X65,148591,
C,18,Sample X66,146777,
C,19,Sample X67,145716,
C,20,Sample X68,142958,
C,21,Sample X69,142016,
C,22,Sample X70,142700,
C,23,Sample X71,147988,
C,24,Sample X72,133946,
D,1,Sample X73,144991,
D,2,Sample X74,11337,
D,3,Sample X75,113594,
D,4,Sample X76,138391,
D,5,Sample X77,141516,
D,6,Sample X78,146134,
D,7,Sample X79,142346,
D,8,Sample X80,143060,
D,9,Sample X81,147153,
D,10,Sample X82,148835,
D,11,Sample X83,147444,
D,12,Sample X84,148334,
D,13,Sample X85,132534,
D,14,Sample X86,143194,
D,15,Sample X87,138537,
D,16,Sample X88,143503,
D,17,Sample X89,142696,
D,18,Sample X90,144921,
D,19,Sample X91,138427,
D,20,Sample X92,146602,
D,21,Sample X93,143026,
D,22,Sample X94,141199,
D,23,Sample X95,143872,
D,24,Sample X96,139692,
E,1,Sample X97,145167,
E,2,Sample X98,139208,
E,3,Sample X99,141800,
E,4,Sample X100,148329,
E,5,Sample X101,145538,
E,6,Sample X102,151497,
E,7,Sample X103,146250,
E,8,Sample X104,149961,
E,9,Sample X105,145491,
E,10,Sample X106,150906,
E,11,Sample X107,146270,
E,12,Sample X108,149836,
E,13,Sample X109,2763,
E,14,Sample X110,2751,
E,15,Sample X111,2893,
E,16,Sample X112,60820,
E,17,Sample X113,128738,
E,18,Sample X114,138434,
E,19,Sample X115,150250,
E,20,Sample X116,144622,
E,21,Sample X117,145725,
E,22,Sample X118,146152,
E,23,Sample X119,143264,
E,24,Sample X120,135081,
F,1,Sample X121,146890,
F,2,Sample X122,8257,
F,3,Sample X123,74032,
F,4,Sample X124,141671,
F,5,Sample X125,143832,
F,6,Sample X126,145245,
F,7,Sample X127,148457,
F,8,Sample X128,140171,
F,9,Sample X129,143427,
F,10,Sample X130,148348,
F,11,Sample X131,143621,
F,12,Sample X132,146501,
F,13,Sample X133,77654,
F,14,Sample X134,125450,
F,15,Sample X135,135753,
F,16,Sample X136,144423,
F,17,Sample X137,139029,
F,18,Sample X138,137850,
F,19,Sample X139,139195,
F,20,Sample X140,139506,
F,21,Sample X141,142618,
F,22,Sample X142,143818,
F,23,Sample X143,145534,
F,24,Sample X144,137572,
G,1,Sample X145,143313,
G,2,Sample X146,139371,
G,3,Sample X147,143131,
G,4,Sample X148,150210,
G,5,Sample X149,141630,
G,6,Sample X150,141251,
G,7,Sample X151,142298,
G,8,Sample X152,139251,
G,9,Sample X153,137594,
G,10,Sample X154,141461,
G,11,Sample X155,139011,
G,12,Sample X156,133129,
G,13,Sample X157,41746,
G,14,Sample X158,105225,
G,15,Sample X159,128324,
G,16,Sample X160,135221,
G,17,Sample X161,138356,
G,18,Sample X162,137337,
G,19,Sample X163,136388,
G,20,Sample X164,142096,
G,21,Sample X165,143016,
G,22,Sample X166,144253,
G,23,Sample X167,142318,
G,24,Sample X168,136155,
H,1,Sample X169,148367,
H,2,Sample X170,135985,
H,3,Sample X171,132973,
H,4,Sample X172,138905,
H,5,Sample X173,141754,
H,6,Sample X174,133576,
H,7,Sample X175,135985,
H,8,Sample X176,131644,
H,9,Sample X177,130059,
H,10,Sample X178,135457,
H,11,Sample X179,130019,
H,12,Sample X180,132876,
H,13,Sample X181,128018,
H,14,Sample X182,126944,
H,15,Sample X183,122565,
H,16,Sample X184,136736,
H,17,Sample X185,134740,
H,18,Sample X186,135211,
H,19,Sample X187,130612,
H,20,Sample X188,138473,
H,21,Sample X189,141343,
H,22,Sample X190,141916,
H,23,Sample X191,139633,
H,24,Sample X192,133383,
I,1,Sample X193,149052,
I,2,Sample X194,144470,
I,3,Sample X195,142836,
I,4,Sample X196,147821,
I,5,Sample X197,146542,
I,6,Sample X198,135227,
I,7,Sample X199,135410,
I,8,Sample X200,133775,
I,9,Sample X201,127554,
I,10,Sample X202,130895,
I,11,Sample X203,128236,
I,12,Sample X204,131335,
I,13,Sample X205,2622,
I,14,Sample X206,2612,
I,15,Sample X207,7648,
I,16,Sample X208,107731,
I,17,Sample X209,130502,
I,18,Sample X210,133226,
I,19,Sample X211,135487,
I,20,Sample X212,140422,
I,21,Sample X213,140208,
I,22,Sample X214,137369,
I,23,Sample X215,135437,
I,24,Sample X216,140654,
J,1,Sample X217,143644,
J,2,Sample X218,148943,
J,3,Sample X219,151910,
J,4,Sample X220,151515,
J,5,Sample X221,147392,
J,6,Sample X222,140354,
J,7,Sample X223,138794,
J,8,Sample X224,138225,
J,9,Sample X225,136197,
J,10,Sample X226,127762,
J,11,Sample X227,134392,
J,12,Sample X228,130255,
J,13,Sample X229,61463,
J,14,Sample X230,118085,
J,15,Sample X231,122528,
J,16,Sample X232,128559,
J,17,Sample X233,131897,
J,18,Sample X234,135164,
J,19,Sample X235,141871,
J,20,Sample X236,138142,
J,21,Sample X237,136128,
J,22,Sample X238,138911,
J,23,Sample X239,139459,
J,24,Sample X240,136412,
K,1,Sample X241,147631,
K,2,Sample X242,152803,
K,3,Sample X243,151039,
K,4,Sample X244,154967,
K,5,Sample X245,145994,
K,6,Sample X246,137306,
K,7,Sample X247,137505,
K,8,Sample X248,137740,
K,9,Sample X249,134722,
K,10,Sample X250,128895,
K,11,Sample X251,135690,
K,12,Sample X252,136145,
K,13,Sample X253,133604,
K,14,Sample X254,132397,
