Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,139585,
A,2,Sample X2,135552,
A,3,Sample X3,135884,
A,4,Sample X4,140084,
A,5,Sample X5,138483,
A,6,Sample X6,140306,
A,7,Sample X7,137731,
A,8,Sample X8,138235,
A,9,Sample X9,1998,
A,10,Sample X10,1952,
A,11,Sample X11,1998,
A,12,Sample X12,1946,
A,13,Sample X13,7849,
A,14,Sample X14,23700,
A,15,Sample X15,88654,
A,16,Sample X16,114966,
A,17,Sample X17,123581,
A,18,Sample X18,128629,
A,19,Sample X19,132482,
A,20,Sample X20,138004,
A,21,Sample X21,138528,
A,22,Sample X22,138224,
A,23,Sample X23,136435,
A,24,Sample X24,120715,
B,1,Sample X25,146916,
B,2,Sample X26,144014,
B,3,Sample X27,136173,
B,4,Sample X28,140754,
B,5,Sample X29,142334,
B,6,Sample X30,134864,
B,7,Sample X31,135652,
B,8,Sample X32,137909,
B,9,Sample X33,130862,
B,10,Sample X34,131818,
B,11,Sample X35,131953,
B,12,Sample X36,132276,
B,13,Sample X37,130390,
B,14,Sample X38,131060,
B,15,Sample X39,132577,
B,16,Sample X40,130873,
B,17,Sample X41,136842,
B,18,Sample X42,134786,
B,19,Sample X43,133669,
B,20,Sample X44,133939,
B,21,Sample X45,132859,
B,22,Sample X46,137444,
B,23,Sample X47,134924,
B,24,Sample X48,140569,
C,1,Sample X49,141364,
C,2,Sample X50,142041,
C,3,Sample X51,140340,
C,4,Sample X52,142953,
C,5,Sample X53,136822,
C,6,Sample X54,138080,
C,7,Sample X55,139805,
C,8,Sample X56,134564,
C,9,Sample X57,135021,
C,10,Sample X58,137114,
C,11,Sample X59,135278,
C,12,Sample X60,139150,
C,13,Sample X61,132758,
C,14,Sample X62,135736,
C,15,Sample X63,133544,
C,16,Sample X64,138995,
C,17,Sample X65,139232,
C,18,Sample X66,140507,
C,19,Sample X67,138639,
C,20,Sample X68,140138,
C,21,Sample X69,137505,
C,22,Sample X70,136797,
C,23,Sample X71,141309,
C,24,Sample X72,141307,
D,1,Sample X73,141316,
D,2,Sample X74,111362,
D,3,Sample X75,110727,
D,4,Sample X76,123261,
D,5,Sample X77,124498,
D,6,Sample X78,131440,
D,7,Sample X79,127933,
D,8,Sample X80,132190,
D,9,Sample X81,132626,
D,10,Sample X82,133383,
D,11,Sample X83,131089,
D,12,Sample X84,135479,
D,13,Sample X85,83862,
D,14,Sample X86,88714,
D,15,Sample X87,105484,
D,16,Sample X88,122580,
D,17,Sample X89,130983,
D,18,Sample X90,134563,
D,19,Sample X91,135218,
D,20,Sample X92,136840,
D,21,Sample X93,137097,
D,22,Sample X94,138080,
D,23,Sample X95,140611,
D,24,Sample X96,146205,
E,1,Sample X97,137771,
E,2,Sample X98,30122,
E,3,Sample X99,107673,
E,4,Sample X100,129212,
E,5,Sample X101,138808,
E,6,Sample X102,135545,
E,7,Sample X103,134567,
E,8,Sample X104,126566,
E,9,Sample X105,126093,
E,10,Sample X106,134167,
E,11,Sample X107,133393,
E,12,Sample X108,134062,
E,13,Sample X109,2796,
E,14,Sample X110,2753,
E,15,Sample X111,2974,
E,16,Sample X112,106927,
E,17,Sample X113,114445,
E,18,Sample X114,129065,
E,19,Sample X115,138583,
E,20,Sample X116,139582,
E,21,Sample X117,134127,
E,22,Sample X118,136565,
E,23,Sample X119,139599,
E,24,Sample X120,141198,
F,1,Sample X121,143536,
F,2,Sample X122,137106,
F,3,Sample X123,138772,
F,4,Sample X124,133076,
F,5,Sample X125,134694,
F,6,Sample X126,127140,
F,7,Sample X127,126357,
F,8,Sample X128,123884,
F,9,Sample X129,124218,
F,10,Sample X130,120779,
F,11,Sample X131,129423,
F,12,Sample X132,126947,
F,13,Sample X133,122897,
F,14,Sample X134,132435,
F,15,Sample X135,130133,
F,16,Sample X136,126521,
F,17,Sample X137,123737,
F,18,Sample X138,125847,
F,19,Sample X139,125579,
F,20,Sample X140,132646,
F,21,Sample X141,135641,
F,22,Sample X142,137651,
F,23,Sample X143,136558,
F,24,Sample X144,137962,
G,1,Sample X145,143090,
G,2,Sample X146,2638,
G,3,Sample X147,2685,
G,4,Sample X148,120003,
G,5,Sample X149,131072,
G,6,Sample X150,122004,
G,7,Sample X151,118108,
G,8,Sample X152,122226,
G,9,Sample X153,122549,
G,10,Sample X154,118644,
G,11,Sample X155,120988,
G,12,Sample X156,92102,
G,13,Sample X157,117879,
G,14,Sample X158,120294,
G,15,Sample X159,118088,
G,16,Sample X160,119645,
G,17,Sample X161,121240,
G,18,Sample X162,125126,
G,19,Sample X163,128493,
G,20,Sample X164,130979,
G,21,Sample X165,136659,
G,22,Sample X166,137222,
G,23,Sample X167,139512,
G,24,Sample X168,143875,
H,1,Sample X169,138481,
H,2,Sample X170,86824,
H,3,Sample X171,94227,
H,4,Sample X172,108250,
H,5,Sample X173,125125,
H,6,Sample X174,124589,
H,7,Sample X175,119863,
H,8,Sample X176,118765,
H,9,Sample X177,117076,
H,10,Sample X178,115713,
H,11,Sample X179,117617,
H,12,Sample X180,119192,
H,13,Sample X181,84809,
H,14,Sample X182,92250,
H,15,Sample X183,101015,
H,16,Sample X184,103211,
H,17,Sample X185,120713,
H,18,Sample X186,124079,
H,19,Sample X187,126885,
H,20,Sample X188,134566,
H,21,Sample X189,137225,
H,22,Sample X190,140674,
H,23,Sample X191,140500,
H,24,Sample X192,141062,
I,1,Sample X193,141100,
I,2,Sample X194,133709,
I,3,Sample X195,128792,
I,4,Sample X196,132513,
I,5,Sample X197,126949,
I,6,Sample X198,125184,
I,7,Sample X199,122084,
I,8,Sample X200,126857,
I,9,Sample X201,118504,
I,10,Sample X202,120294,
I,11,Sample X203,117178,
I,12,Sample X204,112467,
