Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,178879,
A,2,Sample X2,179065,
A,3,Sample X3,181864,
A,4,Sample X4,175364,
A,5,Sample X5,178520,
A,6,Sample X6,180916,
A,7,Sample X7,180314,
A,8,Sample X8,177256,
A,9,Sample X9,2670,
A,10,Sample X10,2787,
A,11,Sample X11,2661,
A,12,Sample X12,2745,
A,13,Sample X13,4257,
A,14,Sample X14,29285,
A,15,Sample X15,85195,
A,16,Sample X16,106294,
A,17,Sample X17,154786,
A,18,Sample X18,164045,
A,19,Sample X19,173767,
A,20,Sample X20,181422,
A,21,Sample X21,181365,
A,22,Sample X22,176528,
A,23,Sample X23,180754,
A,24,Sample X24,177544,
B,1,Sample X25,183561,
B,2,Sample X26,178602,
B,3,Sample X27,179208,
B,4,Sample X28,179423,
B,5,Sample X29,177963,
B,6,Sample X30,180530,
B,7,Sample X31,175214,
B,8,Sample X32,180234,
B,9,Sample X33,175676,
B,10,Sample X34,176107,
B,11,Sample X35,177874,
B,12,Sample X36,174698,
B,13,Sample X37,178753,
B,14,Sample X38,176482,
B,15,Sample X39,176727,
B,16,Sample X40,177537,
B,17,Sample X41,178301,
B,18,Sample X42,174713,
B,19,Sample X43,177318,
B,20,Sample X44,178887,
B,21,Sample X45,178834,
B,22,Sample X46,178218,
B,23,Sample X47,176794,
B,24,Sample X48,175045,
C,1,Sample X49,181531,
C,2,Sample X50,169902,
C,3,Sample X51,179438,
C,4,Sample X52,183180,
C,5,Sample X53,182020,
C,6,Sample X54,175351,
C,7,Sample X55,178965,
C,8,Sample X56,183590,
C,9,Sample X57,181993,
C,10,Sample X58,180712,
C,11,Sample X59,176656,
C,12,Sample X60,178500,
C,13,Sample X61,175643,
C,14,Sample X62,178552,
C,15,Sample X63,175867,
C,16,Sample X64,178795,
C,17,Sample X65,179143,
C,18,Sample X66,175461,
C,19,Sample X67,182404,
C,20,Sample X68,173110,
C,21,Sample X69,181960,
C,22,Sample X70,179506,
C,23,Sample X71,172735,
C,24,Sample X72,184460,
D,1,Sample X73,176729,
D,2,Sample X74,49177,
D,3,Sample X75,158703,
D,4,Sample X76,174620,
D,5,Sample X77,181898,
D,6,Sample X78,180681,
D,7,Sample X79,182494,
D,8,Sample X80,186299,
D,9,Sample X81,178722,
D,10,Sample X82,178522,
D,11,Sample X83,176958,
D,12,Sample X84,175139,
D,13,Sample X85,174779,
D,14,Sample X86,178713,
D,15,Sample X87,178377,
D,16,Sample X88,178291,
D,17,Sample X89,176225,
D,18,Sample X90,177754,
D,19,Sample X91,179854,
D,20,Sample X92,179653,
D,21,Sample X93,180798,
D,22,Sample X94,155518,
D,23,Sample X95,179952,
D,24,Sample X96,180073,
E,1,Sample X97,183185,
E,2,Sample X98,174833,
E,3,Sample X99,178778,
E,4,Sample X100,178364,
E,5,Sample X101,182901,
E,6,Sample X102,184719,
E,7,Sample X103,186756,
E,8,Sample X104,182545,
E,9,Sample X105,187275,
E,10,Sample X106,183340,
E,11,Sample X107,178508,
E,12,Sample X108,185419,
E,13,Sample X109,3350,
E,14,Sample X110,3351,
E,15,Sample X111,3431,
