Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,164517,
A,2,Sample X2,155268,
A,3,Sample X3,154356,
A,4,Sample X4,152025,
A,5,Sample X5,156165,
A,6,Sample X6,159973,
A,7,Sample X7,161402,
A,8,Sample X8,144779,
A,9,Sample X9,2331,
A,10,Sample X10,2343,
A,11,Sample X11,2291,
A,12,Sample X12,2291,
A,13,Sample X13,2483,
A,14,Sample X14,5008,
A,15,Sample X15,41998,
A,16,Sample X16,127496,
A,17,Sample X17,130421,
A,18,Sample X18,146147,
A,19,Sample X19,138852,
A,20,Sample X20,143341,
A,21,Sample X21,152323,
A,22,Sample X22,152316,
A,23,Sample X23,158949,
A,24,Sample X24,151441,
B,1,Sample X25,161342,
B,2,Sample X26,153544,
B,3,Sample X27,153427,
B,4,Sample X28,152296,
B,5,Sample X29,157699,
B,6,Sample X30,152192,
B,7,Sample X31,154827,
B,8,Sample X32,150746,
B,9,Sample X33,149872,
B,10,Sample X34,148354,
B,11,Sample X35,148234,
B,12,Sample X36,143276,
B,13,Sample X37,143574,
B,14,Sample X38,140624,
B,15,Sample X39,141732,
B,16,Sample X40,142884,
B,17,Sample X41,147651,
B,18,Sample X42,132521,
B,19,Sample X43,145810,
B,20,Sample X44,146721,
B,21,Sample X45,129713,
B,22,Sample X46,146559,
B,23,Sample X47,146862,
B,24,Sample X48,151855,
C,1,Sample X49,154264,
C,2,Sample X50,2827,
C,3,Sample X51,2921,
C,4,Sample X52,79138,
C,5,Sample X53,143163,
C,6,Sample X54,142284,
C,7,Sample X55,150886,
C,8,Sample X56,145406,
C,9,Sample X57,144768,
C,10,Sample X58,158147,
C,11,Sample X59,145857,
C,12,Sample X60,145081,
C,13,Sample X61,51497,
C,14,Sample X62,141207,
C,15,Sample X63,134754,
C,16,Sample X64,146243,
C,17,Sample X65,138616,
C,18,Sample X66,133570,
C,19,Sample X67,131107,
C,20,Sample X68,144221,
C,21,Sample X69,136049,
C,22,Sample X70,138962,
C,23,Sample X71,143079,
C,24,Sample X72,144321,
D,1,Sample X73,166889,
D,2,Sample X74,2812,
D,3,Sample X75,2880,
D,4,Sample X76,38907,
D,5,Sample X77,139697,
D,6,Sample X78,151825,
D,7,Sample X79,150875,
D,8,Sample X80,145475,
D,9,Sample X81,153030,
D,10,Sample X82,149232,
D,11,Sample X83,149054,
