Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,1647,
A,2,Sample X2,1447,
A,3,Sample X3,1512,
A,4,Sample X4,1619,
A,5,Sample X5,1540,
A,6,Sample X6,1634,
A,7,Sample X7,1508,
A,8,Sample X8,1456,
A,9,Sample X9,122,
A,10,Sample X10,127,
A,11,Sample X11,139,
A,12,Sample X12,136,
A,13,Sample X13,319,
A,14,Sample X14,813,
A,15,Sample X15,902,
A,16,Sample X16,1433,
A,17,Sample X17,1669,
A,18,Sample X18,1792,
A,19,Sample X19,1586,
A,20,Sample X20,1600,
A,21,Sample X21,1564,
A,22,Sample X22,1524,
A,23,Sample X23,1591,
A,24,Sample X24,1653,
B,1,Sample X25,1604,
B,2,Sample X26,1524,
B,3,Sample X27,1330,
B,4,Sample X28,1378,
B,5,Sample X29,1643,
B,6,Sample X30,1345,
B,7,Sample X31,1520,
B,8,Sample X32,1484,
B,9,Sample X33,140150,
B,10,Sample X34,138057,
B,11,Sample X35,124217,
B,12,Sample X36,160308,
B,13,Sample X37,160614,
B,14,Sample X38,143395,
B,15,Sample X39,115395,
B,16,Sample X40,150686,
B,17,Sample X41,91556,
B,18,Sample X42,83716,
B,19,Sample X43,57942,
B,20,Sample X44,32581,
B,21,Sample X45,22686,
B,22,Sample X46,14001,
B,23,Sample X47,7373,
B,24,Sample X48,1478,
C,1,Sample X49,1481,
C,2,Sample X50,1247,
C,3,Sample X51,1445,
C,4,Sample X52,1537,
C,5,Sample X53,1393,
C,6,Sample X54,1489,
C,7,Sample X55,1743,
C,8,Sample X56,1664,
C,9,Sample X57,1753,
C,10,Sample X58,1712,
C,11,Sample X59,1608,
C,12,Sample X60,1699,
C,13,Sample X61,1131,
C,14,Sample X62,1290,
C,15,Sample X63,1361,
C,16,Sample X64,1506,
C,17,Sample X65,1373,
C,18,Sample X66,1379,
C,19,Sample X67,1447,
C,20,Sample X68,1513,
C,21,Sample X69,1437,
C,22,Sample X70,1721,
C,23,Sample X71,1603,
C,24,Sample X72,1466,
D,1,Sample X73,1590,
D,2,Sample X74,4744,
D,3,Sample X75,6616,
D,4,Sample X76,8612,
D,5,Sample X77,8836,
D,6,Sample X78,6001,
D,7,Sample X79,4291,
D,8,Sample X80,2310,
D,9,Sample X81,1664,
D,10,Sample X82,1417,
D,11,Sample X83,1583,
D,12,Sample X84,1340,
D,13,Sample X85,797,
D,14,Sample X86,734,
D,15,Sample X87,1278,
D,16,Sample X88,1485,
D,17,Sample X89,1336,
D,18,Sample X90,1394,
D,19,Sample X91,1456,
D,20,Sample X92,1431,
D,21,Sample X93,1464,
D,22,Sample X94,1458,
D,23,Sample X95,1539,
D,24,Sample X96,1545,
E,1,Sample X97,1308,
E,2,Sample X98,1225,
E,3,Sample X99,1058,
E,4,Sample X100,1315,
E,5,Sample X101,1993,
E,6,Sample X102,1845,
E,7,Sample X103,1654,
E,8,Sample X104,1730,
E,9,Sample X105,1428,
E,10,Sample X106,1564,
E,11,Sample X107,1576,
E,12,Sample X108,1477,
E,13,Sample X109,797,
E,14,Sample X110,862,
E,15,Sample X111,883,
E,16,Sample X112,778,
E,17,Sample X113,1040,
E,18,Sample X114,1156,
E,19,Sample X115,1544,
E,20,Sample X116,1635,
E,21,Sample X117,1609,
E,22,Sample X118,1291,
E,23,Sample X119,1624,
E,24,Sample X120,1695,
F,1,Sample X121,1325,
F,2,Sample X122,6995,
F,3,Sample X123,4772,
F,4,Sample X124,3518,
F,5,Sample X125,1692,
F,6,Sample X126,1666,
F,7,Sample X127,1376,
F,8,Sample X128,1470,
F,9,Sample X129,1418,
F,10,Sample X130,1502,
F,11,Sample X131,1649,
F,12,Sample X132,1643,
F,13,Sample X133,1395,
F,14,Sample X134,1843,
F,15,Sample X135,1919,
F,16,Sample X136,1592,
F,17,Sample X137,1660,
F,18,Sample X138,1455,
F,19,Sample X139,4943,
F,20,Sample X140,1479,
F,21,Sample X141,1734,
F,22,Sample X142,1222,
F,23,Sample X143,1461,
F,24,Sample X144,1517,
G,1,Sample X145,1567,
G,2,Sample X146,1680,
G,3,Sample X147,1055,
G,4,Sample X148,1644,
G,5,Sample X149,1586,
G,6,Sample X150,1329,
G,7,Sample X151,1520,
G,8,Sample X152,1692,
G,9,Sample X153,1644,
G,10,Sample X154,1688,
G,11,Sample X155,1616,
G,12,Sample X156,1394,
G,13,Sample X157,1075,
G,14,Sample X158,1093,
G,15,Sample X159,1269,
G,16,Sample X160,1591,
G,17,Sample X161,1479,
G,18,Sample X162,1546,
G,19,Sample X163,1710,
G,20,Sample X164,1468,
G,21,Sample X165,1266,
G,22,Sample X166,1558,
G,23,Sample X167,1586,
G,24,Sample X168,1695,
H,1,Sample X169,1518,
H,2,Sample X170,553,
H,3,Sample X171,759,
H,4,Sample X172,1096,
H,5,Sample X173,1657,
H,6,Sample X174,1453,
H,7,Sample X175,1667,
H,8,Sample X176,1374,
H,9,Sample X177,1730,
H,10,Sample X178,1805,
H,11,Sample X179,1930,
H,12,Sample X180,1515,
H,13,Sample X181,1649,
H,14,Sample X182,1555,
H,15,Sample X183,1578,
H,16,Sample X184,1732,
H,17,Sample X185,1624,
H,18,Sample X186,1704,
H,19,Sample X187,1444,
H,20,Sample X188,1481,
H,21,Sample X189,1468,
H,22,Sample X190,1529,
H,23,Sample X191,1493,
H,24,Sample X192,1511,
