Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,114008,
A,2,Sample X2,121900,
A,3,Sample X3,117933,
A,4,Sample X4,111633,
A,5,Sample X5,121990,
A,6,Sample X6,119889,
A,7,Sample X7,121025,
A,8,Sample X8,125417,
A,9,Sample X9,2158,
A,10,Sample X10,2166,
A,11,Sample X11,2152,
A,12,Sample X12,2151,
A,13,Sample X13,60254,
A,14,Sample X14,84551,
A,15,Sample X15,92332,
A,16,Sample X16,105677,
A,17,Sample X17,104734,
A,18,Sample X18,105717,
A,19,Sample X19,113162,
A,20,Sample X20,116751,
A,21,Sample X21,118173,
A,22,Sample X22,120089,
A,23,Sample X23,115215,
A,24,Sample X24,110258,
B,1,Sample X25,123277,
B,2,Sample X26,126100,
B,3,Sample X27,137326,
B,4,Sample X28,130137,
B,5,Sample X29,126954,
B,6,Sample X30,125540,
B,7,Sample X31,133541,
B,8,Sample X32,124707,
B,9,Sample X33,74401,
B,10,Sample X34,73022,
B,11,Sample X35,77922,
B,12,Sample X36,72544,
B,13,Sample X37,116632,
B,14,Sample X38,125542,
B,15,Sample X39,127084,
B,16,Sample X40,121439,
B,17,Sample X41,115604,
B,18,Sample X42,116396,
B,19,Sample X43,115587,
B,20,Sample X44,119255,
B,21,Sample X45,126527,
B,22,Sample X46,119060,
B,23,Sample X47,113667,
B,24,Sample X48,106649,
C,1,Sample X49,120643,
C,2,Sample X50,117967,
C,3,Sample X51,125872,
C,4,Sample X52,126260,
C,5,Sample X53,135474,
C,6,Sample X54,127241,
C,7,Sample X55,133491,
C,8,Sample X56,126655,
C,9,Sample X57,125558,
C,10,Sample X58,129104,
C,11,Sample X59,120195,
C,12,Sample X60,121134,
C,13,Sample X61,127895,
C,14,Sample X62,130269,
C,15,Sample X63,120584,
C,16,Sample X64,122261,
C,17,Sample X65,125512,
C,18,Sample X66,113875,
C,19,Sample X67,116576,
C,20,Sample X68,122274,
C,21,Sample X69,125568,
C,22,Sample X70,119566,
C,23,Sample X71,119628,
C,24,Sample X72,122258,
D,1,Sample X73,121007,
D,2,Sample X74,107864,
D,3,Sample X75,118455,
D,4,Sample X76,125117,
D,5,Sample X77,131450,
D,6,Sample X78,126096,
D,7,Sample X79,131130,
D,8,Sample X80,127137,
D,9,Sample X81,121868,
D,10,Sample X82,123390,
D,11,Sample X83,128852,
D,12,Sample X84,123198,
D,13,Sample X85,120417,
D,14,Sample X86,120185,
D,15,Sample X87,124602,
D,16,Sample X88,119674,
D,17,Sample X89,126384,
D,18,Sample X90,126693,
D,19,Sample X91,113143,
D,20,Sample X92,126614,
D,21,Sample X93,129567,
D,22,Sample X94,121187,
D,23,Sample X95,125371,
D,24,Sample X96,117086,
E,1,Sample X97,120566,
E,2,Sample X98,147633,
E,3,Sample X99,137989,
E,4,Sample X100,139396,
E,5,Sample X101,125176,
E,6,Sample X102,126180,
E,7,Sample X103,125270,
E,8,Sample X104,133080,
E,9,Sample X105,133915,
E,10,Sample X106,129570,
E,11,Sample X107,129113,
E,12,Sample X108,131440,
E,13,Sample X109,118541,
E,14,Sample X110,124650,
E,15,Sample X111,129537,
E,16,Sample X112,129845,
E,17,Sample X113,131328,
E,18,Sample X114,119332,
E,19,Sample X115,124519,
E,20,Sample X116,128160,
E,21,Sample X117,126784,
E,22,Sample X118,120158,
E,23,Sample X119,123179,
E,24,Sample X120,116332,
F,1,Sample X121,119782,
F,2,Sample X122,131394,
F,3,Sample X123,130604,
F,4,Sample X124,120559,
F,5,Sample X125,131937,
F,6,Sample X126,120504,
F,7,Sample X127,120782,
F,8,Sample X128,119157,
F,9,Sample X129,120309,
F,10,Sample X130,115128,
F,11,Sample X131,126265,
F,12,Sample X132,121816,
F,13,Sample X133,2545,
F,14,Sample X134,2538,
F,15,Sample X135,90151,
F,16,Sample X136,124747,
F,17,Sample X137,122025,
F,18,Sample X138,124621,
F,19,Sample X139,120178,
F,20,Sample X140,129199,
F,21,Sample X141,120747,
F,22,Sample X142,119253,
F,23,Sample X143,127833,
F,24,Sample X144,125401,
G,1,Sample X145,121163,
G,2,Sample X146,2777,
G,3,Sample X147,2742,
G,4,Sample X148,2814,
G,5,Sample X149,101795,
G,6,Sample X150,117304,
G,7,Sample X151,123420,
G,8,Sample X152,114372,
G,9,Sample X153,121684,
G,10,Sample X154,122364,
G,11,Sample X155,114788,
G,12,Sample X156,117314,
G,13,Sample X157,105834,
G,14,Sample X158,121747,
G,15,Sample X159,106416,
G,16,Sample X160,111939,
G,17,Sample X161,109892,
G,18,Sample X162,112207,
G,19,Sample X163,118148,
G,20,Sample X164,126589,
G,21,Sample X165,127053,
G,22,Sample X166,117520,
G,23,Sample X167,132815,
G,24,Sample X168,121637,
H,1,Sample X169,121493,
H,2,Sample X170,133574,
H,3,Sample X171,131518,
H,4,Sample X172,122234,
H,5,Sample X173,137785,
H,6,Sample X174,131388,
H,7,Sample X175,122827,
H,8,Sample X176,108321,
H,9,Sample X177,112349,
H,10,Sample X178,113978,
H,11,Sample X179,109867,
H,12,Sample X180,118196,
H,13,Sample X181,100868,
H,14,Sample X182,107554,
H,15,Sample X183,111370,
H,16,Sample X184,103997,
H,17,Sample X185,98175,
H,18,Sample X186,108963,
H,19,Sample X187,113875,
H,20,Sample X188,127180,
H,21,Sample X189,130212,
H,22,Sample X190,133222,
H,23,Sample X191,128798,
H,24,Sample X192,129681,
I,1,Sample X193,130837,
I,2,Sample X194,69349,
I,3,Sample X195,126309,
I,4,Sample X196,131165,
I,5,Sample X197,134754,
I,6,Sample X198,134846,
I,7,Sample X199,122919,
I,8,Sample X200,122065,
I,9,Sample X201,115955,
I,10,Sample X202,113280,
I,11,Sample X203,116957,
I,12,Sample X204,118112,
I,13,Sample X205,88654,
I,14,Sample X206,83312,
I,15,Sample X207,91124,
I,16,Sample X208,105310,
I,17,Sample X209,117907,
I,18,Sample X210,106419,
I,19,Sample X211,124905,
I,20,Sample X212,128939,
I,21,Sample X213,131817,
I,22,Sample X214,131949,
I,23,Sample X215,125504,
I,24,Sample X216,125778,
