Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,138817,
A,2,Sample X2,142302,
A,3,Sample X3,146300,
A,4,Sample X4,140519,
A,5,Sample X5,141151,
A,6,Sample X6,144360,
A,7,Sample X7,143539,
A,8,Sample X8,146573,
A,9,Sample X9,2319,
A,10,Sample X10,2317,
A,11,Sample X11,2206,
A,12,Sample X12,2218,
A,13,Sample X13,2346,
A,14,Sample X14,8032,
A,15,Sample X15,57618,
A,16,Sample X16,106211,
A,17,Sample X17,129970,
A,18,Sample X18,134613,
A,19,Sample X19,130839,
A,20,Sample X20,135231,
A,21,Sample X21,137238,
A,22,Sample X22,137679,
A,23,Sample X23,138213,
A,24,Sample X24,129631,
B,1,Sample X25,145473,
B,2,Sample X26,145752,
B,3,Sample X27,152143,
B,4,Sample X28,144634,
B,5,Sample X29,146195,
B,6,Sample X30,143633,
B,7,Sample X31,141201,
B,8,Sample X32,142530,
B,9,Sample X33,139718,
B,10,Sample X34,139653,
B,11,Sample X35,137799,
B,12,Sample X36,135414,
B,13,Sample X37,133630,
B,14,Sample X38,132030,
B,15,Sample X39,140616,
B,16,Sample X40,137353,
B,17,Sample X41,132942,
B,18,Sample X42,132051,
B,19,Sample X43,135608,
B,20,Sample X44,132959,
B,21,Sample X45,137384,
B,22,Sample X46,136680,
B,23,Sample X47,138507,
B,24,Sample X48,139266,
C,1,Sample X49,138657,
C,2,Sample X50,135626,
C,3,Sample X51,145527,
C,4,Sample X52,147328,
C,5,Sample X53,147682,
C,6,Sample X54,147250,
C,7,Sample X55,143509,
C,8,Sample X56,145467,
C,9,Sample X57,147412,
C,10,Sample X58,142612,
C,11,Sample X59,140904,
C,12,Sample X60,141523,
C,13,Sample X61,138888,
C,14,Sample X62,139397,
C,15,Sample X63,142333,
C,16,Sample X64,142104,
C,17,Sample X65,136259,
C,18,Sample X66,138213,
C,19,Sample X67,141186,
C,20,Sample X68,139375,
C,21,Sample X69,140876,
C,22,Sample X70,137529,
C,23,Sample X71,136446,
C,24,Sample X72,135469,
D,1,Sample X73,147242,
D,2,Sample X74,56659,
D,3,Sample X75,121531,
D,4,Sample X76,139462,
D,5,Sample X77,147784,
D,6,Sample X78,143409,
D,7,Sample X79,142748,
D,8,Sample X80,140462,
D,9,Sample X81,144156,
D,10,Sample X82,141519,
D,11,Sample X83,144895,
D,12,Sample X84,145620,
D,13,Sample X85,137620,
D,14,Sample X86,135626,
D,15,Sample X87,139000,
D,16,Sample X88,145200,
D,17,Sample X89,135480,
D,18,Sample X90,144669,
D,19,Sample X91,141296,
D,20,Sample X92,135059,
D,21,Sample X93,142845,
D,22,Sample X94,140933,
D,23,Sample X95,139067,
D,24,Sample X96,134872,
E,1,Sample X97,145673,
E,2,Sample X98,145558,
E,3,Sample X99,137545,
E,4,Sample X100,145458,
E,5,Sample X101,147491,
E,6,Sample X102,147923,
E,7,Sample X103,138328,
E,8,Sample X104,137442,
E,9,Sample X105,143042,
E,10,Sample X106,144713,
E,11,Sample X107,142639,
E,12,Sample X108,136832,
E,13,Sample X109,2664,
E,14,Sample X110,2640,
E,15,Sample X111,2689,
E,16,Sample X112,35234,
E,17,Sample X113,118739,
E,18,Sample X114,128817,
E,19,Sample X115,135085,
E,20,Sample X116,137795,
E,21,Sample X117,140144,
E,22,Sample X118,138060,
E,23,Sample X119,141637,
E,24,Sample X120,129053,
F,1,Sample X121,145910,
F,2,Sample X122,29946,
F,3,Sample X123,91765,
F,4,Sample X124,141163,
F,5,Sample X125,139936,
F,6,Sample X126,138648,
F,7,Sample X127,134523,
F,8,Sample X128,134980,
F,9,Sample X129,134005,
F,10,Sample X130,135738,
F,11,Sample X131,132621,
F,12,Sample X132,131072,
F,13,Sample X133,79971,
F,14,Sample X134,115147,
F,15,Sample X135,131120,
F,16,Sample X136,132582,
F,17,Sample X137,131804,
F,18,Sample X138,131729,
F,19,Sample X139,127291,
F,20,Sample X140,135412,
F,21,Sample X141,127704,
F,22,Sample X142,141814,
F,23,Sample X143,143409,
F,24,Sample X144,131442,
G,1,Sample X145,144579,
G,2,Sample X146,144955,
G,3,Sample X147,147942,
G,4,Sample X148,143538,
G,5,Sample X149,138327,
G,6,Sample X150,137924,
G,7,Sample X151,133255,
G,8,Sample X152,134611,
G,9,Sample X153,126705,
G,10,Sample X154,130765,
G,11,Sample X155,125924,
G,12,Sample X156,130048,
G,13,Sample X157,27121,
G,14,Sample X158,98255,
G,15,Sample X159,127566,
G,16,Sample X160,127131,
G,17,Sample X161,124946,
G,18,Sample X162,119090,
G,19,Sample X163,124545,
G,20,Sample X164,131822,
G,21,Sample X165,130839,
G,22,Sample X166,137048,
G,23,Sample X167,137446,
G,24,Sample X168,129352,
H,1,Sample X169,145864,
H,2,Sample X170,141028,
H,3,Sample X171,144710,
H,4,Sample X172,145420,
