Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,2180,
A,2,Sample X2,2717,
A,3,Sample X3,3667,
A,4,Sample X4,2448,
A,5,Sample X5,2328,
A,6,Sample X6,2327,
A,7,Sample X7,2069,
A,8,Sample X8,2584,
A,9,Sample X9,132,
A,10,Sample X10,148,
A,11,Sample X11,139,
A,12,Sample X12,166,
A,13,Sample X13,319,
A,14,Sample X14,671,
A,15,Sample X15,1599,
A,16,Sample X16,2036,
A,17,Sample X17,1963,
A,18,Sample X18,2439,
A,19,Sample X19,2581,
A,20,Sample X20,2531,
A,21,Sample X21,2197,
A,22,Sample X22,2186,
A,23,Sample X23,2495,
A,24,Sample X24,2371,
B,1,Sample X25,2821,
B,2,Sample X26,2391,
B,3,Sample X27,2494,
B,4,Sample X28,3274,
B,5,Sample X29,2496,
B,6,Sample X30,2635,
B,7,Sample X31,2625,
B,8,Sample X32,2319,
B,9,Sample X33,222088,
B,10,Sample X34,211183,
B,11,Sample X35,177516,
B,12,Sample X36,195329,
B,13,Sample X37,203264,
B,14,Sample X38,229824,
B,15,Sample X39,195461,
B,16,Sample X40,195982,
B,17,Sample X41,150909,
B,18,Sample X42,106934,
B,19,Sample X43,91356,
B,20,Sample X44,59662,
B,21,Sample X45,32057,
B,22,Sample X46,15339,
B,23,Sample X47,9166,
B,24,Sample X48,2246,
C,1,Sample X49,3299,
C,2,Sample X50,1574,
C,3,Sample X51,2085,
C,4,Sample X52,2054,
C,5,Sample X53,2549,
C,6,Sample X54,2596,
C,7,Sample X55,2613,
C,8,Sample X56,2512,
C,9,Sample X57,2532,
C,10,Sample X58,2467,
C,11,Sample X59,2693,
C,12,Sample X60,2688,
C,13,Sample X61,1772,
C,14,Sample X62,2154,
C,15,Sample X63,2061,
C,16,Sample X64,2791,
C,17,Sample X65,2428,
C,18,Sample X66,2243,
C,19,Sample X67,2209,
C,20,Sample X68,2491,
C,21,Sample X69,2195,
C,22,Sample X70,2811,
C,23,Sample X71,2760,
C,24,Sample X72,2519,
D,1,Sample X73,2967,
D,2,Sample X74,17365,
D,3,Sample X75,16972,
D,4,Sample X76,25398,
D,5,Sample X77,25333,
D,6,Sample X78,14705,
D,7,Sample X79,12040,
D,8,Sample X80,4371,
D,9,Sample X81,2766,
D,10,Sample X82,2320,
D,11,Sample X83,2517,
D,12,Sample X84,2209,
D,13,Sample X85,1289,
D,14,Sample X86,1156,
D,15,Sample X87,1711,
D,16,Sample X88,2337,
D,17,Sample X89,2094,
D,18,Sample X90,2337,
D,19,Sample X91,2703,
D,20,Sample X92,2514,
D,21,Sample X93,2376,
D,22,Sample X94,2760,
D,23,Sample X95,2202,
D,24,Sample X96,2626,
E,1,Sample X97,2694,
E,2,Sample X98,1285,
E,3,Sample X99,1389,
E,4,Sample X100,1950,
E,5,Sample X101,3015,
E,6,Sample X102,2455,
E,7,Sample X103,2907,
E,8,Sample X104,2586,
E,9,Sample X105,2358,
E,10,Sample X106,2550,
E,11,Sample X107,2769,
E,12,Sample X108,2821,
E,13,Sample X109,921,
E,14,Sample X110,864,
E,15,Sample X111,814,
E,16,Sample X112,1018,
E,17,Sample X113,1514,
E,18,Sample X114,2023,
E,19,Sample X115,2542,
E,20,Sample X116,2606,
E,21,Sample X117,2709,
E,22,Sample X118,2712,
E,23,Sample X119,2869,
E,24,Sample X120,3116,
