Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,157183,
A,2,Sample X2,148342,
A,3,Sample X3,151495,
A,4,Sample X4,152264,
A,5,Sample X5,150939,
A,6,Sample X6,142007,
A,7,Sample X7,148360,
A,8,Sample X8,143315,
A,9,Sample X9,91446,
A,10,Sample X10,2296,
A,11,Sample X11,66736,
A,12,Sample X12,2208,
A,13,Sample X13,4117,
A,14,Sample X14,6915,
A,15,Sample X15,111478,
A,16,Sample X16,70689,
A,17,Sample X17,102698,
A,18,Sample X18,133412,
A,19,Sample X19,140381,
A,20,Sample X20,148195,
A,21,Sample X21,146480,
A,22,Sample X22,144221,
A,23,Sample X23,158124,
A,24,Sample X24,150156,
B,1,Sample X25,167244,
B,2,Sample X26,160657,
B,3,Sample X27,154091,
B,4,Sample X28,148290,
B,5,Sample X29,152980,
B,6,Sample X30,152304,
B,7,Sample X31,146277,
B,8,Sample X32,142278,
B,9,Sample X33,134181,
B,10,Sample X34,136000,
B,11,Sample X35,132693,
B,12,Sample X36,137140,
B,13,Sample X37,138637,
B,14,Sample X38,134881,
B,15,Sample X39,134057,
B,16,Sample X40,137893,
B,17,Sample X41,142577,
B,18,Sample X42,142679,
B,19,Sample X43,136957,
B,20,Sample X44,141505,
B,21,Sample X45,141200,
B,22,Sample X46,145670,
B,23,Sample X47,144712,
B,24,Sample X48,148127,
C,1,Sample X49,158974,
C,2,Sample X50,140590,
C,3,Sample X51,148352,
C,4,Sample X52,148319,
C,5,Sample X53,149300,
C,6,Sample X54,153911,
C,7,Sample X55,146077,
C,8,Sample X56,142080,
C,9,Sample X57,139812,
C,10,Sample X58,134923,
C,11,Sample X59,136521,
C,12,Sample X60,142939,
C,13,Sample X61,132953,
C,14,Sample X62,140029,
C,15,Sample X63,141769,
C,16,Sample X64,141493,
C,17,Sample X65,139276,
C,18,Sample X66,143599,
C,19,Sample X67,145593,
C,20,Sample X68,147079,
C,21,Sample X69,141625,
C,22,Sample X70,145007,
C,23,Sample X71,145811,
C,24,Sample X72,144444,
D,1,Sample X73,157103,
D,2,Sample X74,7940,
D,3,Sample X75,115697,
D,4,Sample X76,136288,
D,5,Sample X77,143356,
D,6,Sample X78,136347,
D,7,Sample X79,133540,
D,8,Sample X80,137117,
D,9,Sample X81,134442,
D,10,Sample X82,130148,
D,11,Sample X83,128464,
D,12,Sample X84,132908,
D,13,Sample X85,120524,
D,14,Sample X86,106305,
D,15,Sample X87,120502,
D,16,Sample X88,121928,
D,17,Sample X89,122873,
D,18,Sample X90,123025,
D,19,Sample X91,129095,
D,20,Sample X92,128665,
D,21,Sample X93,133375,
D,22,Sample X94,139555,
D,23,Sample X95,142735,
D,24,Sample X96,191408,
E,1,Sample X97,162330,
E,2,Sample X98,147428,
E,3,Sample X99,145633,
E,4,Sample X100,140838,
E,5,Sample X101,136428,
E,6,Sample X102,127474,
E,7,Sample X103,130517,
E,8,Sample X104,130709,
E,9,Sample X105,126295,
E,10,Sample X106,122714,
E,11,Sample X107,121387,
E,12,Sample X108,129915,
E,13,Sample X109,2754,
E,14,Sample X110,2734,
E,15,Sample X111,2762,
E,16,Sample X112,5143,
E,17,Sample X113,67266,
E,18,Sample X114,107445,
E,19,Sample X115,98772,
E,20,Sample X116,133666,
E,21,Sample X117,132541,
E,22,Sample X118,139102,
E,23,Sample X119,147537,
E,24,Sample X120,148546,
F,1,Sample X121,156573,
F,2,Sample X122,9341,
F,3,Sample X123,92314,
F,4,Sample X124,134526,
F,5,Sample X125,134243,
F,6,Sample X126,129186,
F,7,Sample X127,129999,
F,8,Sample X128,127844,
F,9,Sample X129,124542,
F,10,Sample X130,130222,
F,11,Sample X131,120895,
F,12,Sample X132,126989,
F,13,Sample X133,60902,
F,14,Sample X134,111362,
F,15,Sample X135,99317,
F,16,Sample X136,121761,
F,17,Sample X137,106686,
F,18,Sample X138,129362,
F,19,Sample X139,128739,
F,20,Sample X140,119553,
F,21,Sample X141,129459,
F,22,Sample X142,137054,
F,23,Sample X143,144040,
F,24,Sample X144,144627,
G,1,Sample X145,155035,
G,2,Sample X146,142445,
G,3,Sample X147,143387,
G,4,Sample X148,138693,
G,5,Sample X149,134179,
G,6,Sample X150,128535,
G,7,Sample X151,130310,
G,8,Sample X152,126057,
G,9,Sample X153,126071,
G,10,Sample X154,127740,
G,11,Sample X155,132923,
G,12,Sample X156,132857,
G,13,Sample X157,9471,
G,14,Sample X158,95724,
G,15,Sample X159,115302,
G,16,Sample X160,124007,
G,17,Sample X161,124505,
G,18,Sample X162,125993,
G,19,Sample X163,124337,
G,20,Sample X164,112139,
G,21,Sample X165,128729,
G,22,Sample X166,136189,
G,23,Sample X167,146412,
G,24,Sample X168,145706,
H,1,Sample X169,156691,
H,2,Sample X170,126323,
H,3,Sample X171,134983,
H,4,Sample X172,129466,
H,5,Sample X173,124668,
H,6,Sample X174,121511,
H,7,Sample X175,124971,
H,8,Sample X176,105214,
H,9,Sample X177,125439,
H,10,Sample X178,124880,
H,11,Sample X179,122198,
