Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,126987,
A,2,Sample X2,119400,
A,3,Sample X3,121571,
A,4,Sample X4,123891,
A,5,Sample X5,116504,
A,6,Sample X6,123274,
A,7,Sample X7,123316,
A,8,Sample X8,123071,
A,9,Sample X9,2113,
A,10,Sample X10,2110,
A,11,Sample X11,2104,
A,12,Sample X12,2091,
A,13,Sample X13,64191,
A,14,Sample X14,84935,
A,15,Sample X15,97351,
A,16,Sample X16,102314,
A,17,Sample X17,106040,
A,18,Sample X18,106294,
A,19,Sample X19,110088,
A,20,Sample X20,129402,
A,21,Sample X21,116685,
A,22,Sample X22,121233,
A,23,Sample X23,113569,
A,24,Sample X24,114861,
B,1,Sample X25,131598,
B,2,Sample X26,132847,
B,3,Sample X27,131674,
B,4,Sample X28,129098,
B,5,Sample X29,131196,
B,6,Sample X30,126193,
B,7,Sample X31,121947,
B,8,Sample X32,129787,
B,9,Sample X33,78222,
B,10,Sample X34,71765,
B,11,Sample X35,74378,
B,12,Sample X36,75620,
B,13,Sample X37,114336,
B,14,Sample X38,116243,
B,15,Sample X39,117120,
B,16,Sample X40,118269,
B,17,Sample X41,115519,
B,18,Sample X42,124431,
B,19,Sample X43,121606,
B,20,Sample X44,119097,
B,21,Sample X45,121321,
B,22,Sample X46,124987,
B,23,Sample X47,121534,
B,24,Sample X48,116192,
C,1,Sample X49,127932,
C,2,Sample X50,123513,
C,3,Sample X51,128387,
C,4,Sample X52,117194,
C,5,Sample X53,130675,
C,6,Sample X54,128031,
C,7,Sample X55,124728,
C,8,Sample X56,122221,
C,9,Sample X57,120287,
C,10,Sample X58,116136,
C,11,Sample X59,109638,
C,12,Sample X60,99979,
C,13,Sample X61,114971,
C,14,Sample X62,117220,
C,15,Sample X63,108843,
C,16,Sample X64,113688,
C,17,Sample X65,111514,
C,18,Sample X66,109578,
C,19,Sample X67,99955,
C,20,Sample X68,105122,
C,21,Sample X69,106797,
C,22,Sample X70,112752,
C,23,Sample X71,120501,
C,24,Sample X72,112981,
D,1,Sample X73,130613,
D,2,Sample X74,127367,
D,3,Sample X75,123167,
D,4,Sample X76,122866,
D,5,Sample X77,119437,
D,6,Sample X78,122435,
D,7,Sample X79,118900,
D,8,Sample X80,114235,
D,9,Sample X81,118918,
D,10,Sample X82,117249,
D,11,Sample X83,117651,
D,12,Sample X84,116770,
D,13,Sample X85,89159,
D,14,Sample X86,103157,
D,15,Sample X87,99068,
D,16,Sample X88,81546,
D,17,Sample X89,89565,
D,18,Sample X90,102017,
D,19,Sample X91,98942,
D,20,Sample X92,106035,
D,21,Sample X93,99137,
D,22,Sample X94,111358,
D,23,Sample X95,118078,
D,24,Sample X96,121252,
E,1,Sample X97,132034,
E,2,Sample X98,123951,
E,3,Sample X99,123652,
E,4,Sample X100,112768,
E,5,Sample X101,120533,
E,6,Sample X102,98788,
E,7,Sample X103,114034,
E,8,Sample X104,120572,
E,9,Sample X105,110820,
E,10,Sample X106,119000,
E,11,Sample X107,121127,
E,12,Sample X108,103988,
E,13,Sample X109,77212,
E,14,Sample X110,86952,
E,15,Sample X111,79348,
E,16,Sample X112,100427,
E,17,Sample X113,97722,
E,18,Sample X114,95523,
E,19,Sample X115,66560,
E,20,Sample X116,70363,
E,21,Sample X117,95784,
E,22,Sample X118,106094,
E,23,Sample X119,110620,
E,24,Sample X120,125113,
F,1,Sample X121,128292,
F,2,Sample X122,75867,
F,3,Sample X123,95532,
F,4,Sample X124,111390,
F,5,Sample X125,117074,
F,6,Sample X126,117686,
F,7,Sample X127,113924,
F,8,Sample X128,118802,
F,9,Sample X129,118916,
F,10,Sample X130,114890,
F,11,Sample X131,109318,
F,12,Sample X132,112538,
F,13,Sample X133,86719,
F,14,Sample X134,88056,
F,15,Sample X135,99206,
F,16,Sample X136,91735,
F,17,Sample X137,73613,
F,18,Sample X138,66534,
F,19,Sample X139,59956,
F,20,Sample X140,69623,
F,21,Sample X141,75094,
F,22,Sample X142,102691,
F,23,Sample X143,120564,
F,24,Sample X144,115696,
G,1,Sample X145,136031,
G,2,Sample X146,129011,
G,3,Sample X147,126200,
G,4,Sample X148,120409,
G,5,Sample X149,115577,
G,6,Sample X150,110576,
G,7,Sample X151,115825,
G,8,Sample X152,119044,
G,9,Sample X153,112738,
G,10,Sample X154,117534,
G,11,Sample X155,116959,
G,12,Sample X156,94813,
G,13,Sample X157,95788,
G,14,Sample X158,101444,
G,15,Sample X159,112920,
G,16,Sample X160,105496,
G,17,Sample X161,78118,
G,18,Sample X162,64246,
G,19,Sample X163,70266,
G,20,Sample X164,56621,
G,21,Sample X165,69366,
G,22,Sample X166,105841,
G,23,Sample X167,113667,
G,24,Sample X168,125593,
H,1,Sample X169,128048,
H,2,Sample X170,124631,
H,3,Sample X171,112440,
H,4,Sample X172,115402,
H,5,Sample X173,117481,
H,6,Sample X174,111837,
H,7,Sample X175,109517,
H,8,Sample X176,111779,
H,9,Sample X177,103406,
H,10,Sample X178,111729,
H,11,Sample X179,109100,
H,12,Sample X180,92385,
H,13,Sample X181,95339,
H,14,Sample X182,96906,
H,15,Sample X183,98654,
H,16,Sample X184,95158,
H,17,Sample X185,75744,
H,18,Sample X186,64994,
H,19,Sample X187,53681,
H,20,Sample X188,59623,
H,21,Sample X189,78474,
H,22,Sample X190,102750,
H,23,Sample X191,119935,
H,24,Sample X192,122767,
I,1,Sample X193,132237,
I,2,Sample X194,143849,
I,3,Sample X195,133382,
I,4,Sample X196,130024,
I,5,Sample X197,121411,
I,6,Sample X198,120244,
I,7,Sample X199,118417,
I,8,Sample X200,116056,
I,9,Sample X201,109402,
I,10,Sample X202,109529,
I,11,Sample X203,109482,
I,12,Sample X204,82910,
I,13,Sample X205,43279,
I,14,Sample X206,53442,
I,15,Sample X207,68086,
I,16,Sample X208,83176,
I,17,Sample X209,82783,
I,18,Sample X210,64746,
I,19,Sample X211,57578,
I,20,Sample X212,70421,
I,21,Sample X213,90551,
I,22,Sample X214,106553,
I,23,Sample X215,116936,
I,24,Sample X216,120467,
J,1,Sample X217,141309,
J,2,Sample X218,124985,
J,3,Sample X219,128498,
J,4,Sample X220,130420,
J,5,Sample X221,132202,
J,6,Sample X222,127877,
J,7,Sample X223,126532,
J,8,Sample X224,119523,
J,9,Sample X225,101517,
J,10,Sample X226,112536,
J,11,Sample X227,111962,
J,12,Sample X228,93902,
J,13,Sample X229,91615,
J,14,Sample X230,97990,
J,15,Sample X231,101095,
J,16,Sample X232,98371,
J,17,Sample X233,104267,
J,18,Sample X234,80476,
J,19,Sample X235,67002,
J,20,Sample X236,77810,
J,21,Sample X237,94287,
J,22,Sample X238,110338,
J,23,Sample X239,116895,
J,24,Sample X240,126833,
K,1,Sample X241,136232,
K,2,Sample X242,110839,
K,3,Sample X243,114656,
K,4,Sample X244,122728,
K,5,Sample X245,126401,
K,6,Sample X246,124653,
K,7,Sample X247,120028,
K,8,Sample X248,119137,
K,9,Sample X249,118553,
K,10,Sample X250,114997,
K,11,Sample X251,116502,
K,12,Sample X252,112572,
K,13,Sample X253,100431,
K,14,Sample X254,92680,
K,15,Sample X255,82800,
K,16,Sample X256,95577,
K,17,Sample X257,101333,
K,18,Sample X258,78530,
K,19,Sample X259,80634,
K,20,Sample X260,61010,
K,21,Sample X261,94663,
