Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,134895,
A,2,Sample X2,134237,
A,3,Sample X3,132922,
A,4,Sample X4,136295,
A,5,Sample X5,139344,
A,6,Sample X6,138637,
A,7,Sample X7,138339,
A,8,Sample X8,134385,
A,9,Sample X9,2100,
A,10,Sample X10,2244,
A,11,Sample X11,2167,
A,12,Sample X12,2177,
A,13,Sample X13,2310,
A,14,Sample X14,33302,
A,15,Sample X15,48394,
A,16,Sample X16,96264,
A,17,Sample X17,112222,
A,18,Sample X18,130650,
A,19,Sample X19,132240,
A,20,Sample X20,132498,
A,21,Sample X21,139756,
A,22,Sample X22,142816,
A,23,Sample X23,143001,
A,24,Sample X24,142822,
B,1,Sample X25,143259,
B,2,Sample X26,143212,
B,3,Sample X27,138317,
B,4,Sample X28,141027,
B,5,Sample X29,140943,
B,6,Sample X30,140169,
B,7,Sample X31,136846,
B,8,Sample X32,134566,
B,9,Sample X33,130754,
B,10,Sample X34,127576,
B,11,Sample X35,129786,
B,12,Sample X36,131551,
B,13,Sample X37,123766,
B,14,Sample X38,131790,
B,15,Sample X39,127785,
B,16,Sample X40,137150,
B,17,Sample X41,138144,
B,18,Sample X42,137495,
B,19,Sample X43,135428,
B,20,Sample X44,134395,
B,21,Sample X45,139990,
B,22,Sample X46,142966,
B,23,Sample X47,144525,
B,24,Sample X48,142410,
C,1,Sample X49,141881,
C,2,Sample X50,149077,
C,3,Sample X51,146674,
C,4,Sample X52,143186,
C,5,Sample X53,138916,
C,6,Sample X54,130181,
C,7,Sample X55,131964,
C,8,Sample X56,129486,
C,9,Sample X57,114666,
C,10,Sample X58,129182,
C,11,Sample X59,130739,
C,12,Sample X60,133660,
C,13,Sample X61,106955,
C,14,Sample X62,129548,
C,15,Sample X63,137083,
C,16,Sample X64,136727,
C,17,Sample X65,136475,
C,18,Sample X66,138936,
C,19,Sample X67,143238,
C,20,Sample X68,142948,
C,21,Sample X69,143064,
C,22,Sample X70,145446,
C,23,Sample X71,145453,
C,24,Sample X72,145347,
D,1,Sample X73,142675,
D,2,Sample X74,144341,
D,3,Sample X75,137261,
D,4,Sample X76,139066,
D,5,Sample X77,133306,
D,6,Sample X78,133856,
D,7,Sample X79,122105,
D,8,Sample X80,118608,
D,9,Sample X81,108985,
D,10,Sample X82,113318,
D,11,Sample X83,115326,
D,12,Sample X84,113325,
D,13,Sample X85,123866,
D,14,Sample X86,129818,
D,15,Sample X87,124346,
D,16,Sample X88,126561,
D,17,Sample X89,130921,
D,18,Sample X90,141946,
D,19,Sample X91,139891,
D,20,Sample X92,141925,
D,21,Sample X93,145924,
D,22,Sample X94,142202,
D,23,Sample X95,145809,
D,24,Sample X96,146511,
E,1,Sample X97,141099,
E,2,Sample X98,138527,
E,3,Sample X99,137524,
E,4,Sample X100,138564,
E,5,Sample X101,137688,
E,6,Sample X102,128732,
E,7,Sample X103,111689,
E,8,Sample X104,117432,
E,9,Sample X105,127312,
E,10,Sample X106,116886,
E,11,Sample X107,115378,
E,12,Sample X108,112389,
E,13,Sample X109,107890,
E,14,Sample X110,131899,
E,15,Sample X111,131842,
E,16,Sample X112,136708,
E,17,Sample X113,134613,
E,18,Sample X114,138734,
E,19,Sample X115,142364,
E,20,Sample X116,140136,
E,21,Sample X117,144012,
E,22,Sample X118,141524,
E,23,Sample X119,148878,
E,24,Sample X120,145318,
F,1,Sample X121,143667,
F,2,Sample X122,99385,
F,3,Sample X123,117030,
F,4,Sample X124,130943,
F,5,Sample X125,125376,
F,6,Sample X126,113232,
F,7,Sample X127,116986,
F,8,Sample X128,107744,
F,9,Sample X129,120066,
F,10,Sample X130,116434,
F,11,Sample X131,121354,
F,12,Sample X132,106086,
F,13,Sample X133,78380,
F,14,Sample X134,93118,
F,15,Sample X135,121104,
F,16,Sample X136,119324,
F,17,Sample X137,136061,
F,18,Sample X138,138780,
F,19,Sample X139,134601,
F,20,Sample X140,138294,
F,21,Sample X141,146627,
F,22,Sample X142,145452,
F,23,Sample X143,150012,
F,24,Sample X144,148218,
G,1,Sample X145,143092,
G,2,Sample X146,141822,
G,3,Sample X147,141170,
G,4,Sample X148,134487,
G,5,Sample X149,130747,
G,6,Sample X150,111804,
G,7,Sample X151,127628,
G,8,Sample X152,122136,
G,9,Sample X153,118247,
G,10,Sample X154,92764,
G,11,Sample X155,121134,
G,12,Sample X156,115703,
G,13,Sample X157,73449,
G,14,Sample X158,100261,
G,15,Sample X159,103110,
G,16,Sample X160,121141,
G,17,Sample X161,121718,
G,18,Sample X162,137280,
G,19,Sample X163,142912,
G,20,Sample X164,146507,
G,21,Sample X165,145093,
G,22,Sample X166,145047,
G,23,Sample X167,149122,
G,24,Sample X168,148702,
H,1,Sample X169,142072,
H,2,Sample X170,131597,
H,3,Sample X171,134929,
H,4,Sample X172,125799,
H,5,Sample X173,118428,
H,6,Sample X174,111307,
H,7,Sample X175,114316,
H,8,Sample X176,102411,
H,9,Sample X177,72392,
H,10,Sample X178,114457,
H,11,Sample X179,106832,
H,12,Sample X180,112917,
H,13,Sample X181,77966,
H,14,Sample X182,92151,
H,15,Sample X183,104632,
H,16,Sample X184,112092,
H,17,Sample X185,110009,
H,18,Sample X186,106508,
H,19,Sample X187,131875,
H,20,Sample X188,138200,
H,21,Sample X189,144699,
H,22,Sample X190,145746,
H,23,Sample X191,150210,
H,24,Sample X192,141503,
I,1,Sample X193,142514,
I,2,Sample X194,135650,
I,3,Sample X195,132110,
I,4,Sample X196,140456,
I,5,Sample X197,128400,
