Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,174491,
A,2,Sample X2,175170,
A,3,Sample X3,178843,
A,4,Sample X4,171589,
A,5,Sample X5,179473,
A,6,Sample X6,172851,
A,7,Sample X7,171846,
A,8,Sample X8,175532,
A,9,Sample X9,2756,
A,10,Sample X10,2707,
A,11,Sample X11,2649,
A,12,Sample X12,2647,
A,13,Sample X13,3042,
A,14,Sample X14,6701,
A,15,Sample X15,38450,
A,16,Sample X16,116949,
A,17,Sample X17,152150,
A,18,Sample X18,150624,
A,19,Sample X19,163609,
A,20,Sample X20,171188,
A,21,Sample X21,168602,
A,22,Sample X22,177795,
A,23,Sample X23,171532,
A,24,Sample X24,174259,
B,1,Sample X25,172579,
B,2,Sample X26,177097,
B,3,Sample X27,175395,
B,4,Sample X28,168048,
B,5,Sample X29,173849,
B,6,Sample X30,165659,
B,7,Sample X31,164742,
B,8,Sample X32,173534,
B,9,Sample X33,173967,
B,10,Sample X34,171580,
B,11,Sample X35,170125,
B,12,Sample X36,161470,
B,13,Sample X37,164996,
B,14,Sample X38,165199,
B,15,Sample X39,167281,
B,16,Sample X40,166787,
B,17,Sample X41,171704,
B,18,Sample X42,170660,
B,19,Sample X43,173583,
B,20,Sample X44,173065,
B,21,Sample X45,173426,
B,22,Sample X46,171687,
B,23,Sample X47,173917,
B,24,Sample X48,174449,
C,1,Sample X49,171465,
C,2,Sample X50,172057,
C,3,Sample X51,171675,
C,4,Sample X52,175853,
C,5,Sample X53,168736,
C,6,Sample X54,169863,
C,7,Sample X55,175206,
C,8,Sample X56,166748,
C,9,Sample X57,171134,
C,10,Sample X58,168935,
C,11,Sample X59,167939,
C,12,Sample X60,174159,
C,13,Sample X61,173753,
C,14,Sample X62,171894,
C,15,Sample X63,173331,
C,16,Sample X64,166031,
C,17,Sample X65,175765,
C,18,Sample X66,170579,
C,19,Sample X67,172474,
C,20,Sample X68,169118,
C,21,Sample X69,177001,
C,22,Sample X70,170796,
C,23,Sample X71,177653,
C,24,Sample X72,174610,
D,1,Sample X73,174296,
D,2,Sample X74,141558,
D,3,Sample X75,161077,
D,4,Sample X76,171404,
D,5,Sample X77,163250,
D,6,Sample X78,170252,
D,7,Sample X79,170556,
D,8,Sample X80,169945,
D,9,Sample X81,169467,
D,10,Sample X82,166823,
D,11,Sample X83,166661,
D,12,Sample X84,160603,
D,13,Sample X85,166157,
D,14,Sample X86,157113,
D,15,Sample X87,162634,
D,16,Sample X88,167443,
D,17,Sample X89,170995,
D,18,Sample X90,167848,
D,19,Sample X91,170784,
D,20,Sample X92,173977,
D,21,Sample X93,173696,
D,22,Sample X94,173043,
D,23,Sample X95,178273,
D,24,Sample X96,175259,
E,1,Sample X97,176082,
E,2,Sample X98,192137,
E,3,Sample X99,184286,
E,4,Sample X100,177402,
E,5,Sample X101,176367,
E,6,Sample X102,172624,
E,7,Sample X103,179262,
E,8,Sample X104,172076,
E,9,Sample X105,171237,
E,10,Sample X106,168054,
E,11,Sample X107,169935,
E,12,Sample X108,169612,
E,13,Sample X109,158163,
E,14,Sample X110,157866,
E,15,Sample X111,173232,
E,16,Sample X112,161885,
E,17,Sample X113,167771,
E,18,Sample X114,170381,
E,19,Sample X115,175026,
E,20,Sample X116,177269,
E,21,Sample X117,178651,
E,22,Sample X118,175288,
E,23,Sample X119,170492,
E,24,Sample X120,179507,
F,1,Sample X121,177328,
F,2,Sample X122,177947,
F,3,Sample X123,175308,
F,4,Sample X124,169130,
F,5,Sample X125,164888,
F,6,Sample X126,168338,
F,7,Sample X127,167589,
F,8,Sample X128,163436,
F,9,Sample X129,159533,
F,10,Sample X130,172519,
F,11,Sample X131,169709,
F,12,Sample X132,174253,
F,13,Sample X133,2373,
F,14,Sample X134,3198,
F,15,Sample X135,134097,
F,16,Sample X136,170878,
F,17,Sample X137,172952,
F,18,Sample X138,166761,
F,19,Sample X139,170653,
F,20,Sample X140,173991,
F,21,Sample X141,168523,
F,22,Sample X142,173098,
F,23,Sample X143,175173,
F,24,Sample X144,176032,
G,1,Sample X145,169346,
G,2,Sample X146,3384,
G,3,Sample X147,3350,
G,4,Sample X148,3506,
G,5,Sample X149,133696,
G,6,Sample X150,168105,
G,7,Sample X151,178869,
G,8,Sample X152,180353,
G,9,Sample X153,176140,
G,10,Sample X154,174674,
G,11,Sample X155,173234,
G,12,Sample X156,173797,
G,13,Sample X157,172660,
G,14,Sample X158,160992,
G,15,Sample X159,159460,
G,16,Sample X160,171582,
G,17,Sample X161,176284,
G,18,Sample X162,175114,
G,19,Sample X163,175729,
G,20,Sample X164,171735,
G,21,Sample X165,173640,
G,22,Sample X166,179989,
G,23,Sample X167,181809,
G,24,Sample X168,177209,
H,1,Sample X169,185653,
H,2,Sample X170,169079,
H,3,Sample X171,174793,
H,4,Sample X172,172244,
H,5,Sample X173,170195,
H,6,Sample X174,171809,
H,7,Sample X175,179222,
H,8,Sample X176,177967,
H,9,Sample X177,172567,
H,10,Sample X178,175154,
H,11,Sample X179,161822,
H,12,Sample X180,168492,
H,13,Sample X181,161584,
H,14,Sample X182,160337,
H,15,Sample X183,173814,
H,16,Sample X184,171996,
H,17,Sample X185,177771,
H,18,Sample X186,168086,
H,19,Sample X187,166344,
H,20,Sample X188,173777,
H,21,Sample X189,173293,
H,22,Sample X190,179343,
H,23,Sample X191,174141,
H,24,Sample X192,179882,
I,1,Sample X193,183174,
I,2,Sample X194,3267,
I,3,Sample X195,10011,
I,4,Sample X196,167845,
I,5,Sample X197,176687,
I,6,Sample X198,178257,
I,7,Sample X199,170844,
I,8,Sample X200,174482,
I,9,Sample X201,177488,
I,10,Sample X202,170143,
I,11,Sample X203,174447,
I,12,Sample X204,170201,
I,13,Sample X205,142211,
I,14,Sample X206,143292,
I,15,Sample X207,142192,
I,16,Sample X208,155202,
I,17,Sample X209,165673,
I,18,Sample X210,165936,
I,19,Sample X211,178429,
I,20,Sample X212,175804,
I,21,Sample X213,177579,
I,22,Sample X214,182477,
I,23,Sample X215,184358,
I,24,Sample X216,180712,
J,1,Sample X217,180734,
J,2,Sample X218,177059,
J,3,Sample X219,177237,
J,4,Sample X220,174332,
J,5,Sample X221,175329,
J,6,Sample X222,168613,
J,7,Sample X223,177586,
J,8,Sample X224,178701,
J,9,Sample X225,169761,
J,10,Sample X226,163921,
J,11,Sample X227,181043,
J,12,Sample X228,169637,
J,13,Sample X229,171188,
J,14,Sample X230,169353,
J,15,Sample X231,171190,
J,16,Sample X232,178472,
J,17,Sample X233,175216,
J,18,Sample X234,169751,
J,19,Sample X235,170837,
J,20,Sample X236,173514,
J,21,Sample X237,176871,
J,22,Sample X238,179304,
J,23,Sample X239,177559,
J,24,Sample X240,181010,
K,1,Sample X241,182568,
K,2,Sample X242,143738,
K,3,Sample X243,156534,
K,4,Sample X244,172701,
K,5,Sample X245,172576,
K,6,Sample X246,173319,
K,7,Sample X247,170801,
K,8,Sample X248,167022,
K,9,Sample X249,166342,
K,10,Sample X250,164500,
K,11,Sample X251,169818,
K,12,Sample X252,173824,
K,13,Sample X253,166051,
K,14,Sample X254,161372,
K,15,Sample X255,159321,
K,16,Sample X256,169763,
K,17,Sample X257,164489,
K,18,Sample X258,171513,
K,19,Sample X259,167453,
K,20,Sample X260,178532,
K,21,Sample X261,176147,
K,22,Sample X262,177412,
K,23,Sample X263,178345,
K,24,Sample X264,183383,
L,1,Sample X265,181147,
L,2,Sample X266,179976,
L,3,Sample X267,178111,
L,4,Sample X268,179521,
L,5,Sample X269,174630,
L,6,Sample X270,179003,
L,7,Sample X271,179135,
L,8,Sample X272,169227,
L,9,Sample X273,167409,
L,10,Sample X274,166054,
L,11,Sample X275,166661,
L,12,Sample X276,171563,
L,13,Sample X277,165698,
L,14,Sample X278,168680,
L,15,Sample X279,168901,
L,16,Sample X280,166966,
L,17,Sample X281,173014,
L,18,Sample X282,167085,
L,19,Sample X283,174621,
L,20,Sample X284,177883,
L,21,Sample X285,179004,
L,22,Sample X286,180854,
L,23,Sample X287,180910,
L,24,Sample X288,184467,
M,1,Sample X289,184107,
M,2,Sample X290,175636,
