Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,130423,
A,2,Sample X2,123039,
A,3,Sample X3,127667,
A,4,Sample X4,126001,
A,5,Sample X5,127265,
A,6,Sample X6,127446,
A,7,Sample X7,122067,
A,8,Sample X8,123694,
A,9,Sample X9,2114,
A,10,Sample X10,2093,
A,11,Sample X11,2092,
A,12,Sample X12,2101,
A,13,Sample X13,69985,
A,14,Sample X14,91530,
A,15,Sample X15,110521,
A,16,Sample X16,111096,
A,17,Sample X17,119419,
A,18,Sample X18,122822,
A,19,Sample X19,124890,
A,20,Sample X20,127652,
A,21,Sample X21,130396,
A,22,Sample X22,129656,
A,23,Sample X23,129240,
A,24,Sample X24,126162,
B,1,Sample X25,132981,
B,2,Sample X26,138184,
B,3,Sample X27,132671,
B,4,Sample X28,134359,
B,5,Sample X29,128446,
B,6,Sample X30,126623,
B,7,Sample X31,126622,
B,8,Sample X32,128122,
B,9,Sample X33,80434,
B,10,Sample X34,79232,
B,11,Sample X35,80251,
B,12,Sample X36,83038,
B,13,Sample X37,120336,
B,14,Sample X38,130344,
B,15,Sample X39,133225,
B,16,Sample X40,135079,
B,17,Sample X41,132713,
B,18,Sample X42,130757,
B,19,Sample X43,130471,
B,20,Sample X44,130836,
B,21,Sample X45,135128,
B,22,Sample X46,135696,
B,23,Sample X47,131020,
B,24,Sample X48,131163,
C,1,Sample X49,132266,
C,2,Sample X50,133474,
C,3,Sample X51,136930,
C,4,Sample X52,132956,
C,5,Sample X53,127921,
C,6,Sample X54,122920,
C,7,Sample X55,121384,
C,8,Sample X56,122842,
C,9,Sample X57,110123,
C,10,Sample X58,118714,
C,11,Sample X59,120717,
C,12,Sample X60,123447,
C,13,Sample X61,119799,
C,14,Sample X62,120485,
C,15,Sample X63,123942,
C,16,Sample X64,124752,
C,17,Sample X65,128184,
C,18,Sample X66,129242,
C,19,Sample X67,123918,
C,20,Sample X68,132533,
C,21,Sample X69,131070,
C,22,Sample X70,132224,
C,23,Sample X71,135625,
C,24,Sample X72,138665,
D,1,Sample X73,129733,
D,2,Sample X74,111803,
D,3,Sample X75,126757,
D,4,Sample X76,124623,
D,5,Sample X77,118148,
D,6,Sample X78,114662,
D,7,Sample X79,115018,
D,8,Sample X80,109718,
D,9,Sample X81,121022,
D,10,Sample X82,117504,
D,11,Sample X83,117380,
D,12,Sample X84,115755,
D,13,Sample X85,120868,
D,14,Sample X86,113601,
D,15,Sample X87,107433,
D,16,Sample X88,109443,
D,17,Sample X89,118257,
D,18,Sample X90,127137,
D,19,Sample X91,125195,
D,20,Sample X92,132708,
D,21,Sample X93,135322,
D,22,Sample X94,137883,
D,23,Sample X95,136403,
D,24,Sample X96,133952,
E,1,Sample X97,136917,
E,2,Sample X98,157425,
E,3,Sample X99,144027,
E,4,Sample X100,127963,
E,5,Sample X101,110952,
E,6,Sample X102,95246,
E,7,Sample X103,103364,
E,8,Sample X104,100151,
E,9,Sample X105,100904,
E,10,Sample X106,87551,
E,11,Sample X107,107449,
E,12,Sample X108,99285,
E,13,Sample X109,98985,
E,14,Sample X110,104750,
E,15,Sample X111,120063,
E,16,Sample X112,104125,
E,17,Sample X113,110585,
E,18,Sample X114,121253,
E,19,Sample X115,118149,
E,20,Sample X116,122602,
E,21,Sample X117,133475,
E,22,Sample X118,139831,
E,23,Sample X119,138474,
E,24,Sample X120,130654,
F,1,Sample X121,136316,
F,2,Sample X122,142363,
F,3,Sample X123,127332,
F,4,Sample X124,122578,
F,5,Sample X125,101537,
F,6,Sample X126,92546,
F,7,Sample X127,88663,
F,8,Sample X128,95361,
F,9,Sample X129,93943,
F,10,Sample X130,86787,
F,11,Sample X131,87735,
F,12,Sample X132,76658,
F,13,Sample X133,2506,
F,14,Sample X134,2524,
F,15,Sample X135,78911,
F,16,Sample X136,104113,
F,17,Sample X137,111778,
F,18,Sample X138,100254,
F,19,Sample X139,109641,
F,20,Sample X140,121098,
F,21,Sample X141,135227,
F,22,Sample X142,131976,
F,23,Sample X143,132550,
F,24,Sample X144,140243,
G,1,Sample X145,137653,
G,2,Sample X146,2738,
G,3,Sample X147,2704,
G,4,Sample X148,2719,
G,5,Sample X149,63358,
G,6,Sample X150,82475,
G,7,Sample X151,67411,
G,8,Sample X152,75181,
G,9,Sample X153,78008,
G,10,Sample X154,88731,
G,11,Sample X155,80506,
G,12,Sample X156,90183,
G,13,Sample X157,86706,
G,14,Sample X158,94834,
G,15,Sample X159,93169,
G,16,Sample X160,105236,
G,17,Sample X161,84606,
G,18,Sample X162,103865,
G,19,Sample X163,96425,
G,20,Sample X164,118979,
G,21,Sample X165,135566,
G,22,Sample X166,133794,
G,23,Sample X167,136449,
G,24,Sample X168,137801,
H,1,Sample X169,139409,
H,2,Sample X170,131304,
H,3,Sample X171,128262,
H,4,Sample X172,120267,
H,5,Sample X173,89885,
H,6,Sample X174,69724,
H,7,Sample X175,76525,
H,8,Sample X176,65649,
H,9,Sample X177,69021,
H,10,Sample X178,78144,
H,11,Sample X179,86526,
H,12,Sample X180,81166,
H,13,Sample X181,87466,
H,14,Sample X182,87413,
H,15,Sample X183,94344,
H,16,Sample X184,90363,
H,17,Sample X185,82037,
H,18,Sample X186,86898,
H,19,Sample X187,99414,
H,20,Sample X188,109078,
H,21,Sample X189,131729,
H,22,Sample X190,138573,
H,23,Sample X191,141671,
H,24,Sample X192,136276,
I,1,Sample X193,137817,
I,2,Sample X194,78607,
I,3,Sample X195,121633,
I,4,Sample X196,118591,
I,5,Sample X197,93274,
I,6,Sample X198,77199,
I,7,Sample X199,71970,
I,8,Sample X200,82986,
I,9,Sample X201,71047,
I,10,Sample X202,73826,
I,11,Sample X203,76999,
I,12,Sample X204,74863,
I,13,Sample X205,53653,
I,14,Sample X206,53627,
I,15,Sample X207,71911,
I,16,Sample X208,81604,
I,17,Sample X209,88801,
I,18,Sample X210,99520,
I,19,Sample X211,105611,
I,20,Sample X212,111578,
I,21,Sample X213,132801,
I,22,Sample X214,136967,
I,23,Sample X215,137907,
I,24,Sample X216,138341,
J,1,Sample X217,135909,
J,2,Sample X218,135801,
J,3,Sample X219,131924,
J,4,Sample X220,115128,
J,5,Sample X221,88146,
J,6,Sample X222,77275,
J,7,Sample X223,67900,
J,8,Sample X224,77596,
J,9,Sample X225,63833,
J,10,Sample X226,69421,
J,11,Sample X227,60718,
J,12,Sample X228,77056,
J,13,Sample X229,82074,
J,14,Sample X230,76479,
J,15,Sample X231,86434,
J,16,Sample X232,86323,
J,17,Sample X233,101516,
J,18,Sample X234,104517,
J,19,Sample X235,102817,
J,20,Sample X236,120415,
J,21,Sample X237,133005,
J,22,Sample X238,139891,
J,23,Sample X239,140559,
J,24,Sample X240,136926,
K,1,Sample X241,130759,
K,2,Sample X242,105501,
K,3,Sample X243,111905,
K,4,Sample X244,112418,
K,5,Sample X245,101263,
K,6,Sample X246,79345,
K,7,Sample X247,84383,
K,8,Sample X248,83065,
K,9,Sample X249,79544,
K,10,Sample X250,89643,
K,11,Sample X251,86267,
K,12,Sample X252,81420,
K,13,Sample X253,74658,
K,14,Sample X254,78946,
K,15,Sample X255,89109,
K,16,Sample X256,90976,
K,17,Sample X257,106200,
K,18,Sample X258,101645,
K,19,Sample X259,120756,
K,20,Sample X260,122479,
K,21,Sample X261,135856,
K,22,Sample X262,137579,
K,23,Sample X263,141448,
K,24,Sample X264,136801,
L,1,Sample X265,135289,
L,2,Sample X266,127435,
L,3,Sample X267,123959,
L,4,Sample X268,124143,
L,5,Sample X269,118259,
L,6,Sample X270,92602,
L,7,Sample X271,100929,
L,8,Sample X272,93646,
L,9,Sample X273,87488,
L,10,Sample X274,103712,
L,11,Sample X275,96647,
L,12,Sample X276,86918,
L,13,Sample X277,92073,
L,14,Sample X278,99316,
L,15,Sample X279,109911,
L,16,Sample X280,111845,
L,17,Sample X281,116868,
L,18,Sample X282,112871,
L,19,Sample X283,112191,
L,20,Sample X284,127798,
L,21,Sample X285,133606,
L,22,Sample X286,139225,
L,23,Sample X287,138548,
L,24,Sample X288,139966,
M,1,Sample X289,132422,
M,2,Sample X290,131074,
M,3,Sample X291,123832,
M,4,Sample X292,128586,
M,5,Sample X293,122761,
M,6,Sample X294,114538,
M,7,Sample X295,110180,
M,8,Sample X296,116920,
M,9,Sample X297,118010,
M,10,Sample X298,116226,
