Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,157303,
A,2,Sample X2,162142,
A,3,Sample X3,158492,
A,4,Sample X4,157997,
A,5,Sample X5,159958,
A,6,Sample X6,164093,
A,7,Sample X7,163114,
A,8,Sample X8,153801,
A,9,Sample X9,2291,
A,10,Sample X10,2328,
A,11,Sample X11,2324,
A,12,Sample X12,2249,
A,13,Sample X13,4467,
A,14,Sample X14,6853,
A,15,Sample X15,48996,
A,16,Sample X16,104440,
A,17,Sample X17,133458,
A,18,Sample X18,142732,
A,19,Sample X19,152677,
A,20,Sample X20,148694,
A,21,Sample X21,155157,
A,22,Sample X22,158569,
A,23,Sample X23,163021,
A,24,Sample X24,152446,
B,1,Sample X25,153679,
B,2,Sample X26,159467,
B,3,Sample X27,158068,
B,4,Sample X28,158449,
B,5,Sample X29,156192,
B,6,Sample X30,159712,
B,7,Sample X31,163302,
B,8,Sample X32,158316,
B,9,Sample X33,150357,
B,10,Sample X34,148084,
B,11,Sample X35,159344,
B,12,Sample X36,160506,
B,13,Sample X37,156936,
B,14,Sample X38,150542,
B,15,Sample X39,159108,
B,16,Sample X40,155659,
B,17,Sample X41,149888,
B,18,Sample X42,150741,
B,19,Sample X43,152485,
B,20,Sample X44,157906,
B,21,Sample X45,158980,
B,22,Sample X46,161348,
B,23,Sample X47,159003,
B,24,Sample X48,156827,
C,1,Sample X49,156338,
C,2,Sample X50,2741,
C,3,Sample X51,2852,
C,4,Sample X52,83359,
C,5,Sample X53,151739,
C,6,Sample X54,153334,
C,7,Sample X55,159147,
C,8,Sample X56,156666,
C,9,Sample X57,154245,
C,10,Sample X58,153665,
C,11,Sample X59,149072,
C,12,Sample X60,153779,
C,13,Sample X61,151445,
C,14,Sample X62,158094,
C,15,Sample X63,158157,
C,16,Sample X64,150031,
C,17,Sample X65,155318,
C,18,Sample X66,153302,
C,19,Sample X67,148252,
C,20,Sample X68,150801,
C,21,Sample X69,151201,
C,22,Sample X70,149400,
C,23,Sample X71,148043,
C,24,Sample X72,146605,
D,1,Sample X73,158310,
D,2,Sample X74,4805,
D,3,Sample X75,73836,
D,4,Sample X76,139013,
D,5,Sample X77,159946,
D,6,Sample X78,155943,
D,7,Sample X79,156752,
D,8,Sample X80,158345,
D,9,Sample X81,149890,
D,10,Sample X82,150139,
D,11,Sample X83,151169,
D,12,Sample X84,151234,
D,13,Sample X85,140203,
D,14,Sample X86,142817,
D,15,Sample X87,147354,
D,16,Sample X88,145114,
D,17,Sample X89,144891,
D,18,Sample X90,149215,
D,19,Sample X91,149284,
D,20,Sample X92,153842,
D,21,Sample X93,153477,
D,22,Sample X94,153142,
D,23,Sample X95,152143,
D,24,Sample X96,147798,
E,1,Sample X97,157083,
E,2,Sample X98,120967,
E,3,Sample X99,147627,
E,4,Sample X100,158318,
E,5,Sample X101,162103,
E,6,Sample X102,159630,
E,7,Sample X103,160432,
E,8,Sample X104,156163,
E,9,Sample X105,155036,
E,10,Sample X106,153792,
E,11,Sample X107,147413,
E,12,Sample X108,144808,
E,13,Sample X109,2856,
E,14,Sample X110,2842,
E,15,Sample X111,2807,
E,16,Sample X112,2856,
E,17,Sample X113,2864,
E,18,Sample X114,2835,
E,19,Sample X115,3005,
E,20,Sample X116,83344,
E,21,Sample X117,145506,
E,22,Sample X118,146207,
E,23,Sample X119,149276,
E,24,Sample X120,147324,
F,1,Sample X121,154041,
F,2,Sample X122,84533,
F,3,Sample X123,131085,
F,4,Sample X124,150186,
F,5,Sample X125,159675,
F,6,Sample X126,162961,
F,7,Sample X127,152508,
F,8,Sample X128,151105,
F,9,Sample X129,155662,
F,10,Sample X130,156223,
F,11,Sample X131,149653,
F,12,Sample X132,143727,
F,13,Sample X133,11040,
F,14,Sample X134,15153,
F,15,Sample X135,23799,
F,16,Sample X136,95746,
F,17,Sample X137,134423,
F,18,Sample X138,85253,
F,19,Sample X139,140206,
F,20,Sample X140,140756,
F,21,Sample X141,147045,
F,22,Sample X142,151587,
F,23,Sample X143,154477,
F,24,Sample X144,148919,
