Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,143117,
A,2,Sample X2,147625,
A,3,Sample X3,148102,
A,4,Sample X4,147933,
A,5,Sample X5,147764,
A,6,Sample X6,147127,
A,7,Sample X7,146210,
A,8,Sample X8,139669,
A,9,Sample X9,2355,
A,10,Sample X10,2350,
A,11,Sample X11,2298,
A,12,Sample X12,2356,
A,13,Sample X13,2560,
A,14,Sample X14,14274,
A,15,Sample X15,33802,
A,16,Sample X16,106221,
A,17,Sample X17,111887,
A,18,Sample X18,133715,
A,19,Sample X19,135474,
A,20,Sample X20,135322,
A,21,Sample X21,137925,
A,22,Sample X22,138035,
A,23,Sample X23,138018,
A,24,Sample X24,123315,
B,1,Sample X25,148655,
B,2,Sample X26,151154,
B,3,Sample X27,153012,
B,4,Sample X28,152031,
B,5,Sample X29,152970,
B,6,Sample X30,144258,
B,7,Sample X31,148692,
B,8,Sample X32,146406,
B,9,Sample X33,151703,
B,10,Sample X34,144174,
B,11,Sample X35,145151,
B,12,Sample X36,135247,
B,13,Sample X37,138970,
B,14,Sample X38,141517,
B,15,Sample X39,137263,
B,16,Sample X40,136392,
B,17,Sample X41,136168,
B,18,Sample X42,135494,
B,19,Sample X43,143479,
B,20,Sample X44,142468,
B,21,Sample X45,145287,
B,22,Sample X46,144561,
B,23,Sample X47,144298,
B,24,Sample X48,141735,
C,1,Sample X49,152310,
C,2,Sample X50,2780,
C,3,Sample X51,2871,
C,4,Sample X52,83153,
C,5,Sample X53,145400,
C,6,Sample X54,153513,
C,7,Sample X55,153493,
C,8,Sample X56,157499,
C,9,Sample X57,152189,
C,10,Sample X58,144194,
C,11,Sample X59,144871,
C,12,Sample X60,147008,
C,13,Sample X61,114903,
C,14,Sample X62,144177,
C,15,Sample X63,144149,
C,16,Sample X64,139009,
C,17,Sample X65,145098,
C,18,Sample X66,138808,
C,19,Sample X67,137024,
C,20,Sample X68,130043,
C,21,Sample X69,138641,
C,22,Sample X70,141196,
C,23,Sample X71,146867,
C,24,Sample X72,133616,
D,1,Sample X73,153231,
D,2,Sample X74,3060,
D,3,Sample X75,46359,
D,4,Sample X76,115563,
D,5,Sample X77,155900,
D,6,Sample X78,150278,
D,7,Sample X79,151104,
D,8,Sample X80,149958,
D,9,Sample X81,146255,
D,10,Sample X82,141894,
D,11,Sample X83,141607,
D,12,Sample X84,138925,
D,13,Sample X85,132362,
D,14,Sample X86,118394,
D,15,Sample X87,119181,
D,16,Sample X88,130986,
D,17,Sample X89,137389,
D,18,Sample X90,137972,
D,19,Sample X91,141318,
D,20,Sample X92,130486,
D,21,Sample X93,137349,
D,22,Sample X94,141423,
D,23,Sample X95,143718,
D,24,Sample X96,140521,
E,1,Sample X97,147065,
E,2,Sample X98,116352,
E,3,Sample X99,141756,
E,4,Sample X100,146257,
E,5,Sample X101,149338,
E,6,Sample X102,149885,
E,7,Sample X103,148555,
E,8,Sample X104,148339,
E,9,Sample X105,143333,
E,10,Sample X106,146527,
E,11,Sample X107,145729,
E,12,Sample X108,133838,
E,13,Sample X109,2799,
E,14,Sample X110,2819,
E,15,Sample X111,2785,
E,16,Sample X112,2817,
E,17,Sample X113,2849,
E,18,Sample X114,2838,
E,19,Sample X115,2855,
E,20,Sample X116,35724,
E,21,Sample X117,131803,
E,22,Sample X118,137850,
E,23,Sample X119,141862,
E,24,Sample X120,136058,
F,1,Sample X121,150078,
F,2,Sample X122,90892,
F,3,Sample X123,130708,
F,4,Sample X124,145366,
F,5,Sample X125,152347,
F,6,Sample X126,149874,
F,7,Sample X127,152262,
F,8,Sample X128,147921,
F,9,Sample X129,149464,
F,10,Sample X130,148617,
F,11,Sample X131,138533,
F,12,Sample X132,133679,
F,13,Sample X133,17608,
F,14,Sample X134,22292,
F,15,Sample X135,52776,
F,16,Sample X136,90822,
F,17,Sample X137,125007,
F,18,Sample X138,91534,
F,19,Sample X139,131680,
F,20,Sample X140,132216,
F,21,Sample X141,130636,
F,22,Sample X142,138719,
F,23,Sample X143,138158,
F,24,Sample X144,139547,
G,1,Sample X145,148140,
G,2,Sample X146,31236,
G,3,Sample X147,113539,
G,4,Sample X148,133827,
G,5,Sample X149,149664,
G,6,Sample X150,153654,
G,7,Sample X151,152757,
G,8,Sample X152,153005,
G,9,Sample X153,145448,
G,10,Sample X154,146934,
G,11,Sample X155,145976,
G,12,Sample X156,144318,
G,13,Sample X157,140380,
G,14,Sample X158,136302,
G,15,Sample X159,135075,
G,16,Sample X160,129978,
G,17,Sample X161,128458,
G,18,Sample X162,135301,
G,19,Sample X163,138733,
G,20,Sample X164,139075,
G,21,Sample X165,136917,
G,22,Sample X166,141877,
G,23,Sample X167,144026,
G,24,Sample X168,140516,
H,1,Sample X169,144916,
H,2,Sample X170,153825,
H,3,Sample X171,157018,
H,4,Sample X172,150386,
H,5,Sample X173,149697,
H,6,Sample X174,150527,
H,7,Sample X175,146207,
H,8,Sample X176,152398,
H,9,Sample X177,147332,
H,10,Sample X178,139261,
H,11,Sample X179,144066,
H,12,Sample X180,136552,
H,13,Sample X181,140316,
H,14,Sample X182,142476,
H,15,Sample X183,136431,
H,16,Sample X184,133722,
H,17,Sample X185,136796,
H,18,Sample X186,141350,
H,19,Sample X187,134719,
H,20,Sample X188,137788,
H,21,Sample X189,138026,
H,22,Sample X190,141471,
H,23,Sample X191,148102,
H,24,Sample X192,139241,
I,1,Sample X193,153866,
I,2,Sample X194,150447,
I,3,Sample X195,156774,
I,4,Sample X196,156191,
I,5,Sample X197,153970,
I,6,Sample X198,147270,
I,7,Sample X199,146205,
I,8,Sample X200,144840,
I,9,Sample X201,145932,
I,10,Sample X202,131208,
I,11,Sample X203,133728,
I,12,Sample X204,132258,
I,13,Sample X205,2776,
I,14,Sample X206,7472,
I,15,Sample X207,98664,
I,16,Sample X208,132439,
I,17,Sample X209,140903,
I,18,Sample X210,140609,
I,19,Sample X211,143610,
I,20,Sample X212,145585,
I,21,Sample X213,142399,
I,22,Sample X214,148684,
I,23,Sample X215,147253,
I,24,Sample X216,145011,
J,1,Sample X217,145550,
J,2,Sample X218,151207,
J,3,Sample X219,150893,
J,4,Sample X220,148229,
J,5,Sample X221,149123,
J,6,Sample X222,144704,
J,7,Sample X223,146529,
J,8,Sample X224,150573,
J,9,Sample X225,147117,
J,10,Sample X226,143269,
J,11,Sample X227,138148,
J,12,Sample X228,141488,
J,13,Sample X229,117910,
J,14,Sample X230,131996,
J,15,Sample X231,131534,
J,16,Sample X232,141373,
J,17,Sample X233,149909,
J,18,Sample X234,129655,
J,19,Sample X235,145328,
J,20,Sample X236,142108,
J,21,Sample X237,148332,
J,22,Sample X238,140936,
J,23,Sample X239,145782,
J,24,Sample X240,142935,
K,1,Sample X241,151380,
K,2,Sample X242,3076,
K,3,Sample X243,3020,
K,4,Sample X244,68027,
K,5,Sample X245,141082,
K,6,Sample X246,146382,
K,7,Sample X247,151134,
K,8,Sample X248,153699,
K,9,Sample X249,149288,
K,10,Sample X250,148395,
K,11,Sample X251,146795,
K,12,Sample X252,145506,
K,13,Sample X253,147325,
K,14,Sample X254,139222,
K,15,Sample X255,142404,
K,16,Sample X256,144748,
K,17,Sample X257,148936,
K,18,Sample X258,141691,
K,19,Sample X259,147217,
K,20,Sample X260,147446,
K,21,Sample X261,144358,
K,22,Sample X262,147178,
K,23,Sample X263,151053,
K,24,Sample X264,145739,
L,1,Sample X265,154606,
L,2,Sample X266,151878,
L,3,Sample X267,157345,
L,4,Sample X268,148104,
L,5,Sample X269,154253,
L,6,Sample X270,147249,
L,7,Sample X271,150736,
L,8,Sample X272,154049,
L,9,Sample X273,148536,
L,10,Sample X274,150973,
L,11,Sample X275,150988,
L,12,Sample X276,149478,
L,13,Sample X277,148020,
L,14,Sample X278,147149,
L,15,Sample X279,147842,
L,16,Sample X280,147285,
L,17,Sample X281,144097,
L,18,Sample X282,149085,
L,19,Sample X283,144243,
L,20,Sample X284,143618,
L,21,Sample X285,145712,
L,22,Sample X286,141144,
L,23,Sample X287,144617,
L,24,Sample X288,144487,
M,1,Sample X289,152896,
M,2,Sample X290,133141,
M,3,Sample X291,144068,
M,4,Sample X292,145099,
M,5,Sample X293,145943,
M,6,Sample X294,156450,
M,7,Sample X295,153075,
M,8,Sample X296,148924,
M,9,Sample X297,153828,
M,10,Sample X298,150318,
M,11,Sample X299,150518,
M,12,Sample X300,150861,
M,13,Sample X301,130399,
M,14,Sample X302,141493,
M,15,Sample X303,147230,
M,16,Sample X304,154708,
M,17,Sample X305,152623,
M,18,Sample X306,153585,
M,19,Sample X307,147556,
M,20,Sample X308,151688,
M,21,Sample X309,155259,
M,22,Sample X310,153996,
M,23,Sample X311,157464,
M,24,Sample X312,145884,
N,1,Sample X313,150889,
N,2,Sample X314,67657,
N,3,Sample X315,122550,
N,4,Sample X316,138923,
N,5,Sample X317,140413,
N,6,Sample X318,144682,
N,7,Sample X319,149192,
N,8,Sample X320,147139,
N,9,Sample X321,156476,
N,10,Sample X322,151524,
N,11,Sample X323,149220,
N,12,Sample X324,152510,
N,13,Sample X325,153389,
