Well,Content,Raw Data (No filter),
A01,Sample X1,71897,
A02,Sample X2,60316,
A03,Sample X3,123554,
A04,Sample X4,114513,
A05,Sample X5,20635,
A06,Sample X6,14906,
A07,Sample X7,33480,
A08,Sample X8,42439,
A09,Sample X9,200859,
A10,Sample X10,209785,
A11,Sample X11,78167,
A12,Sample X12,82214,
A13,Sample X13,200218,
A14,Sample X14,144249,
A15,Sample X15,173577,
A16,Sample X16,213422,
A17,Sample X17,10546,
A18,Sample X18,9796,
A19,Sample X19,9384,
A20,Sample X20,10075,
A21,Sample X21,90547,
A22,Sample X22,123173,
A23,Sample X23,70894,
A24,Sample X24,45097,
B01,Sample X25,72592,
B02,Sample X26,50195,
B03,Sample X27,130563,
B04,Sample X28,113541,
B05,Sample X29,17261,
B06,Sample X30,16075,
B07,Sample X31,55819,
B08,Sample X32,49031,
B09,Sample X33,221807,
B10,Sample X34,186810,
B11,Sample X35,99892,
B12,Sample X36,84540,
B13,Sample X37,189091,
B14,Sample X38,184674,
B15,Sample X39,262951,
B16,Sample X40,153330,
B17,Sample X41,9779,
B18,Sample X42,11462,
B19,Sample X43,13906,
B20,Sample X44,14928,
B21,Sample X45,152742,
B22,Sample X46,140117,
B23,Sample X47,77072,
B24,Sample X48,57453,
C01,Sample X49,87215,
C02,Sample X50,50123,
C03,Sample X51,104788,
C04,Sample X52,118074,
C05,Sample X53,17063,
C06,Sample X54,10592,
C07,Sample X55,34067,
C08,Sample X56,37818,
C09,Sample X57,187401,
C10,Sample X58,208391,
C11,Sample X59,70325,
C12,Sample X60,80531,
C13,Sample X61,192781,
C14,Sample X62,120986,
C15,Sample X63,186543,
C16,Sample X64,179432,
C17,Sample X65,12424,
C18,Sample X66,11324,
C19,Sample X67,15945,
C20,Sample X68,15958,
C21,Sample X69,123528,
C22,Sample X70,108336,
C23,Sample X71,79939,
C24,Sample X72,54835,
D01,Sample X73,73815,
D02,Sample X74,48019,
D03,Sample X75,114244,
D04,Sample X76,105945,
D05,Sample X77,11872,
D06,Sample X78,14253,
D07,Sample X79,40297,
D08,Sample X80,30448,
D09,Sample X81,160895,
D10,Sample X82,158484,
D11,Sample X83,77833,
D12,Sample X84,85395,
D13,Sample X85,144593,
D14,Sample X86,146112,
D15,Sample X87,134847,
D16,Sample X88,100769,
D17,Sample X89,9907,
D18,Sample X90,8767,
D19,Sample X91,13026,
D20,Sample X92,14516,
D21,Sample X93,147701,
D22,Sample X94,142283,
D23,Sample X95,73245,
D24,Sample X96,68571,
E01,Sample X97,150905,
E02,Sample X98,115136,
E03,Sample X99,285480,
E04,Sample X100,254522,
E05,Sample X101,13951,
E06,Sample X102,19427,
E07,Sample X103,36885,
E08,Sample X104,34852,
E09,Sample X105,524890,
E10,Sample X106,549585,
E11,Sample X107,249918,
E12,Sample X108,278757,
E13,Sample X109,114479,
E14,Sample X110,146922,
E15,Sample X111,158158,
E16,Sample X112,113457,
E17,Sample X113,25472,
E18,Sample X114,24629,
E19,Sample X115,42461,
E20,Sample X116,43676,
E21,Sample X117,172253,
E22,Sample X118,253612,
E23,Sample X119,98435,
E24,Sample X120,88784,
F01,Sample X121,140201,
F02,Sample X122,96291,
F03,Sample X123,266542,
F04,Sample X124,247504,
F05,Sample X125,20707,
F06,Sample X126,22299,
F07,Sample X127,28795,
F08,Sample X128,29366,
F09,Sample X129,451769,
F10,Sample X130,503573,
F11,Sample X131,223029,
F12,Sample X132,208967,
F13,Sample X133,152370,
F14,Sample X134,125481,
F15,Sample X135,123959,
F16,Sample X136,100953,
F17,Sample X137,22521,
F18,Sample X138,19062,
F19,Sample X139,48636,
F20,Sample X140,46466,
F21,Sample X141,204288,
F22,Sample X142,248990,
F23,Sample X143,110564,
F24,Sample X144,92407,
G01,Sample X145,155697,
G02,Sample X146,92206,
G03,Sample X147,257022,
G04,Sample X148,284903,
G05,Sample X149,17310,
G06,Sample X150,18914,
G07,Sample X151,34659,
G08,Sample X152,28511,
G09,Sample X153,518614,
G10,Sample X154,443396,
G11,Sample X155,209806,
G12,Sample X156,227093,
G13,Sample X157,111204,
G14,Sample X158,106809,
G15,Sample X159,75801,
G16,Sample X160,91733,
G17,Sample X161,17684,
G18,Sample X162,20621,
G19,Sample X163,41801,
G20,Sample X164,45508,
G21,Sample X165,210170,
G22,Sample X166,275613,
G23,Sample X167,106304,
G24,Sample X168,95877,
H01,Sample X169,125580,
H02,Sample X170,106203,
H03,Sample X171,324762,
H04,Sample X172,200354,
H05,Sample X173,17050,
H06,Sample X174,18029,
H07,Sample X175,34250,
H08,Sample X176,41436,
H09,Sample X177,364188,
H10,Sample X178,338621,
H11,Sample X179,224902,
H12,Sample X180,202974,
H13,Sample X181,75033,
H14,Sample X182,118715,
H15,Sample X183,103636,
H16,Sample X184,97475,
H17,Sample X185,22136,
H18,Sample X186,19019,
H19,Sample X187,41424,
H20,Sample X188,43911,
H21,Sample X189,185137,
H22,Sample X190,177417,
H23,Sample X191,88400,
H24,Sample X192,84541,
I01,Sample X193,195110,
I02,Sample X194,170155,
I03,Sample X195,320609,
I04,Sample X196,356131,
I05,Sample X197,23624,
I06,Sample X198,19292,
I07,Sample X199,45214,
I08,Sample X200,30311,
I09,Sample X201,424674,
I10,Sample X202,408795,
I11,Sample X203,230687,
I12,Sample X204,267809,
I13,Sample X205,82416,
I14,Sample X206,82540,
I15,Sample X207,107310,
I16,Sample X208,72168,
I17,Sample X209,26510,
I18,Sample X210,22799,
I19,Sample X211,37107,
