"X","m5id","m4id","aeid","spid","bmad","resp_max","resp_min","max_mean","max_mean_conc","max_med","max_med_conc","logc_max","logc_min","cnst","hill","hcov","gnls","gcov","cnst_er","cnst_aic","cnst_rmse","cnst_prob","hill_tp","hill_tp_sd","hill_ga","hill_ga_sd","hill_gw","hill_gw_sd","hill_er","hill_er_sd","hill_aic","hill_rmse","hill_prob","gnls_tp","gnls_tp_sd","gnls_ga","gnls_ga_sd","gnls_gw","gnls_gw_sd","gnls_la","gnls_la_sd","gnls_lw","gnls_lw_sd","gnls_er","gnls_er_sd","gnls_aic","gnls_rmse","gnls_prob","nconc","npts","nrep","nmed_gtbl","hitc","modl","fitc","coff","actp","modl_er","modl_tp","modl_ga","modl_gw","modl_la","modl_lw","modl_rmse","modl_prob","modl_acc","modl_acb","modl_ac10","chmn"
12329,10482568,10627967,740,"TP0000822F11",2.45637869822485,42.5609756097561,-3.17073170731708,39.2276422764228,2,39.8780487804878,2,2,-0.522878745280338,1,1,1,1,0,2.8238701051574,163.141390021473,20.8309040820461,0.0000000000000000501541235442018,49.0733215811839,6.08667258356498,1.35701809823524,0.146338736052747,0.946250224364979,0.126751117449563,0.620545306601052,0.209102884623738,88.3323841662671,2.13915255333879,0.880797077971073,49.0731578478965,NA,1.3570130542211,NA,0.946254344505574,NA,3.08783274016866,NA,12.6170584903582,NA,0.620541475792324,NA,92.3323841661374,2.13915249709958,0.119202922028927,6,18,3,3,1,"hill",42,20,1,0.620545306601052,49.0733215811839,1.35701809823524,0.946250224364979,NA,NA,2.13915255333879,0.880797077971073,1.18532497498092,0.561495891840405,0.348571828032546,"Fenitrothion"
12354,10482593,10627992,740,"TP0000822D10",2.45637869822485,7.2139303482587,-10.9452736318408,1.7412935323383,-2.52287874528034,1.11940298507463,-1.52287874528034,0,-2.52287874528034,1,NA,NA,NA,NA,1.16767287322988,103.691209072169,4.11326262223035,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,1.16767287322988,NA,NA,NA,NA,NA,4.11326262223035,1,NA,NA,NA,"Procymidone"
12363,10482602,10628001,740,"TP0000822D01",2.45637869822485,23.1990231990232,-11.5995115995116,19.4139194139194,2,20.1465201465201,2,2,-0.522878745280338,1,1,1,1,1,2.02602357146519,135.025445573367,9.79654291443722,0.000498770772747729,19.582572481741,2.79300135939017,1.50522326634028,0.15245749352195,7.99996309376866,41.6620503503111,1.4965702826498,0.209091069815864,120.073571888969,5.23362761379819,0.88035759261174,20.6663917207449,NA,1.50770847911586,NA,7.99996667558209,NA,3.92473844267373,NA,0.652890811995281,NA,1.49658897355354,NA,124.073568658078,5.23362894193496,0.119143636615512,6,18,3,2,0,"hill",21,20,0.999501229227252,1.4965702826498,19.582572481741,1.50522326634028,7.99996309376866,NA,NA,5.23362761379819,0.88035759261174,NA,1.47779547761834,1.38594240238447,"Trifluralin"
12366,10482605,10628004,740,"TP0000822C10",2.45637869822485,3.10945273631841,-3.60696517412936,0.995024875621893,1,1.11940298507463,1,2,-0.522878745280338,1,NA,NA,NA,NA,0.558777340827462,79.7215213798583,1.96921095970778,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,0.558777340827462,NA,NA,NA,NA,NA,1.96921095970778,1,NA,NA,NA,"Ethoprop"
12368,10482607,10628006,740,"TP0000822C08",2.45637869822485,1.7916390179164,-5.37491705374917,-0.420261004202604,-2.52287874528034,1.1280690112807,-1.52287874528034,0,-2.52287874528034,1,NA,NA,NA,NA,0.753257228549819,88.4786108725271,2.62210462225321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,0.753257228549819,NA,NA,NA,NA,NA,2.62210462225321,1,NA,NA,NA,"Diethylstilbestrol"
12375,10482614,10628013,740,"TP0000822C01",2.45637869822485,54.5787545787546,-3.9072039072039,40.2930402930403,1.77815125038364,37.973137973138,1.77815125038364,1.77815125038364,-0.698970004336019,1,1,1,1,1,2.67514263261341,162.193646768306,22.1233643675869,0.00000000239785992820262,37.1193710303453,4.07178916811777,1.187570665744,0.0792242273408826,4.03007325965032,2.25705065366224,1.36542244977911,0.256138806790062,122.750124407814,6.88425638425478,0.880797075613877,37.1191768035189,NA,1.1875640401354,NA,4.02994281466437,NA,3.62021186604577,NA,5.58607247113401,NA,1.36542908214955,NA,126.750124403014,6.88426715589881,0.119202921988263,6,18,3,2,1,"hill",41,20,0.99999999760214,1.36542244977911,37.1193710303453,1.187570665744,4.03007325965032,NA,NA,6.88425638425478,0.880797075613877,1.20433020998995,1.0371828729196,0.950790228278175,"Abamectin"
12397,10482636,10628035,740,"TP0000821H05",2.45637869822485,6.88487584650112,-3.16027088036118,3.27313769751692,2,4.40180586907448,0,2,-0.522878745280338,1,NA,NA,NA,NA,1.04220086204175,97.1036097192227,3.20827774346543,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,1.04220086204175,NA,NA,NA,NA,NA,3.20827774346543,1,NA,NA,NA,"Oxamyl"
12401,10482640,10628039,740,"TP0000821H01",2.45637869822485,11.2426035502959,-4.61538461538462,4.7337278106509,0,4.61538461538461,0,2,-0.522878745280338,1,NA,NA,NA,NA,1.00271975785939,98.4385888615156,3.71542351947762,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,1.00271975785939,NA,NA,NA,NA,NA,3.71542351947762,1,NA,NA,NA,"Simazine"
12426,10482665,10628064,740,"TP0000819E06",2.45637869822485,4.46985446985446,-4.78170478170479,2.14830214830214,0,1.97505197505197,0,0,-2.52287874528034,1,NA,NA,NA,NA,0.544980811423704,81.1093528119103,2.16403267704537,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,0.544980811423704,NA,NA,NA,NA,NA,2.16403267704537,1,NA,NA,NA,"Bisphenol A"
12439,10482678,10628077,740,"TP0000819D05",2.45637869822485,3.63825363825363,-3.95010395010395,1.24740124740124,0,0.311850311850312,-2.52287874528034,0,-2.52287874528034,1,NA,NA,NA,NA,0.27957425541586,72.5935791389673,1.73440643739533,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,0.27957425541586,NA,NA,NA,NA,NA,1.73440643739533,1,NA,NA,NA,"Bisphenol B"
